loan_id,loan_number,customer_id,branch_id,loan_type,principal,interest_rate,term_months,monthly_installment,outstanding_balance,status,disbursed_at,next_due_date
67,LN826655,187,1,PERSONAL,67550.89,0.0717,24,3016.46,47754.10,ACTIVE,2021-03-24T09:22:58,2024-12-20
68,LN127089,6,16,STUDENT,241394.00,0.0599,60,4264.08,181757.80,ACTIVE,2022-11-29T16:04:18,2024-06-09
69,LN755712,181,12,STUDENT,691677.82,0.0813,360,2077.60,166509.84,ACTIVE,2020-12-06T20:55:22,2024-12-25
70,LN227804,93,17,BUSINESS,332315.93,0.1075,60,6134.01,231629.40,ACTIVE,2022-03-22T21:22:22,2024-12-29
71,LN499916,51,6,BUSINESS,353474.11,0.0388,360,1019.93,140998.01,ACTIVE,2021-11-08T09:15:07,2024-01-19
72,LN860098,66,6,BUSINESS,226302.61,0.1405,360,716.95,27556.40,ACTIVE,2020-01-10T12:10:01,2024-07-09
73,LN483290,26,3,MORTGAGE,493289.63,0.0902,60,8963.25,10787.86,ACTIVE,2020-07-31T21:11:16,2024-10-03
74,LN163218,3,3,BUSINESS,589533.52,0.0347,12,50830.07,356853.99,ACTIVE,2020-04-04T04:05:19,2024-03-09
75,LN494920,10,16,BUSINESS,640510.28,0.0633,360,1891.86,550207.42,ACTIVE,2021-06-10T17:34:53,2024-02-13
76,LN133735,196,7,BUSINESS,509728.02,0.0478,60,8901.81,509411.18,ACTIVE,2020-10-15T10:59:46,2024-02-04
77,LN735745,114,7,STUDENT,244640.46,0.0911,120,2224.33,112493.71,ACTIVE,2022-09-03T11:41:27,2024-04-22
78,LN453406,55,8,AUTO,142816.61,0.1291,24,6718.83,42007.83,ACTIVE,2021-08-25T16:18:16,2024-03-07
79,LN920866,5,5,BUSINESS,364833.75,0.0455,36,10595.66,52543.69,ACTIVE,2020-11-01T03:26:17,2024-01-31
80,LN564489,1,3,STUDENT,180041.03,0.1404,24,8555.23,178538.55,ACTIVE,2022-04-26T23:03:08,2024-10-14
