payment_id,loan_id,amount,principal_component,interest_component,paid_at,payment_method
181,41,1006.53,805.22,201.31,2022-11-25T18:05:54,ONLINE_TRANSFER
182,22,2937.96,2350.37,587.59,2022-09-21T19:29:55,ONLINE_TRANSFER
183,63,3027.49,2421.99,605.50,2022-05-07T07:36:42,BRANCH_PAYMENT
184,56,2397.38,1917.90,479.48,2022-11-30T21:54:24,ONLINE_TRANSFER
185,68,466.68,373.35,93.34,2022-05-12T18:00:24,BRANCH_PAYMENT
186,73,4728.51,3782.81,945.70,2023-01-28T15:00:12,ONLINE_TRANSFER
187,12,3010.16,2408.13,602.03,2023-09-20T11:33:34,BRANCH_PAYMENT
188,67,2933.06,2346.45,586.61,2022-04-02T12:56:31,AUTO_DEDUCT
189,22,563.50,450.80,112.70,2023-10-10T10:34:41,AUTO_DEDUCT
190,16,884.32,707.45,176.86,2022-07-21T05:17:35,AUTO_DEDUCT
191,3,4339.19,3471.35,867.84,2022-08-19T18:51:21,BRANCH_PAYMENT
192,68,3213.23,2570.58,642.65,2023-09-22T22:03:16,BRANCH_PAYMENT
193,55,3607.09,2885.67,721.42,2023-02-14T09:42:26,ONLINE_TRANSFER
194,40,1456.01,1164.81,291.20,2023-12-05T19:43:59,ONLINE_TRANSFER
195,74,925.25,740.20,185.05,2023-03-01T19:29:47,AUTO_DEDUCT
196,15,3725.77,2980.62,745.15,2022-08-18T21:33:46,BRANCH_PAYMENT
197,5,4176.51,3341.21,835.30,2022-06-28T17:40:14,AUTO_DEDUCT
198,27,4542.38,3633.91,908.48,2022-01-16T08:32:05,ONLINE_TRANSFER
199,50,2125.73,1700.58,425.15,2022-10-31T23:42:16,ONLINE_TRANSFER
200,19,2088.64,1670.91,417.73,2022-09-23T17:53:43,AUTO_DEDUCT
201,20,4458.37,3566.70,891.67,2022-02-24T10:35:19,BRANCH_PAYMENT
202,34,241.44,193.15,48.29,2023-04-16T03:35:32,ONLINE_TRANSFER
203,77,2158.28,1726.63,431.66,2023-11-23T20:38:43,AUTO_DEDUCT
204,47,3439.62,2751.69,687.92,2022-07-10T13:53:30,BRANCH_PAYMENT
205,19,243.81,195.05,48.76,2023-03-16T16:44:14,AUTO_DEDUCT
206,25,3212.40,2569.92,642.48,2022-04-25T22:59:15,AUTO_DEDUCT
207,9,835.27,668.21,167.05,2022-04-29T10:57:05,ONLINE_TRANSFER
208,32,675.54,540.43,135.11,2022-12-05T14:45:06,AUTO_DEDUCT
209,12,169.98,135.99,34.00,2022-07-23T22:52:04,ONLINE_TRANSFER
210,57,2083.52,1666.81,416.70,2022-05-30T00:19:30,ONLINE_TRANSFER
211,35,4490.96,3592.77,898.19,2023-11-25T14:44:40,AUTO_DEDUCT
212,3,3312.67,2650.13,662.53,2022-03-23T22:56:06,BRANCH_PAYMENT
213,72,701.76,561.40,140.35,2022-05-27T22:29:09,AUTO_DEDUCT
214,59,3692.20,2953.76,738.44,2022-08-03T00:50:20,BRANCH_PAYMENT
215,71,1507.90,1206.32,301.58,2023-08-29T11:39:07,AUTO_DEDUCT
216,21,2439.85,1951.88,487.97,2023-02-16T01:43:01,ONLINE_TRANSFER
217,17,369.31,295.45,73.86,2022-12-07T14:59:39,BRANCH_PAYMENT
218,77,1245.25,996.20,249.05,2022-01-15T04:38:10,ONLINE_TRANSFER
219,51,1461.92,1169.54,292.38,2022-01-16T20:20:27,AUTO_DEDUCT
220,19,1623.57,1298.86,324.71,2023-11-25T07:52:09,ONLINE_TRANSFER
221,77,2761.94,2209.56,552.39,2023-05-19T03:18:01,BRANCH_PAYMENT
222,49,2170.88,1736.71,434.18,2023-04-09T06:33:42,ONLINE_TRANSFER
223,78,4771.33,3817.06,954.27,2023-04-27T08:12:00,AUTO_DEDUCT
224,80,2726.79,2181.43,545.36,2023-07-16T02:07:01,AUTO_DEDUCT
225,69,3178.84,2543.07,635.77,2023-05-16T06:50:54,BRANCH_PAYMENT
226,68,4687.80,3750.24,937.56,2022-07-04T17:01:08,AUTO_DEDUCT
227,28,2427.00,1941.60,485.40,2023-12-14T02:44:14,AUTO_DEDUCT
228,2,1328.89,1063.11,265.78,2023-02-10T13:09:03,ONLINE_TRANSFER
229,45,3169.67,2535.74,633.93,2022-12-30T02:55:14,BRANCH_PAYMENT
230,13,3560.79,2848.63,712.16,2022-06-20T23:02:53,BRANCH_PAYMENT
231,30,3180.48,2544.38,636.10,2022-09-28T11:51:37,ONLINE_TRANSFER
232,30,3994.62,3195.69,798.92,2023-09-07T21:35:29,ONLINE_TRANSFER
233,76,2328.81,1863.05,465.76,2023-07-24T01:22:26,AUTO_DEDUCT
234,7,589.06,471.25,117.81,2023-05-05T02:07:17,BRANCH_PAYMENT
235,38,3425.45,2740.36,685.09,2022-12-13T18:32:31,ONLINE_TRANSFER
236,69,2827.54,2262.03,565.51,2023-07-17T10:04:21,BRANCH_PAYMENT
237,40,3839.77,3071.82,767.95,2023-02-14T08:37:46,ONLINE_TRANSFER
238,57,467.71,374.17,93.54,2023-09-20T01:36:17,AUTO_DEDUCT
239,21,4423.00,3538.40,884.60,2022-03-07T05:59:43,AUTO_DEDUCT
240,26,3234.90,2587.92,646.98,2022-04-24T09:34:08,BRANCH_PAYMENT
241,38,267.42,213.94,53.48,2022-01-29T19:36:15,ONLINE_TRANSFER
242,40,1935.63,1548.51,387.13,2023-10-30T15:12:56,ONLINE_TRANSFER
243,57,4370.97,3496.78,874.19,2023-02-22T15:56:13,ONLINE_TRANSFER
244,21,1812.89,1450.31,362.58,2023-08-08T01:52:50,BRANCH_PAYMENT
245,7,4438.48,3550.78,887.70,2022-05-06T02:04:28,AUTO_DEDUCT
246,55,2028.34,1622.67,405.67,2022-01-12T06:59:32,AUTO_DEDUCT
247,11,511.14,408.91,102.23,2022-09-22T09:47:05,ONLINE_TRANSFER
248,17,2423.87,1939.10,484.77,2023-01-31T06:01:44,AUTO_DEDUCT
249,64,1126.66,901.33,225.33,2022-12-26T13:03:49,ONLINE_TRANSFER
250,40,708.32,566.66,141.66,2023-02-05T18:39:17,ONLINE_TRANSFER
251,47,1312.00,1049.60,262.40,2022-05-19T01:18:19,BRANCH_PAYMENT
252,26,2206.67,1765.33,441.33,2022-03-26T22:50:07,AUTO_DEDUCT
253,50,1398.79,1119.03,279.76,2023-03-13T04:29:45,AUTO_DEDUCT
254,35,1213.30,970.64,242.66,2023-12-01T00:03:38,BRANCH_PAYMENT
255,62,2050.34,1640.27,410.07,2022-08-06T11:01:26,BRANCH_PAYMENT
256,46,648.58,518.86,129.72,2023-10-17T09:54:42,AUTO_DEDUCT
257,53,277.05,221.64,55.41,2022-01-20T09:18:09,ONLINE_TRANSFER
258,50,4243.90,3395.12,848.78,2022-07-16T04:52:08,AUTO_DEDUCT
259,39,3550.91,2840.73,710.18,2023-03-23T11:06:05,BRANCH_PAYMENT
260,27,861.35,689.08,172.27,2022-02-28T04:47:08,ONLINE_TRANSFER
261,1,2554.65,2043.72,510.93,2022-07-08T10:41:13,AUTO_DEDUCT
262,50,2907.02,2325.62,581.40,2023-12-19T01:46:47,BRANCH_PAYMENT
263,31,1921.79,1537.43,384.36,2023-08-12T21:55:36,BRANCH_PAYMENT
264,51,2506.70,2005.36,501.34,2022-10-10T16:04:03,BRANCH_PAYMENT
265,39,680.84,544.67,136.17,2022-06-25T23:51:27,AUTO_DEDUCT
266,12,1630.73,1304.58,326.15,2023-02-14T23:13:10,AUTO_DEDUCT
267,52,347.33,277.87,69.47,2023-01-17T07:04:50,BRANCH_PAYMENT
268,10,4215.78,3372.62,843.16,2023-06-04T09:56:25,ONLINE_TRANSFER
269,57,4353.00,3482.40,870.60,2022-07-07T07:25:40,ONLINE_TRANSFER
270,14,1201.16,960.93,240.23,2022-07-18T08:24:36,BRANCH_PAYMENT
271,69,4886.17,3908.94,977.23,2023-09-12T22:47:27,ONLINE_TRANSFER
272,4,3218.08,2574.46,643.62,2023-10-10T20:41:59,BRANCH_PAYMENT
273,34,2664.47,2131.58,532.89,2023-02-25T01:48:41,AUTO_DEDUCT
274,80,1261.08,1008.86,252.22,2023-09-21T20:28:32,AUTO_DEDUCT
275,41,984.85,787.88,196.97,2022-02-24T08:00:48,AUTO_DEDUCT
276,71,2739.07,2191.25,547.81,2023-04-03T14:17:05,AUTO_DEDUCT
277,15,815.04,652.03,163.01,2022-01-08T22:56:15,ONLINE_TRANSFER
278,21,3029.10,2423.28,605.82,2023-02-02T19:38:57,ONLINE_TRANSFER
279,67,3379.97,2703.98,675.99,2022-07-30T06:51:43,AUTO_DEDUCT
280,44,921.53,737.22,184.31,2023-07-06T08:21:00,AUTO_DEDUCT
281,66,2278.07,1822.45,455.61,2022-07-18T15:35:35,AUTO_DEDUCT
282,38,3740.14,2992.11,748.03,2022-11-30T08:32:20,BRANCH_PAYMENT
283,46,699.91,559.93,139.98,2023-01-29T23:57:38,BRANCH_PAYMENT
284,64,2723.31,2178.64,544.66,2022-11-01T22:06:00,ONLINE_TRANSFER
285,23,946.96,757.56,189.39,2022-09-19T03:25:48,BRANCH_PAYMENT
286,42,2748.29,2198.63,549.66,2022-02-09T17:26:39,BRANCH_PAYMENT
287,54,613.76,491.01,122.75,2023-01-08T08:23:55,BRANCH_PAYMENT
288,36,1653.29,1322.63,330.66,2023-10-31T17:09:16,AUTO_DEDUCT
289,44,2489.14,1991.31,497.83,2022-01-23T02:06:10,AUTO_DEDUCT
290,9,4344.13,3475.31,868.83,2023-11-16T23:03:53,AUTO_DEDUCT
291,51,2713.06,2170.45,542.61,2023-09-18T12:41:53,ONLINE_TRANSFER
292,10,351.39,281.11,70.28,2022-03-17T06:58:35,BRANCH_PAYMENT
293,70,3665.79,2932.63,733.16,2022-07-31T05:49:14,BRANCH_PAYMENT
294,12,4468.06,3574.45,893.61,2023-04-27T09:19:03,ONLINE_TRANSFER
295,17,4527.30,3621.84,905.46,2023-11-05T15:51:11,ONLINE_TRANSFER
296,26,480.28,384.23,96.06,2023-04-05T11:13:49,ONLINE_TRANSFER
297,5,4316.22,3452.98,863.24,2022-05-02T13:39:44,ONLINE_TRANSFER
298,68,2948.10,2358.48,589.62,2022-08-24T16:11:44,ONLINE_TRANSFER
299,19,3502.88,2802.31,700.58,2022-09-04T12:46:40,AUTO_DEDUCT
300,20,2653.92,2123.14,530.78,2023-10-29T19:33:27,AUTO_DEDUCT
