log_id,table_name,record_id,action,changed_by,changed_at,old_values,new_values
40,transactions,80,DELETE,manager_dave,2023-02-01 15:56:00+00,"{""status"": ""CLOSED"", ""record_id"": 80}",
41,transactions,69,INSERT,teller_sarah,2023-12-27 10:36:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 69}"
42,transactions,10,INSERT,teller_sarah,2023-09-14 02:10:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 10}"
43,loans,45,DELETE,compliance_auditor,2023-07-17 18:36:00+00,"{""status"": ""CLOSED"", ""record_id"": 45}",
44,transactions,31,INSERT,compliance_auditor,2024-03-14 10:33:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 31}"
45,accounts,91,INSERT,teller_sarah,2023-04-17 23:26:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 91}"
46,transactions,9,UPDATE,teller_michael,2024-05-15 21:56:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
47,transactions,79,INSERT,ops_bot,2023-12-17 18:39:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 79}"
48,customers,49,INSERT,manager_dave,2024-01-29 04:50:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 49}"
49,accounts,14,INSERT,teller_michael,2023-10-01 04:01:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 14}"
50,loans,81,UPDATE,manager_dave,2024-02-02 10:50:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
51,customers,80,INSERT,teller_michael,2023-11-11 23:46:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 80}"
52,transactions,78,UPDATE,teller_michael,2024-02-16 04:28:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
53,loans,70,UPDATE,system_batch,2023-11-18 19:21:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
54,accounts,11,INSERT,system_batch,2024-04-27 21:13:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 11}"
55,accounts,49,INSERT,teller_sarah,2024-01-28 07:06:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 49}"
56,transactions,75,INSERT,system_batch,2023-04-29 01:59:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 75}"
57,accounts,47,INSERT,manager_dave,2023-02-21 06:04:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 47}"
58,loans,51,INSERT,teller_sarah,2024-01-17 23:23:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 51}"
59,accounts,60,INSERT,system_batch,2024-03-06 23:42:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 60}"
60,customers,31,INSERT,compliance_auditor,2023-08-25 03:10:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 31}"
61,loans,61,INSERT,ops_bot,2023-12-11 22:48:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 61}"
62,customers,22,INSERT,teller_sarah,2024-05-13 18:04:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 22}"
63,customers,44,INSERT,teller_sarah,2023-10-06 05:47:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 44}"
64,transactions,4,UPDATE,teller_sarah,2023-08-04 14:17:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
65,customers,37,INSERT,ops_bot,2024-02-17 14:05:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 37}"
66,loans,55,INSERT,compliance_auditor,2024-02-24 12:21:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 55}"
67,customers,8,DELETE,manager_dave,2024-01-13 09:24:00+00,"{""status"": ""CLOSED"", ""record_id"": 8}",
68,loans,27,INSERT,teller_sarah,2023-08-19 09:11:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 27}"
69,accounts,96,INSERT,compliance_auditor,2023-07-24 07:12:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 96}"
70,loans,43,UPDATE,system_batch,2023-02-19 18:23:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
71,transactions,31,INSERT,ops_bot,2023-03-28 01:47:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 31}"
72,transactions,15,UPDATE,ops_bot,2023-03-03 16:42:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
73,accounts,48,INSERT,system_batch,2023-11-06 21:24:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 48}"
74,customers,73,UPDATE,manager_dave,2024-02-08 10:34:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
75,loans,77,INSERT,manager_dave,2023-01-18 08:41:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 77}"
76,transactions,51,INSERT,teller_sarah,2023-11-08 16:37:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 51}"
77,customers,70,INSERT,system_batch,2023-11-28 21:30:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 70}"
78,transactions,31,UPDATE,compliance_auditor,2023-06-05 10:20:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
79,loans,67,UPDATE,teller_michael,2023-01-14 06:00:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
80,customers,40,INSERT,teller_sarah,2023-12-03 09:17:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 40}"
81,customers,67,DELETE,manager_dave,2023-07-26 19:50:00+00,"{""status"": ""CLOSED"", ""record_id"": 67}",
82,transactions,60,INSERT,ops_bot,2023-01-12 06:50:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 60}"
83,loans,47,INSERT,ops_bot,2024-01-29 11:14:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 47}"
84,loans,75,UPDATE,system_batch,2024-02-21 02:50:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
85,loans,2,INSERT,compliance_auditor,2023-07-05 02:50:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 2}"
86,customers,77,UPDATE,ops_bot,2023-07-10 17:35:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
87,transactions,64,INSERT,compliance_auditor,2024-02-15 15:25:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 64}"
88,transactions,96,UPDATE,compliance_auditor,2023-08-19 03:11:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
89,accounts,69,INSERT,manager_dave,2023-05-07 11:46:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 69}"
90,customers,91,INSERT,ops_bot,2023-07-13 22:11:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 91}"
91,loans,54,UPDATE,ops_bot,2024-01-17 12:22:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
92,customers,92,INSERT,ops_bot,2023-12-17 18:30:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 92}"
93,accounts,55,UPDATE,ops_bot,2023-08-20 19:52:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
94,customers,42,UPDATE,ops_bot,2024-04-05 02:20:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
95,accounts,29,INSERT,ops_bot,2023-07-18 14:40:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 29}"
96,accounts,32,UPDATE,ops_bot,2024-04-06 05:36:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
97,accounts,18,UPDATE,teller_sarah,2024-03-03 00:04:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
98,loans,27,INSERT,ops_bot,2023-02-06 03:15:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 27}"
99,accounts,76,UPDATE,system_batch,2024-04-27 16:06:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
100,customers,80,INSERT,teller_michael,2023-07-03 18:20:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 80}"
101,transactions,11,UPDATE,system_batch,2023-10-30 12:53:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
102,loans,77,INSERT,teller_michael,2023-10-09 12:13:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 77}"
103,transactions,13,UPDATE,compliance_auditor,2024-04-07 16:26:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
104,loans,21,UPDATE,teller_michael,2023-08-28 15:56:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
105,loans,65,UPDATE,teller_michael,2023-08-16 07:28:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
106,accounts,27,INSERT,teller_sarah,2023-06-08 10:10:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 27}"
107,customers,15,DELETE,system_batch,2024-01-12 15:35:00+00,"{""status"": ""CLOSED"", ""record_id"": 15}",
108,customers,26,UPDATE,compliance_auditor,2024-05-12 22:04:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
109,accounts,21,UPDATE,ops_bot,2023-02-28 04:19:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
110,customers,61,INSERT,compliance_auditor,2024-04-03 19:41:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 61}"
111,transactions,68,UPDATE,ops_bot,2024-05-09 15:47:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
112,transactions,33,DELETE,ops_bot,2023-10-18 08:40:00+00,"{""status"": ""CLOSED"", ""record_id"": 33}",
113,customers,99,INSERT,ops_bot,2023-05-12 07:39:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 99}"
114,customers,99,UPDATE,teller_sarah,2023-10-14 22:04:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
115,loans,84,INSERT,system_batch,2024-03-02 13:15:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 84}"
116,accounts,70,UPDATE,system_batch,2023-08-19 05:50:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
117,customers,65,INSERT,teller_sarah,2023-09-20 07:00:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 65}"
118,accounts,21,INSERT,system_batch,2023-07-17 00:57:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 21}"
119,accounts,74,INSERT,system_batch,2023-02-01 03:04:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""system_batch"", ""record_id"": 74}"
120,loans,37,UPDATE,ops_bot,2024-01-21 21:37:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
