order_id,customer_id,shipping_address_id,coupon_id,status,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,shipping_method,tracking_number,placed_at,delivered_at
46,196,205,,REFUNDED,615.75,24.23,23.06,25.96,640.54,Next Day,,2025-08-14T22:54:56.818336,
47,92,82,,REFUNDED,41.34,37.51,19.45,63.21,86.49,Next Day,,2026-04-07T08:17:41.818336,
48,72,119,,CONFIRMED,556.53,31.14,5.04,65.3,595.73,Standard,,2025-03-03T14:07:39.818336,
49,19,119,,DELIVERED,773.67,3.63,22.15,22.51,814.7,Next Day,TRKB39B49B175,2026-03-18T05:30:57.818336,2026-04-10T01:40:05.818336
50,61,62,,SHIPPED,705.89,7.5,12.76,3.48,714.63,Standard,TRKD7F4D012E0,2025-01-04T11:54:11.818336,
51,129,33,,CONFIRMED,120.35,34.1,17.46,59.25,162.96,Next Day,,2026-06-05T07:20:58.818336,
52,175,143,,CONFIRMED,959.37,30.81,16.37,35.03,979.96,Next Day,,2026-09-01T14:06:44.818336,
53,171,234,,PENDING,217.34,43.37,20.65,74.13,268.75,Next Day,,2025-01-22T21:43:27.818336,
54,126,45,,REFUNDED,858.71,33.27,10.25,75.91,911.6,Next Day,,2026-03-01T23:41:53.818336,
55,9,107,,DELIVERED,283.67,30.31,22.69,48.79,324.84,Next Day,TRK44D7A03B1C,2026-05-27T18:02:36.818336,2026-06-12T19:26:12.818336
56,92,167,12,REFUNDED,203.06,5.27,10.8,13.5,222.09,Express,,2024-09-21T04:54:47.818336,
57,113,25,,PENDING,711.87,16.98,13.83,59.86,768.58,Standard,,2025-09-15T09:26:06.818336,
58,93,16,,PROCESSING,781.97,34.41,2.2,75.6,825.36,Express,,2025-07-31T07:45:13.818336,
59,80,198,,PENDING,399.38,35.27,21.38,91.4,476.89,Next Day,,2026-01-04T11:49:32.818336,
60,72,201,,CONFIRMED,929.18,0.64,3.07,12.73,944.34,Express,,2025-01-06T08:32:13.818336,
61,164,99,,CANCELLED,980.23,1.99,17.04,38.0,1033.28,Next Day,,2024-11-26T23:47:18.818336,
62,39,183,,CANCELLED,834.6,6.86,6.38,6.5,840.62,Express,,2026-09-05T06:24:41.818336,
63,67,13,,CONFIRMED,99.77,37.3,15.61,11.37,89.45,Express,,2024-09-20T12:43:46.818336,
64,99,41,,PENDING,578.42,43.27,23.07,52.56,610.78,Standard,,2025-10-18T15:24:31.818336,
65,18,4,,DELIVERED,364.37,36.42,3.35,48.19,379.49,Standard,TRK591212EBEE,2025-04-24T15:14:10.818336,2025-06-11T23:25:24.818336
66,34,151,,CANCELLED,604.23,16.52,10.26,87.45,685.42,Standard,,2025-03-17T07:29:44.818336,
67,105,217,8,PENDING,662.38,27.6,19.52,77.17,731.47,Express,,2025-07-12T14:07:10.818336,
68,172,215,10,SHIPPED,716.6,3.43,0.18,90.99,804.34,Standard,TRK2F1EBCBD38,2024-10-27T02:08:30.818336,
69,162,156,20,PENDING,359.54,39.33,24.24,12.08,356.53,Next Day,,2025-03-09T03:11:59.818336,
70,105,62,,CONFIRMED,108.31,36.02,1.23,9.93,83.45,Standard,,2026-04-08T08:20:55.818336,
71,185,136,,PROCESSING,724.78,45.76,23.96,31.15,734.13,Next Day,,2025-05-08T11:19:31.818336,
72,158,223,,SHIPPED,131.13,44.43,15.32,90.94,192.96,Standard,TRKFCBC6957AB,2026-06-26T17:05:38.818336,
73,114,211,,REFUNDED,939.89,3.5,18.09,13.96,968.44,Standard,,2025-05-12T19:07:26.818336,
74,103,20,,CONFIRMED,877.15,11.33,3.74,16.28,885.84,Express,,2025-08-11T08:45:42.818336,
75,194,116,,SHIPPED,663.43,38.2,22.64,39.65,687.52,Next Day,TRK31966C4862,2025-12-13T20:06:16.818336,
76,89,31,6,PROCESSING,557.97,0.03,9.43,18.32,585.69,Express,,2025-05-04T05:51:53.818336,
77,184,58,,PENDING,655.85,13.88,15.52,51.15,708.64,Next Day,,2025-06-27T02:10:45.818336,
78,143,216,,DELIVERED,550.48,12.95,7.43,39.86,584.82,Next Day,TRKFBF0A06394,2026-06-05T21:05:50.818336,2026-06-21T01:00:29.818336
79,169,211,4,CONFIRMED,857.01,29.92,6.75,83.58,917.42,Express,,2025-06-15T12:35:10.818336,
80,10,31,,REFUNDED,718.82,1.23,5.21,58.16,780.96,Standard,,2025-08-07T20:51:11.818336,
81,113,161,,PENDING,202.45,43.72,19.13,58.67,236.53,Standard,,2025-10-17T21:11:24.818336,
82,83,213,,REFUNDED,445.66,1.15,10.54,76.94,531.99,Next Day,,2025-09-17T09:25:50.818336,
83,178,188,,PENDING,909.22,41.54,1.39,23.54,892.61,Next Day,,2025-08-16T08:03:24.818336,
84,157,144,,PENDING,219.93,9.46,8.86,75.03,294.36,Express,,2024-11-07T13:42:54.818336,
85,55,187,,DELIVERED,30.19,15.09,21.86,89.03,125.99,Next Day,TRK0C9F2F3521,2025-05-05T12:16:39.818336,2025-09-16T23:38:13.818336
86,72,149,,SHIPPED,437.61,24.07,7.38,9.69,430.61,Next Day,TRK637AC81B1D,2025-07-25T02:26:45.818336,
87,129,244,1,DELIVERED,64.27,46.82,12.99,94.94,125.38,Express,TRKD1CA8E32C6,2025-05-23T22:57:55.818336,2025-06-10T00:50:25.818336
88,186,250,,PROCESSING,736.4,47.54,8.05,72.39,769.3,Next Day,,2025-08-31T03:44:57.818336,
89,156,49,,PROCESSING,329.54,16.78,19.76,32.86,365.38,Express,,2025-01-21T06:50:07.818336,
90,103,101,,PROCESSING,159.99,45.56,23.42,93.59,231.44,Next Day,,2025-06-20T01:58:12.818336,
91,197,161,,PENDING,458.63,41.33,13.69,64.48,495.47,Standard,,2024-12-04T07:44:32.818336,
92,72,65,17,DELIVERED,296.49,32.77,0.75,32.98,297.45,Next Day,TRK8E6A577C46,2026-01-10T21:50:56.818336,2026-07-01T02:10:01.818336
93,73,144,20,CANCELLED,297.4,35.54,11.24,58.66,331.76,Express,,2026-01-13T18:16:46.818336,
94,78,121,,REFUNDED,257.84,5.79,5.82,85.15,343.02,Standard,,2024-10-12T06:11:41.818336,
95,110,242,,CANCELLED,526.16,37.49,19.69,95.14,603.5,Express,,2025-10-01T22:02:09.818336,
96,131,9,,CANCELLED,370.37,41.01,16.5,73.34,419.2,Express,,2026-07-08T15:18:01.818336,
97,14,59,,PROCESSING,792.9,3.82,11.49,60.92,861.49,Next Day,,2025-01-23T04:56:04.818336,
98,186,250,6,PENDING,393.34,43.31,16.54,52.51,419.08,Next Day,,2025-05-29T09:27:56.818336,
99,112,57,9,SHIPPED,126.97,14.11,0.61,82.98,196.45,Next Day,TRKBB0B3C4522,2026-08-04T10:31:30.818336,
100,53,52,,CANCELLED,97.3,41.96,15.79,72.0,143.13,Standard,,2025-05-25T03:01:23.818336,
101,189,43,15,PENDING,456.3,13.26,14.11,60.58,517.73,Standard,,2026-03-07T12:59:24.818336,
102,76,122,,CANCELLED,307.34,45.29,21.02,87.18,370.25,Next Day,,2026-04-12T21:38:09.818336,
103,83,226,,SHIPPED,412.46,47.18,23.51,57.03,445.82,Express,TRKC90A8B0B84,2025-08-26T03:58:55.818336,
104,89,193,,REFUNDED,255.88,6.01,21.57,86.7,358.14,Standard,,2025-10-22T08:21:20.818336,
105,135,173,,SHIPPED,232.09,18.42,22.19,88.91,324.77,Next Day,TRK90BD1A9119,2025-01-01T22:53:00.818336,
106,147,136,,PROCESSING,967.6,13.96,16.78,96.12,1066.54,Next Day,,2026-07-06T05:30:00.818336,
107,34,19,,PROCESSING,960.68,30.22,19.17,2.94,952.57,Next Day,,2026-08-11T08:04:07.818336,
108,178,101,4,REFUNDED,839.53,35.34,13.14,97.36,914.69,Next Day,,2026-04-24T21:51:06.818336,
109,187,179,,PROCESSING,463.05,34.66,1.46,62.19,492.04,Express,,2025-03-18T23:47:20.818336,
110,42,42,,DELIVERED,970.27,2.28,16.79,65.97,1050.75,Express,TRK88A4A13FD7,2026-06-01T03:20:07.818336,2026-07-19T18:58:32.818336
111,187,206,,CANCELLED,583.95,19.09,22.14,52.23,639.23,Next Day,,2025-09-30T18:30:58.818336,
112,124,81,,PENDING,53.61,41.28,5.29,27.85,45.47,Standard,,2025-08-01T22:25:37.818336,
113,137,165,,PENDING,316.01,7.05,1.97,85.96,396.89,Next Day,,2025-09-29T18:44:18.818336,
114,122,39,,DELIVERED,516.92,15.88,16.53,29.5,547.07,Standard,TRK7A5905C448,2026-05-15T21:27:14.818336,2026-05-25T20:19:39.818336
115,84,192,,CONFIRMED,162.42,14.31,8.01,78.62,234.74,Standard,,2025-01-20T08:41:05.818336,
116,131,29,10,DELIVERED,946.64,9.9,14.82,78.46,1030.02,Next Day,TRK0476AD32E9,2025-04-17T14:38:06.818336,2026-01-15T18:21:31.818336
117,103,168,19,SHIPPED,342.45,45.75,19.92,98.9,415.52,Standard,TRK8901957671,2025-10-20T05:07:09.818336,
118,72,10,,PENDING,304.21,17.4,17.38,42.89,347.08,Standard,,2025-05-14T01:32:33.818336,
119,36,150,13,REFUNDED,411.38,47.82,15.93,58.69,438.18,Express,,2026-06-18T00:36:08.818336,
120,173,106,,PENDING,461.59,17.5,1.43,56.65,502.17,Express,,2025-06-15T18:46:04.818336,
121,54,13,,CANCELLED,557.82,31.21,8.06,94.69,629.36,Standard,,2025-12-14T04:37:19.818336,
122,97,127,,CANCELLED,997.16,8.72,5.44,38.78,1032.66,Express,,2026-03-05T04:36:51.818336,
123,24,102,,CONFIRMED,598.84,9.94,9.58,26.74,625.22,Standard,,2025-10-07T09:32:04.818336,
124,77,118,,DELIVERED,816.5,29.43,18.64,49.15,854.86,Express,TRKFBF103E6E7,2024-10-20T06:06:46.818336,2025-09-10T14:03:00.818336
125,161,61,,SHIPPED,764.18,0.02,17.72,21.25,803.13,Standard,TRKF6D8C768AA,2026-01-31T00:25:52.818336,
126,65,141,,PROCESSING,898.88,5.75,7.86,40.23,941.22,Standard,,2026-09-15T00:50:11.818336,
127,85,109,,DELIVERED,233.36,38.6,5.81,95.79,296.36,Express,TRKB32CB2955C,2026-01-04T03:26:18.818336,2026-08-20T21:25:55.818336
128,18,22,1,REFUNDED,680.33,20.13,16.34,31.21,707.75,Next Day,,2025-12-24T14:36:33.818336,
129,121,206,1,CONFIRMED,514.52,39.07,19.94,91.86,587.25,Express,,2025-07-29T17:25:48.818336,
130,16,83,8,CANCELLED,965.78,6.68,24.9,17.62,1001.62,Standard,,2026-01-07T21:38:50.818336,
131,136,244,,SHIPPED,718.42,20.21,22.3,21.52,742.03,Express,TRK3C0DEC1E7A,2026-06-08T18:03:30.818336,
132,114,125,,REFUNDED,312.37,23.47,4.7,13.99,307.59,Standard,,2024-10-17T01:21:20.818336,
133,53,93,,CONFIRMED,801.33,44.58,5.4,85.44,847.59,Express,,2024-12-27T19:52:59.818336,
134,14,42,15,PROCESSING,817.49,21.12,10.77,81.07,888.21,Standard,,2026-02-21T08:57:34.818336,
135,6,88,,REFUNDED,872.02,22.0,18.02,80.5,948.54,Standard,,2025-11-08T02:34:04.818336,
136,116,221,,REFUNDED,35.09,23.83,13.92,54.27,79.45,Standard,,2025-06-15T03:30:33.818336,
137,148,191,,CANCELLED,418.73,4.46,16.77,50.02,481.06,Next Day,,2025-05-13T18:11:16.818336,
138,13,201,,PROCESSING,756.54,28.29,19.36,16.48,764.09,Express,,2026-02-23T06:20:53.818336,
139,188,73,,SHIPPED,548.28,20.75,3.01,57.16,587.7,Standard,TRKA24F6143F8,2026-02-17T15:14:15.818336,
140,109,79,,PENDING,655.42,8.71,20.64,50.44,717.79,Standard,,2024-11-03T02:16:00.818336,
141,100,114,,DELIVERED,484.6,34.48,6.81,88.4,545.33,Standard,TRK17D7F6ED9D,2026-08-01T18:33:17.818336,2026-09-11T05:17:44.818336
142,180,90,,PENDING,34.46,19.71,9.46,66.98,91.19,Next Day,,2025-04-01T10:56:20.818336,
143,62,166,,CONFIRMED,449.84,2.53,2.98,83.52,533.81,Express,,2025-09-18T16:04:52.818336,
144,114,100,,DELIVERED,783.73,41.76,24.15,39.29,805.41,Standard,TRK99C06F0346,2024-12-05T19:19:23.818336,2025-06-12T22:31:26.818336
145,53,168,,REFUNDED,134.66,5.93,0.21,18.83,147.77,Next Day,,2026-09-15T18:48:54.818336,
146,28,83,,DELIVERED,404.21,32.75,17.52,5.34,394.32,Express,TRK86379A16FD,2026-07-23T07:47:59.818336,2026-07-28T12:13:41.818336
147,33,161,,DELIVERED,176.88,10.64,20.05,84.55,270.84,Standard,TRK6756911504,2026-05-30T23:33:57.818336,2026-08-09T09:38:31.818336
148,164,115,,PROCESSING,827.13,35.61,9.88,71.51,872.91,Express,,2026-05-13T11:00:55.818336,
149,135,4,,SHIPPED,226.84,22.8,13.22,59.22,276.48,Standard,TRKC47DFF71B2,2025-04-15T14:02:35.818336,
150,25,228,,SHIPPED,869.02,34.98,4.31,4.23,842.58,Next Day,TRK35E221579E,2025-03-22T22:51:18.818336,
151,145,24,18,SHIPPED,746.88,20.04,9.65,26.33,762.82,Express,TRK163F2B1B4E,2025-06-30T22:04:37.818336,
152,139,92,,SHIPPED,283.67,20.95,5.51,63.01,331.24,Express,TRK0F60061385,2026-05-23T23:52:22.818336,
153,187,127,,PROCESSING,528.58,9.87,7.2,70.36,596.27,Standard,,2025-03-13T19:16:11.818336,
154,60,48,,DELIVERED,229.94,33.52,13.66,15.29,225.37,Standard,TRK874428EB43,2026-06-18T22:08:55.818336,2026-09-11T20:04:01.818336
155,143,52,,PENDING,445.87,42.66,21.63,65.88,490.72,Standard,,2026-04-02T22:26:39.818336,
156,181,240,,PROCESSING,364.79,17.44,12.3,58.09,417.74,Standard,,2026-03-01T07:27:24.818336,
157,8,105,,PENDING,714.48,40.72,24.52,89.14,787.42,Express,,2026-02-03T19:46:10.818336,
158,21,119,,CANCELLED,602.61,11.96,3.5,51.63,645.78,Next Day,,2025-07-02T14:04:21.818336,
159,163,22,,DELIVERED,967.65,12.09,14.4,59.33,1029.29,Standard,TRK376B44339E,2026-01-23T11:36:26.818336,2026-05-22T00:49:54.818336
160,15,115,17,SHIPPED,455.49,25.89,0.28,93.81,523.69,Next Day,TRKE2657C4CF1,2024-11-08T06:14:23.818336,
161,196,20,4,PROCESSING,351.06,2.87,23.97,17.17,389.33,Standard,,2026-04-01T00:03:49.818336,
162,37,111,17,PENDING,406.15,1.43,14.12,57.82,476.66,Standard,,2026-07-16T15:47:20.818336,
163,179,102,,SHIPPED,951.71,43.26,17.56,67.29,993.3,Next Day,TRKA92C3877BF,2025-11-14T09:54:43.818336,
164,18,184,,CONFIRMED,435.1,46.66,4.71,8.86,402.01,Express,,2025-09-24T19:13:52.818336,
165,131,117,9,DELIVERED,73.17,3.24,14.67,21.18,105.78,Next Day,TRK6CBC7CC568,2025-10-25T12:16:06.818336,2026-03-20T19:59:56.818336
166,142,88,,PROCESSING,796.39,16.38,18.29,95.02,893.32,Standard,,2026-08-14T08:02:17.818336,
167,83,47,20,REFUNDED,957.85,40.78,17.84,15.24,950.15,Next Day,,2025-05-29T22:26:36.818336,
168,118,216,,SHIPPED,294.42,49.91,9.83,74.02,328.36,Next Day,TRKE5FC1060EC,2025-07-28T08:09:38.818336,
169,53,18,,DELIVERED,181.35,41.38,1.13,41.34,182.44,Standard,TRKC96535ECFA,2025-12-14T03:02:48.818336,2026-09-11T17:30:18.818336
170,48,134,,PROCESSING,249.39,41.6,17.77,64.55,290.11,Standard,,2025-01-20T00:30:15.818336,
171,22,121,,SHIPPED,533.49,48.35,6.93,45.8,537.87,Next Day,TRK84761EEFB3,2025-10-28T05:46:34.818336,
172,11,226,,CANCELLED,260.46,46.51,10.52,55.06,279.53,Express,,2025-10-07T14:27:23.818336,
173,5,151,6,PENDING,308.99,15.2,17.65,44.26,355.7,Express,,2025-06-24T15:54:27.818336,
174,88,113,,PROCESSING,809.32,27.61,7.21,99.37,888.29,Express,,2026-04-10T12:37:30.818336,
175,151,7,,DELIVERED,433.85,11.61,8.91,77.54,508.69,Next Day,TRKE8040F0838,2026-06-04T01:32:56.818336,2026-06-13T07:50:39.818336
176,179,152,,DELIVERED,531.69,48.21,11.17,21.62,516.27,Express,TRKF1A98A1158,2025-11-24T21:11:38.818336,2026-08-15T04:10:14.818336
177,162,25,,PENDING,927.7,24.08,0.49,39.57,943.68,Standard,,2025-09-24T10:40:41.818336,
178,143,57,,CONFIRMED,604.81,24.31,8.58,15.07,604.15,Standard,,2024-12-03T12:57:10.818336,
179,25,92,,SHIPPED,359.15,26.33,11.71,92.41,436.94,Standard,TRK1FE9B0E632,2026-08-11T20:17:05.818336,
180,157,228,,REFUNDED,424.43,2.22,24.95,64.56,511.72,Next Day,,2026-05-03T20:09:21.818336,
181,86,135,18,SHIPPED,508.01,26.59,23.65,82.0,587.07,Express,TRK773478891E,2025-03-27T13:10:51.818336,
182,16,165,,PROCESSING,229.82,46.59,20.47,10.59,214.29,Standard,,2026-01-20T18:55:33.818336,
183,115,120,,REFUNDED,415.25,39.68,22.89,68.8,467.26,Standard,,2024-12-11T14:12:46.818336,
184,24,132,,PENDING,778.48,45.19,0.02,66.05,799.36,Standard,,2026-04-28T13:26:44.818336,
185,67,42,,PROCESSING,974.74,31.6,4.24,2.66,950.04,Standard,,2025-03-18T05:24:28.818336,
186,100,56,2,CANCELLED,101.68,41.75,12.85,3.93,76.71,Express,,2025-08-25T13:57:54.818336,
187,15,208,,PROCESSING,473.83,29.34,9.01,79.52,533.02,Express,,2025-04-23T19:53:02.818336,
188,18,81,,CONFIRMED,288.55,21.31,23.25,73.22,363.71,Express,,2025-08-12T22:48:43.818336,
189,61,64,,SHIPPED,603.61,14.4,4.31,95.31,688.83,Express,TRKEA30776A05,2025-01-25T12:38:54.818336,
190,111,77,,CANCELLED,560.79,41.47,16.73,70.75,606.8,Standard,,2025-07-14T13:23:12.818336,
191,134,7,,PENDING,766.12,44.81,19.51,45.03,785.85,Next Day,,2026-03-07T14:00:45.818336,
192,122,126,3,REFUNDED,765.61,17.51,5.55,62.94,816.59,Express,,2026-02-06T12:32:15.818336,
193,112,136,,SHIPPED,473.14,11.42,4.28,15.9,481.9,Standard,TRK63E5D2A6EC,2025-12-27T04:51:49.818336,
194,59,238,,CONFIRMED,783.39,23.11,16.59,60.08,836.95,Express,,2024-12-30T16:17:13.818336,
195,61,166,,CONFIRMED,908.37,11.88,21.51,64.13,982.13,Standard,,2025-06-05T18:03:52.818336,
196,190,154,,CONFIRMED,724.02,44.37,22.64,87.19,789.48,Standard,,2026-01-21T07:57:45.818336,
197,79,27,,PENDING,978.54,44.62,19.36,77.23,1030.51,Express,,2026-08-14T19:17:31.818336,
198,158,198,,PROCESSING,998.3,7.48,10.13,40.9,1041.85,Standard,,2025-02-22T11:57:27.818336,
199,17,81,,DELIVERED,233.96,39.1,13.94,5.54,214.34,Express,TRK3BA411AAD0,2026-05-17T05:22:23.818336,2026-08-02T17:43:03.818336
200,141,89,,PENDING,487.1,23.87,22.58,6.01,491.82,Express,,2024-10-19T07:57:08.818336,
201,14,97,,PROCESSING,859.67,16.85,18.79,76.82,938.43,Next Day,,2026-07-02T15:30:08.818336,
202,183,134,,CONFIRMED,505.89,27.78,0.22,53.48,531.81,Standard,,2024-11-04T10:51:38.818336,
203,165,49,,PENDING,700.89,8.99,3.67,49.94,745.51,Next Day,,2025-11-03T19:47:44.818336,
204,71,235,10,CANCELLED,107.32,2.37,7.91,80.31,193.17,Next Day,,2024-11-14T01:47:02.818336,
205,64,235,,CANCELLED,989.87,11.67,14.41,88.75,1081.36,Standard,,2025-04-01T17:27:47.818336,
206,81,136,,CANCELLED,454.9,40.09,4.52,62.57,481.9,Standard,,2025-07-16T14:25:49.818336,
207,162,250,,DELIVERED,302.2,44.17,20.99,96.35,375.37,Standard,TRK5677B7BC4E,2025-05-22T08:40:53.818336,2025-10-02T09:59:57.818336
208,199,206,,DELIVERED,649.25,34.64,20.77,94.15,729.53,Next Day,TRKB55F42A594,2025-08-02T17:26:40.818336,2025-09-19T19:54:34.818336
209,190,66,,PENDING,571.55,35.13,24.57,16.8,577.79,Express,,2024-09-28T20:01:16.818336,
210,51,9,,REFUNDED,675.22,43.37,3.13,94.72,729.7,Express,,2024-10-03T11:15:03.818336,
211,149,79,9,CANCELLED,377.21,37.0,7.88,26.16,374.25,Next Day,,2026-09-15T03:44:54.818336,
212,59,113,,DELIVERED,817.02,7.25,6.87,85.97,902.61,Standard,TRKC026BDF03D,2026-07-15T13:02:14.818336,2026-07-31T00:28:20.818336
213,43,20,,SHIPPED,236.52,13.08,4.11,61.61,289.16,Standard,TRK2EA4E759C0,2025-05-04T04:12:12.818336,
214,127,36,6,PROCESSING,479.35,21.55,3.72,36.86,498.38,Standard,,2026-01-12T09:11:54.818336,
215,14,126,,DELIVERED,46.32,48.44,22.21,22.98,43.07,Standard,TRKD8D8130394,2025-07-22T09:30:07.818336,2026-03-17T00:06:47.818336
216,160,221,20,CANCELLED,821.56,42.05,14.35,67.26,861.12,Standard,,2026-05-22T13:15:13.818336,
217,109,39,,SHIPPED,746.17,10.02,14.57,38.16,788.88,Standard,TRK7FE9B0C5B1,2025-07-03T20:02:38.818336,
218,163,27,,CONFIRMED,292.46,42.83,4.09,45.86,299.58,Express,,2025-06-25T04:43:31.818336,
219,143,46,,DELIVERED,310.01,20.34,15.69,3.17,308.53,Express,TRK358097DC82,2025-03-12T08:45:00.818336,2026-07-06T00:03:03.818336
220,138,214,,REFUNDED,581.55,12.68,18.18,29.87,616.92,Next Day,,2026-06-04T21:37:49.818336,
221,149,94,,DELIVERED,375.29,44.61,18.46,69.24,418.38,Standard,TRKBB6BA63657,2025-02-03T04:02:08.818336,2025-04-07T15:32:47.818336
222,186,231,,PROCESSING,286.44,42.17,16.61,15.64,276.52,Standard,,2025-01-09T05:07:51.818336,
223,31,239,,REFUNDED,362.49,15.73,6.23,79.79,432.78,Next Day,,2024-10-03T06:58:36.818336,
224,41,78,7,DELIVERED,26.37,35.65,23.07,22.77,36.56,Express,TRK68F7A011D9,2026-03-23T17:01:29.818336,2026-05-28T10:50:56.818336
