wishlist_id,customer_id,product_id,added_at
145,48,119,2025-01-14T01:23:05.818336
146,27,54,2025-08-10T21:41:03.818336
147,147,54,2026-07-30T16:22:46.818336
148,181,31,2025-03-24T06:10:02.818336
149,51,33,2025-01-26T23:17:04.818336
150,108,42,2025-05-09T13:24:54.818336
151,129,3,2026-02-17T06:21:49.818336
152,43,126,2025-09-03T18:57:14.818336
153,178,106,2025-08-05T11:58:56.818336
154,7,120,2025-06-01T17:49:26.818336
155,121,72,2024-12-25T11:53:14.818336
156,142,27,2025-03-17T00:02:28.818336
157,130,44,2025-10-25T21:26:21.818336
158,65,19,2025-10-22T15:40:38.818336
159,22,91,2024-12-11T22:16:11.818336
160,149,140,2026-07-01T02:52:39.818336
161,15,68,2026-08-06T17:38:25.818336
162,161,2,2026-01-21T19:16:15.818336
163,126,120,2026-08-13T16:11:06.818336
164,87,100,2026-05-03T17:35:42.818336
165,135,111,2026-08-10T08:16:32.818336
166,95,69,2026-07-30T18:48:55.818336
167,45,12,2025-04-05T03:11:56.818336
168,67,149,2025-05-30T06:18:49.818336
169,51,94,2025-07-19T22:59:55.818336
170,154,123,2026-01-28T20:28:57.818336
171,53,63,2024-10-28T11:54:59.818336
172,186,25,2026-07-02T09:49:00.818336
173,53,93,2025-05-31T10:04:05.818336
174,8,140,2025-08-24T14:10:03.818336
175,61,44,2024-12-14T16:25:48.818336
176,188,147,2024-10-21T04:52:07.818336
177,106,132,2025-04-28T17:42:38.818336
178,152,78,2026-06-30T22:01:35.818336
179,125,80,2026-05-10T06:02:24.818336
180,68,82,2026-06-17T08:32:40.818336
