product_id,category_id,brand_id,name,slug,sku,description,price,sale_price,cost_price,weight_kg,stock_quantity,reorder_threshold,is_active,is_featured,created_at,updated_at
14,12,5,Product 14,product-14,SKU-0014,This is a detailed description for Product 14.,392.97,325.26,198.12,7.912,905,18,TRUE,FALSE,2025-05-07T18:53:35.818336,2026-09-15T21:02:46.818336
15,15,13,Product 15,product-15,SKU-0015,This is a detailed description for Product 15.,63.82,,48.73,19.657,0,44,TRUE,FALSE,2026-08-12T03:22:00.818336,2026-09-15T21:02:46.818336
16,11,23,Product 16,product-16,SKU-0016,This is a detailed description for Product 16.,671.43,,335.65,10.813,14,17,TRUE,FALSE,2026-08-26T15:31:26.818336,2026-09-15T21:02:46.818336
17,8,28,Product 17,product-17,SKU-0017,This is a detailed description for Product 17.,694.65,580.04,483.3,9.643,457,32,TRUE,FALSE,2025-06-30T14:23:00.818336,2026-09-15T21:02:46.818336
18,8,14,Product 18,product-18,SKU-0018,This is a detailed description for Product 18.,619.94,,492.06,18.632,419,44,FALSE,TRUE,2025-09-25T08:58:12.818336,2026-09-15T21:02:46.818336
19,10,7,Product 19,product-19,SKU-0019,This is a detailed description for Product 19.,537.47,,280.01,0.634,559,22,TRUE,FALSE,2026-07-05T13:04:38.818336,2026-09-15T21:02:46.818336
20,3,7,Product 20,product-20,SKU-0020,This is a detailed description for Product 20.,90.79,85.03,38.17,5.343,259,9,TRUE,FALSE,2026-05-11T04:28:41.818336,2026-09-15T21:02:46.818336
21,20,6,Product 21,product-21,SKU-0021,This is a detailed description for Product 21.,79.91,,33.41,7.662,68,29,TRUE,FALSE,2025-02-26T03:53:49.818336,2026-09-15T21:02:46.818336
22,14,11,Product 22,product-22,SKU-0022,This is a detailed description for Product 22.,711.18,,426.84,18.713,771,5,TRUE,FALSE,2025-09-05T07:06:52.818336,2026-09-15T21:02:46.818336
23,17,20,Product 23,product-23,SKU-0023,This is a detailed description for Product 23.,484.34,,346.45,3.691,697,47,TRUE,FALSE,2026-06-10T22:03:52.818336,2026-09-15T21:02:46.818336
24,15,8,Product 24,product-24,SKU-0024,This is a detailed description for Product 24.,401.43,,244.41,16.382,953,32,TRUE,FALSE,2026-05-02T12:09:53.818336,2026-09-15T21:02:46.818336
25,8,30,Product 25,product-25,SKU-0025,This is a detailed description for Product 25.,497.67,,249.0,7.248,964,45,FALSE,FALSE,2026-06-24T10:14:10.818336,2026-09-15T21:02:46.818336
26,6,6,Product 26,product-26,SKU-0026,This is a detailed description for Product 26.,1145.79,,471.31,14.269,312,35,TRUE,FALSE,2026-03-07T18:03:49.818336,2026-09-15T21:02:46.818336
27,13,18,Product 27,product-27,SKU-0027,This is a detailed description for Product 27.,1137.37,,488.89,6.391,957,18,FALSE,FALSE,2024-10-22T20:37:32.818336,2026-09-15T21:02:46.818336
28,2,10,Product 28,product-28,SKU-0028,This is a detailed description for Product 28.,510.49,,327.51,11.811,691,23,TRUE,TRUE,2026-05-21T04:22:41.818336,2026-09-15T21:02:46.818336
29,18,17,Product 29,product-29,SKU-0029,This is a detailed description for Product 29.,963.13,,449.87,7.157,534,36,TRUE,FALSE,2025-05-09T10:35:20.818336,2026-09-15T21:02:46.818336
30,16,10,Product 30,product-30,SKU-0030,This is a detailed description for Product 30.,125.08,,57.45,15.528,597,43,TRUE,FALSE,2025-06-09T20:25:10.818336,2026-09-15T21:02:46.818336
31,1,14,Product 31,product-31,SKU-0031,This is a detailed description for Product 31.,219.44,,179.74,10.022,700,22,TRUE,FALSE,2026-06-20T14:48:21.818336,2026-09-15T21:02:46.818336
32,4,5,Product 32,product-32,SKU-0032,This is a detailed description for Product 32.,659.05,560.73,420.99,13.329,247,11,TRUE,FALSE,2025-11-23T05:05:00.818336,2026-09-15T21:02:46.818336
33,9,25,Product 33,product-33,SKU-0033,This is a detailed description for Product 33.,553.31,,440.63,8.324,971,46,TRUE,FALSE,2026-01-28T06:55:42.818336,2026-09-15T21:02:46.818336
34,5,23,Product 34,product-34,SKU-0034,This is a detailed description for Product 34.,92.58,,72.64,4.383,460,36,TRUE,TRUE,2024-11-25T21:51:34.818336,2026-09-15T21:02:46.818336
35,17,15,Product 35,product-35,SKU-0035,This is a detailed description for Product 35.,575.24,509.75,326.34,8.436,209,48,TRUE,FALSE,2026-05-06T16:06:48.818336,2026-09-15T21:02:46.818336
36,3,8,Product 36,product-36,SKU-0036,This is a detailed description for Product 36.,57.06,,24.12,15.819,478,44,FALSE,FALSE,2026-08-06T19:26:07.818336,2026-09-15T21:02:46.818336
37,17,22,Product 37,product-37,SKU-0037,This is a detailed description for Product 37.,556.62,478.97,239.61,2.229,830,33,FALSE,FALSE,2026-06-20T04:12:18.818336,2026-09-15T21:02:46.818336
38,2,6,Product 38,product-38,SKU-0038,This is a detailed description for Product 38.,583.32,,265.41,19.619,268,49,TRUE,FALSE,2025-09-01T10:33:52.818336,2026-09-15T21:02:46.818336
39,11,21,Product 39,product-39,SKU-0039,This is a detailed description for Product 39.,681.48,,426.36,18.779,964,33,TRUE,FALSE,2026-01-04T05:53:53.818336,2026-09-15T21:02:46.818336
40,6,3,Product 40,product-40,SKU-0040,This is a detailed description for Product 40.,459.21,,317.58,17.259,33,44,TRUE,FALSE,2025-08-10T09:59:34.818336,2026-09-15T21:02:46.818336
41,16,19,Product 41,product-41,SKU-0041,This is a detailed description for Product 41.,1005.11,884.07,423.92,9.256,60,5,TRUE,FALSE,2025-05-11T15:40:46.818336,2026-09-15T21:02:46.818336
42,2,1,Product 42,product-42,SKU-0042,This is a detailed description for Product 42.,31.94,,18.78,16.409,569,13,TRUE,FALSE,2025-02-19T15:43:01.818336,2026-09-15T21:02:46.818336
43,7,21,Product 43,product-43,SKU-0043,This is a detailed description for Product 43.,465.96,,371.28,14.059,836,14,TRUE,TRUE,2024-11-03T18:31:30.818336,2026-09-15T21:02:46.818336
44,14,26,Product 44,product-44,SKU-0044,This is a detailed description for Product 44.,547.5,,286.78,13.656,856,50,TRUE,FALSE,2025-11-13T17:30:35.818336,2026-09-15T21:02:46.818336
45,11,1,Product 45,product-45,SKU-0045,This is a detailed description for Product 45.,325.11,,141.35,17.415,316,26,TRUE,FALSE,2025-09-09T01:34:08.818336,2026-09-15T21:02:46.818336
46,14,14,Product 46,product-46,SKU-0046,This is a detailed description for Product 46.,687.57,585.88,495.52,5.109,993,25,TRUE,FALSE,2026-08-14T22:00:31.818336,2026-09-15T21:02:46.818336
47,19,24,Product 47,product-47,SKU-0047,This is a detailed description for Product 47.,342.47,275.62,170.25,17.607,993,26,TRUE,FALSE,2025-09-04T07:21:57.818336,2026-09-15T21:02:46.818336
48,13,5,Product 48,product-48,SKU-0048,This is a detailed description for Product 48.,64.01,,41.58,2.305,868,42,TRUE,FALSE,2026-01-07T20:24:01.818336,2026-09-15T21:02:46.818336
49,9,3,Product 49,product-49,SKU-0049,This is a detailed description for Product 49.,564.98,,365.88,4.302,954,21,TRUE,FALSE,2026-05-29T04:40:22.818336,2026-09-15T21:02:46.818336
50,14,1,Product 50,product-50,SKU-0050,This is a detailed description for Product 50.,992.77,,405.53,19.844,199,9,TRUE,FALSE,2026-05-20T01:38:59.818336,2026-09-15T21:02:46.818336
51,2,22,Product 51,product-51,SKU-0051,This is a detailed description for Product 51.,293.33,,212.67,1.272,993,7,FALSE,FALSE,2026-06-28T01:20:50.818336,2026-09-15T21:02:46.818336
52,10,3,Product 52,product-52,SKU-0052,This is a detailed description for Product 52.,822.58,772.94,496.64,7.061,318,46,TRUE,FALSE,2024-10-29T19:30:48.818336,2026-09-15T21:02:46.818336
53,20,20,Product 53,product-53,SKU-0053,This is a detailed description for Product 53.,614.46,,371.35,3.946,3,45,TRUE,FALSE,2026-04-06T07:34:18.818336,2026-09-15T21:02:46.818336
54,19,20,Product 54,product-54,SKU-0054,This is a detailed description for Product 54.,487.32,459.67,388.51,10.214,474,18,TRUE,FALSE,2025-04-30T23:51:47.818336,2026-09-15T21:02:46.818336
55,6,4,Product 55,product-55,SKU-0055,This is a detailed description for Product 55.,244.74,225.48,122.24,14.107,85,9,TRUE,FALSE,2026-02-14T04:23:33.818336,2026-09-15T21:02:46.818336
56,5,26,Product 56,product-56,SKU-0056,This is a detailed description for Product 56.,171.3,,73.32,8.467,497,8,TRUE,FALSE,2025-10-05T11:29:15.818336,2026-09-15T21:02:46.818336
57,14,24,Product 57,product-57,SKU-0057,This is a detailed description for Product 57.,811.65,745.68,411.77,14.469,722,36,TRUE,FALSE,2025-05-19T20:47:08.818336,2026-09-15T21:02:46.818336
58,3,16,Product 58,product-58,SKU-0058,This is a detailed description for Product 58.,162.53,,134.7,3.271,750,27,TRUE,FALSE,2026-03-21T15:22:27.818336,2026-09-15T21:02:46.818336
59,9,17,Product 59,product-59,SKU-0059,This is a detailed description for Product 59.,76.85,,43.7,7.568,645,32,FALSE,TRUE,2026-01-13T13:29:15.818336,2026-09-15T21:02:46.818336
60,19,24,Product 60,product-60,SKU-0060,This is a detailed description for Product 60.,102.53,86.23,52.13,8.489,234,19,TRUE,FALSE,2026-08-23T09:53:19.818336,2026-09-15T21:02:46.818336
61,6,15,Product 61,product-61,SKU-0061,This is a detailed description for Product 61.,1071.58,,471.5,19.883,318,47,TRUE,FALSE,2025-11-10T02:58:51.818336,2026-09-15T21:02:46.818336
62,2,23,Product 62,product-62,SKU-0062,This is a detailed description for Product 62.,275.96,,222.13,6.987,688,22,TRUE,FALSE,2025-04-18T23:40:32.818336,2026-09-15T21:02:46.818336
63,16,21,Product 63,product-63,SKU-0063,This is a detailed description for Product 63.,229.14,,119.98,4.497,87,42,TRUE,FALSE,2025-04-30T03:38:54.818336,2026-09-15T21:02:46.818336
64,10,4,Product 64,product-64,SKU-0064,This is a detailed description for Product 64.,511.9,,333.67,1.353,383,6,TRUE,FALSE,2026-07-23T06:59:00.818336,2026-09-15T21:02:46.818336
65,12,4,Product 65,product-65,SKU-0065,This is a detailed description for Product 65.,252.45,239.31,122.72,3.227,27,9,TRUE,FALSE,2025-06-06T03:43:04.818336,2026-09-15T21:02:46.818336
66,3,24,Product 66,product-66,SKU-0066,This is a detailed description for Product 66.,120.08,,52.9,4.724,856,50,TRUE,FALSE,2024-12-14T07:35:13.818336,2026-09-15T21:02:46.818336
67,3,2,Product 67,product-67,SKU-0067,This is a detailed description for Product 67.,565.67,,302.03,12.805,89,27,TRUE,TRUE,2025-06-29T23:43:30.818336,2026-09-15T21:02:46.818336
68,17,10,Product 68,product-68,SKU-0068,This is a detailed description for Product 68.,691.17,,350.34,5.65,450,46,TRUE,TRUE,2026-04-24T06:59:11.818336,2026-09-15T21:02:46.818336
69,11,10,Product 69,product-69,SKU-0069,This is a detailed description for Product 69.,226.01,202.0,115.55,13.157,696,17,TRUE,FALSE,2025-06-28T09:01:07.818336,2026-09-15T21:02:46.818336
70,4,28,Product 70,product-70,SKU-0070,This is a detailed description for Product 70.,166.2,,95.25,0.713,953,20,TRUE,FALSE,2025-08-15T05:40:40.818336,2026-09-15T21:02:46.818336
71,4,30,Product 71,product-71,SKU-0071,This is a detailed description for Product 71.,496.26,,369.02,4.276,929,42,TRUE,TRUE,2024-10-05T09:31:32.818336,2026-09-15T21:02:46.818336
72,15,23,Product 72,product-72,SKU-0072,This is a detailed description for Product 72.,819.31,,397.34,19.184,784,28,TRUE,FALSE,2025-01-16T11:51:35.818336,2026-09-15T21:02:46.818336
73,11,11,Product 73,product-73,SKU-0073,This is a detailed description for Product 73.,424.32,,218.33,4.931,373,29,TRUE,TRUE,2025-12-23T14:30:23.818336,2026-09-15T21:02:46.818336
74,12,16,Product 74,product-74,SKU-0074,This is a detailed description for Product 74.,55.66,,26.77,6.479,380,19,TRUE,FALSE,2025-09-26T21:34:16.818336,2026-09-15T21:02:46.818336
75,17,24,Product 75,product-75,SKU-0075,This is a detailed description for Product 75.,640.62,,458.58,12.912,997,37,TRUE,TRUE,2025-10-16T07:32:51.818336,2026-09-15T21:02:46.818336
76,18,22,Product 76,product-76,SKU-0076,This is a detailed description for Product 76.,389.23,367.56,171.28,10.515,487,6,TRUE,TRUE,2026-06-11T03:23:27.818336,2026-09-15T21:02:46.818336
77,15,10,Product 77,product-77,SKU-0077,This is a detailed description for Product 77.,394.99,353.42,233.54,15.477,125,8,TRUE,TRUE,2025-02-01T19:27:28.818336,2026-09-15T21:02:46.818336
78,20,19,Product 78,product-78,SKU-0078,This is a detailed description for Product 78.,392.22,,303.88,7.197,930,33,TRUE,TRUE,2025-12-18T07:15:58.818336,2026-09-15T21:02:46.818336
79,4,23,Product 79,product-79,SKU-0079,This is a detailed description for Product 79.,523.08,,295.81,1.914,389,30,TRUE,FALSE,2025-11-09T09:50:37.818336,2026-09-15T21:02:46.818336
80,20,10,Product 80,product-80,SKU-0080,This is a detailed description for Product 80.,213.08,189.61,95.25,15.286,945,46,TRUE,FALSE,2025-12-07T22:50:34.818336,2026-09-15T21:02:46.818336
81,17,5,Product 81,product-81,SKU-0081,This is a detailed description for Product 81.,444.86,,339.27,6.013,115,32,TRUE,FALSE,2025-10-14T07:12:45.818336,2026-09-15T21:02:46.818336
82,18,27,Product 82,product-82,SKU-0082,This is a detailed description for Product 82.,446.43,410.63,228.64,13.624,29,34,FALSE,FALSE,2026-06-03T03:40:14.818336,2026-09-15T21:02:46.818336
83,20,14,Product 83,product-83,SKU-0083,This is a detailed description for Product 83.,311.33,,175.85,10.483,66,23,TRUE,FALSE,2025-10-01T12:57:01.818336,2026-09-15T21:02:46.818336
84,5,19,Product 84,product-84,SKU-0084,This is a detailed description for Product 84.,147.54,,102.03,1.325,940,5,TRUE,FALSE,2025-09-28T01:25:10.818336,2026-09-15T21:02:46.818336
85,9,11,Product 85,product-85,SKU-0085,This is a detailed description for Product 85.,358.93,,162.81,16.487,424,23,TRUE,FALSE,2026-04-29T18:35:58.818336,2026-09-15T21:02:46.818336
86,7,19,Product 86,product-86,SKU-0086,This is a detailed description for Product 86.,380.42,,176.21,4.601,910,8,TRUE,FALSE,2026-03-08T18:01:57.818336,2026-09-15T21:02:46.818336
87,3,2,Product 87,product-87,SKU-0087,This is a detailed description for Product 87.,224.28,,93.4,11.783,442,24,TRUE,FALSE,2025-08-22T07:42:02.818336,2026-09-15T21:02:46.818336
88,10,10,Product 88,product-88,SKU-0088,This is a detailed description for Product 88.,667.75,632.73,347.08,8.259,674,32,TRUE,FALSE,2025-04-12T20:49:15.818336,2026-09-15T21:02:46.818336
89,5,25,Product 89,product-89,SKU-0089,This is a detailed description for Product 89.,1074.56,867.43,442.12,12.648,915,28,TRUE,TRUE,2025-09-28T21:16:40.818336,2026-09-15T21:02:46.818336
90,17,18,Product 90,product-90,SKU-0090,This is a detailed description for Product 90.,37.44,,19.82,3.282,636,41,TRUE,TRUE,2026-07-07T07:52:37.818336,2026-09-15T21:02:46.818336
91,2,11,Product 91,product-91,SKU-0091,This is a detailed description for Product 91.,290.26,262.85,219.32,12.256,633,5,TRUE,FALSE,2024-09-29T06:48:13.818336,2026-09-15T21:02:46.818336
92,18,26,Product 92,product-92,SKU-0092,This is a detailed description for Product 92.,708.13,639.7,370.44,17.078,850,43,TRUE,TRUE,2026-01-10T04:11:40.818336,2026-09-15T21:02:46.818336
93,12,12,Product 93,product-93,SKU-0093,This is a detailed description for Product 93.,480.42,,255.8,16.717,142,6,FALSE,FALSE,2025-12-21T22:28:43.818336,2026-09-15T21:02:46.818336
94,4,18,Product 94,product-94,SKU-0094,This is a detailed description for Product 94.,1149.0,1063.26,489.57,3.463,674,5,TRUE,FALSE,2025-09-13T21:08:30.818336,2026-09-15T21:02:46.818336
95,15,13,Product 95,product-95,SKU-0095,This is a detailed description for Product 95.,826.01,708.89,355.59,0.264,513,16,TRUE,FALSE,2024-10-26T04:15:31.818336,2026-09-15T21:02:46.818336
96,3,11,Product 96,product-96,SKU-0096,This is a detailed description for Product 96.,663.09,,297.58,8.557,833,45,TRUE,FALSE,2025-12-27T03:31:41.818336,2026-09-15T21:02:46.818336
97,8,29,Product 97,product-97,SKU-0097,This is a detailed description for Product 97.,286.58,,168.9,10.986,69,17,TRUE,FALSE,2026-05-18T04:17:40.818336,2026-09-15T21:02:46.818336
98,2,3,Product 98,product-98,SKU-0098,This is a detailed description for Product 98.,571.87,,237.58,18.533,980,18,TRUE,FALSE,2025-10-23T14:16:47.818336,2026-09-15T21:02:46.818336
99,14,15,Product 99,product-99,SKU-0099,This is a detailed description for Product 99.,987.79,,481.69,5.459,911,33,TRUE,FALSE,2024-09-17T13:01:11.818336,2026-09-15T21:02:46.818336
100,20,17,Product 100,product-100,SKU-0100,This is a detailed description for Product 100.,49.81,45.4,25.92,15.091,312,31,TRUE,FALSE,2026-01-17T07:57:21.818336,2026-09-15T21:02:46.818336
101,9,3,Product 101,product-101,SKU-0101,This is a detailed description for Product 101.,949.49,,386.8,14.709,668,49,TRUE,FALSE,2025-01-06T12:54:22.818336,2026-09-15T21:02:46.818336
102,9,25,Product 102,product-102,SKU-0102,This is a detailed description for Product 102.,542.43,512.2,271.66,1.278,530,14,TRUE,FALSE,2026-01-24T23:59:58.818336,2026-09-15T21:02:46.818336
103,15,22,Product 103,product-103,SKU-0103,This is a detailed description for Product 103.,524.05,491.44,429.32,1.134,395,38,TRUE,FALSE,2025-03-04T12:13:30.818336,2026-09-15T21:02:46.818336
104,8,28,Product 104,product-104,SKU-0104,This is a detailed description for Product 104.,572.31,,359.65,4.928,169,20,FALSE,FALSE,2026-05-04T04:13:07.818336,2026-09-15T21:02:46.818336
105,20,1,Product 105,product-105,SKU-0105,This is a detailed description for Product 105.,937.49,,405.23,3.733,995,32,TRUE,FALSE,2026-01-19T14:25:42.818336,2026-09-15T21:02:46.818336
106,5,4,Product 106,product-106,SKU-0106,This is a detailed description for Product 106.,368.01,,240.77,9.749,190,20,TRUE,FALSE,2026-03-25T05:58:09.818336,2026-09-15T21:02:46.818336
107,7,17,Product 107,product-107,SKU-0107,This is a detailed description for Product 107.,433.66,404.77,262.05,19.41,4,30,TRUE,FALSE,2025-02-24T13:43:49.818336,2026-09-15T21:02:46.818336
108,17,17,Product 108,product-108,SKU-0108,This is a detailed description for Product 108.,795.66,665.98,348.0,17.863,770,22,TRUE,FALSE,2026-01-11T10:01:54.818336,2026-09-15T21:02:46.818336
109,17,9,Product 109,product-109,SKU-0109,This is a detailed description for Product 109.,906.91,,363.06,17.053,137,44,TRUE,FALSE,2024-10-29T18:38:49.818336,2026-09-15T21:02:46.818336
110,19,11,Product 110,product-110,SKU-0110,This is a detailed description for Product 110.,731.27,,337.33,14.858,366,21,TRUE,TRUE,2025-03-20T16:37:31.818336,2026-09-15T21:02:46.818336
111,12,9,Product 111,product-111,SKU-0111,This is a detailed description for Product 111.,516.95,435.43,309.92,3.967,428,15,TRUE,TRUE,2024-10-09T11:07:21.818336,2026-09-15T21:02:46.818336
112,20,28,Product 112,product-112,SKU-0112,This is a detailed description for Product 112.,695.49,,445.79,11.737,191,49,TRUE,FALSE,2026-04-08T19:58:10.818336,2026-09-15T21:02:46.818336
113,6,27,Product 113,product-113,SKU-0113,This is a detailed description for Product 113.,293.55,263.59,244.27,9.281,342,9,TRUE,FALSE,2025-05-15T11:35:31.818336,2026-09-15T21:02:46.818336
114,9,6,Product 114,product-114,SKU-0114,This is a detailed description for Product 114.,9.94,,6.54,6.814,493,32,TRUE,TRUE,2024-11-08T21:24:16.818336,2026-09-15T21:02:46.818336
115,5,9,Product 115,product-115,SKU-0115,This is a detailed description for Product 115.,298.39,,228.97,7.712,578,37,TRUE,FALSE,2026-07-19T06:09:20.818336,2026-09-15T21:02:46.818336
116,13,4,Product 116,product-116,SKU-0116,This is a detailed description for Product 116.,983.71,,424.63,18.354,170,33,TRUE,TRUE,2026-06-07T07:38:06.818336,2026-09-15T21:02:46.818336
117,10,20,Product 117,product-117,SKU-0117,This is a detailed description for Product 117.,564.47,484.28,226.03,11.814,720,46,TRUE,FALSE,2024-12-24T02:47:01.818336,2026-09-15T21:02:46.818336
118,5,16,Product 118,product-118,SKU-0118,This is a detailed description for Product 118.,148.58,,94.52,10.293,724,30,TRUE,FALSE,2024-09-16T13:22:52.818336,2026-09-15T21:02:46.818336
119,3,13,Product 119,product-119,SKU-0119,This is a detailed description for Product 119.,794.81,653.49,491.87,8.713,452,13,TRUE,FALSE,2024-12-20T02:51:28.818336,2026-09-15T21:02:46.818336
120,12,18,Product 120,product-120,SKU-0120,This is a detailed description for Product 120.,217.7,,148.03,15.73,176,11,TRUE,TRUE,2026-04-30T01:21:20.818336,2026-09-15T21:02:46.818336
121,7,8,Product 121,product-121,SKU-0121,This is a detailed description for Product 121.,1131.4,,472.07,3.418,627,11,TRUE,TRUE,2026-06-01T22:57:29.818336,2026-09-15T21:02:46.818336
122,6,24,Product 122,product-122,SKU-0122,This is a detailed description for Product 122.,716.39,,352.21,7.268,33,19,TRUE,TRUE,2026-08-09T03:09:02.818336,2026-09-15T21:02:46.818336
123,11,21,Product 123,product-123,SKU-0123,This is a detailed description for Product 123.,704.17,630.0,350.95,4.679,975,47,TRUE,TRUE,2026-03-23T03:24:43.818336,2026-09-15T21:02:46.818336
124,10,23,Product 124,product-124,SKU-0124,This is a detailed description for Product 124.,456.51,,207.37,12.447,80,43,TRUE,TRUE,2026-05-13T06:29:14.818336,2026-09-15T21:02:46.818336
125,18,3,Product 125,product-125,SKU-0125,This is a detailed description for Product 125.,142.37,120.09,61.29,11.103,217,37,TRUE,FALSE,2025-09-05T14:09:03.818336,2026-09-15T21:02:46.818336
126,15,24,Product 126,product-126,SKU-0126,This is a detailed description for Product 126.,1031.47,957.71,430.28,11.871,254,45,TRUE,FALSE,2025-07-07T21:06:00.818336,2026-09-15T21:02:46.818336
127,13,28,Product 127,product-127,SKU-0127,This is a detailed description for Product 127.,255.94,,156.13,3.836,607,45,TRUE,FALSE,2025-07-20T04:42:15.818336,2026-09-15T21:02:46.818336
128,10,21,Product 128,product-128,SKU-0128,This is a detailed description for Product 128.,575.0,526.97,237.05,7.751,82,5,TRUE,FALSE,2025-10-10T11:50:32.818336,2026-09-15T21:02:46.818336
129,11,29,Product 129,product-129,SKU-0129,This is a detailed description for Product 129.,98.81,,76.05,19.897,856,14,TRUE,FALSE,2024-11-24T10:32:48.818336,2026-09-15T21:02:46.818336
130,1,18,Product 130,product-130,SKU-0130,This is a detailed description for Product 130.,757.82,,387.56,5.054,932,26,TRUE,FALSE,2026-09-13T01:05:47.818336,2026-09-15T21:02:46.818336
131,5,10,Product 131,product-131,SKU-0131,This is a detailed description for Product 131.,237.79,221.18,155.41,19.633,349,43,TRUE,TRUE,2026-08-24T03:26:22.818336,2026-09-15T21:02:46.818336
132,13,27,Product 132,product-132,SKU-0132,This is a detailed description for Product 132.,410.99,366.46,212.53,14.987,855,50,TRUE,FALSE,2024-09-18T03:36:34.818336,2026-09-15T21:02:46.818336
133,6,18,Product 133,product-133,SKU-0133,This is a detailed description for Product 133.,840.51,,451.33,12.94,545,19,TRUE,FALSE,2024-10-11T10:32:57.818336,2026-09-15T21:02:46.818336
134,17,23,Product 134,product-134,SKU-0134,This is a detailed description for Product 134.,215.19,,157.87,10.034,192,38,TRUE,FALSE,2025-07-29T06:53:55.818336,2026-09-15T21:02:46.818336
135,19,9,Product 135,product-135,SKU-0135,This is a detailed description for Product 135.,202.87,176.96,99.11,1.024,495,15,TRUE,FALSE,2026-05-28T04:25:02.818336,2026-09-15T21:02:46.818336
136,2,14,Product 136,product-136,SKU-0136,This is a detailed description for Product 136.,740.22,,403.43,17.908,597,23,TRUE,FALSE,2024-12-03T05:21:33.818336,2026-09-15T21:02:46.818336
137,6,29,Product 137,product-137,SKU-0137,This is a detailed description for Product 137.,588.97,,442.22,4.733,551,16,TRUE,FALSE,2025-11-10T07:29:52.818336,2026-09-15T21:02:46.818336
138,6,15,Product 138,product-138,SKU-0138,This is a detailed description for Product 138.,648.6,,423.4,17.494,389,10,TRUE,FALSE,2026-03-15T16:18:25.818336,2026-09-15T21:02:46.818336
139,12,7,Product 139,product-139,SKU-0139,This is a detailed description for Product 139.,61.76,,47.74,7.333,963,15,TRUE,FALSE,2025-07-23T18:22:02.818336,2026-09-15T21:02:46.818336
140,15,12,Product 140,product-140,SKU-0140,This is a detailed description for Product 140.,684.77,608.04,492.72,16.022,161,39,TRUE,FALSE,2025-08-01T16:59:23.818336,2026-09-15T21:02:46.818336
141,6,20,Product 141,product-141,SKU-0141,This is a detailed description for Product 141.,116.03,,90.62,1.888,404,37,FALSE,FALSE,2024-12-17T04:38:38.818336,2026-09-15T21:02:46.818336
142,13,30,Product 142,product-142,SKU-0142,This is a detailed description for Product 142.,552.29,,345.19,0.618,88,5,TRUE,FALSE,2026-04-06T22:25:10.818336,2026-09-15T21:02:46.818336
143,16,15,Product 143,product-143,SKU-0143,This is a detailed description for Product 143.,853.14,,373.76,1.006,650,14,TRUE,FALSE,2026-05-16T19:53:26.818336,2026-09-15T21:02:46.818336
144,7,28,Product 144,product-144,SKU-0144,This is a detailed description for Product 144.,244.81,226.84,131.27,5.598,94,36,TRUE,FALSE,2025-08-31T20:50:54.818336,2026-09-15T21:02:46.818336
