payment_id,order_id,payment_method,gateway_reference,amount,currency,status,processed_at
28,28,Bank Transfer,GW_f6be7d86,334.49,USD,FAILED,2026-09-09T18:10:40.818336
29,29,PayPal,GW_93694bfa,108.94,USD,REFUNDED,2026-08-04T12:09:03.818336
30,30,Stripe,GW_aaecf255,526.18,USD,COMPLETED,2026-09-13T11:52:40.818336
31,31,Stripe,GW_d36aebd2,1035.46,USD,FAILED,2026-01-30T21:41:50.818336
32,32,Bank Transfer,GW_38cb7b72,532.54,USD,PENDING,2026-04-18T03:19:39.818336
33,33,Bank Transfer,GW_cb60a66c,226.28,USD,FAILED,2026-07-15T19:29:25.818336
34,34,Stripe,GW_b71f8cb0,563.9,USD,REFUNDED,2026-04-16T08:31:19.818336
35,35,Bank Transfer,GW_d3b7fe25,509.22,USD,FAILED,2026-07-02T07:27:51.818336
36,36,PayPal,GW_b8321bf5,622.52,USD,COMPLETED,2026-01-26T22:45:02.818336
37,37,PayPal,GW_75e901e7,698.8,USD,REFUNDED,2026-08-07T00:23:26.818336
38,38,PayPal,GW_abb72391,332.07,USD,REFUNDED,2025-05-13T20:05:52.818336
39,39,Credit Card,GW_97994a3b,528.79,USD,REFUNDED,2026-05-06T23:25:25.818336
40,40,Credit Card,GW_d00853f9,328.29,USD,REFUNDED,2026-04-07T03:45:38.818336
41,41,Stripe,GW_e17e78ca,1005.06,USD,COMPLETED,2026-07-08T05:50:34.818336
42,42,PayPal,GW_f80c9909,647.1,USD,REFUNDED,2025-12-08T18:05:15.818336
43,43,Credit Card,GW_5383f897,688.81,USD,REFUNDED,2025-12-04T07:48:09.818336
44,44,Bank Transfer,GW_f198b472,186.02,USD,COMPLETED,2026-09-10T05:24:31.818336
45,45,Credit Card,GW_dbcab204,494.9,USD,FAILED,2026-07-01T20:12:20.818336
46,46,Stripe,GW_ef8db298,640.54,USD,PENDING,2026-05-24T09:26:33.818336
47,47,Bank Transfer,GW_25fdbd4d,86.49,USD,COMPLETED,2026-08-15T19:59:40.818336
48,48,PayPal,GW_b4fbfb28,595.73,USD,COMPLETED,2026-06-22T00:17:04.818336
49,49,PayPal,GW_2f3bf6e5,814.7,USD,FAILED,2026-08-10T22:01:40.818336
50,50,Credit Card,GW_3b96c37c,714.63,USD,COMPLETED,2026-04-24T22:03:44.818336
51,51,Stripe,GW_9e26317b,162.96,USD,COMPLETED,2026-07-06T12:57:58.818336
52,52,Credit Card,GW_f4e77ba8,979.96,USD,COMPLETED,2026-09-15T20:16:02.818336
53,53,Stripe,GW_66ceb322,268.75,USD,FAILED,2025-04-13T18:20:20.818336
54,54,PayPal,GW_55864197,911.6,USD,FAILED,2026-08-30T12:53:29.818336
55,55,Bank Transfer,GW_72cc58d1,324.84,USD,FAILED,2026-07-02T22:39:51.818336
56,56,Credit Card,GW_ba9b0d18,222.09,USD,FAILED,2026-07-29T19:14:37.818336
57,57,Credit Card,GW_39a7ed4a,768.58,USD,FAILED,2026-02-14T20:16:02.818336
58,58,PayPal,GW_2624cf67,825.36,USD,REFUNDED,2026-05-28T23:00:24.818336
59,59,Stripe,GW_bde3428e,476.89,USD,REFUNDED,2026-04-26T19:28:51.818336
60,60,Bank Transfer,GW_6cb823f5,944.34,USD,COMPLETED,2025-07-21T10:25:15.818336
61,61,Stripe,GW_9f791bcf,1033.28,USD,REFUNDED,2026-01-09T10:07:25.818336
62,62,Bank Transfer,GW_173b9ea1,840.62,USD,COMPLETED,2026-09-08T08:53:09.818336
63,63,PayPal,GW_6466115a,89.45,USD,PENDING,2025-05-10T02:48:23.818336
64,64,Stripe,GW_8446fdc0,610.78,USD,COMPLETED,2026-08-27T14:04:55.818336
65,65,PayPal,GW_dfaa5a27,379.49,USD,REFUNDED,2025-07-25T23:57:11.818336
66,66,Bank Transfer,GW_6476fd3d,685.42,USD,REFUNDED,2026-07-19T20:24:14.818336
67,67,Bank Transfer,GW_7ab41254,731.47,USD,FAILED,2026-08-23T22:10:45.818336
68,68,Stripe,GW_c53cdbaa,804.34,USD,COMPLETED,2025-05-18T12:29:52.818336
69,69,PayPal,GW_5124b8dd,356.53,USD,FAILED,2026-03-17T00:55:53.818336
70,70,PayPal,GW_5660bef6,83.45,USD,COMPLETED,2026-04-19T09:55:58.818336
71,71,Bank Transfer,GW_f4c67405,734.13,USD,PENDING,2026-05-14T13:37:39.818336
72,72,Bank Transfer,GW_14f09484,192.96,USD,FAILED,2026-08-06T18:25:23.818336
73,73,Credit Card,GW_293f7815,968.44,USD,FAILED,2025-07-05T20:08:12.818336
74,74,Credit Card,GW_2ac337c2,885.84,USD,FAILED,2026-05-27T01:10:25.818336
75,75,PayPal,GW_cbff5575,687.52,USD,REFUNDED,2026-08-16T22:01:01.818336
76,76,PayPal,GW_2f684c0d,585.69,USD,REFUNDED,2025-07-27T05:58:55.818336
77,77,PayPal,GW_f9c1d625,708.64,USD,FAILED,2026-08-28T08:58:06.818336
78,78,PayPal,GW_047a4c86,584.82,USD,PENDING,2026-07-01T23:31:11.818336
79,79,Credit Card,GW_258f2a21,917.42,USD,REFUNDED,2025-11-11T05:38:37.818336
80,80,PayPal,GW_c71c0de2,780.96,USD,REFUNDED,2025-10-02T16:26:34.818336
81,81,Bank Transfer,GW_7d8aae69,236.53,USD,COMPLETED,2025-11-08T23:03:47.818336
82,82,Stripe,GW_30ba4cf1,531.99,USD,PENDING,2025-12-24T07:53:34.818336
83,83,Bank Transfer,GW_5bb9b158,892.61,USD,FAILED,2026-07-05T14:47:58.818336
84,84,PayPal,GW_69d6e60c,294.36,USD,REFUNDED,2025-05-24T19:58:28.818336
85,85,Bank Transfer,GW_60100e5c,125.99,USD,FAILED,2026-04-07T03:19:40.818336
86,86,PayPal,GW_62a79a9c,430.61,USD,REFUNDED,2026-02-28T10:50:49.818336
87,87,PayPal,GW_428abfc5,125.38,USD,FAILED,2026-01-10T14:02:43.818336
88,88,Bank Transfer,GW_652f7ce4,769.3,USD,FAILED,2026-08-19T04:55:04.818336
89,89,PayPal,GW_a2ab020c,365.38,USD,PENDING,2025-05-18T12:52:36.818336
90,90,Stripe,GW_343f4d8d,231.44,USD,REFUNDED,2026-07-06T21:14:02.818336
91,91,PayPal,GW_47b5489c,495.47,USD,PENDING,2026-07-23T01:08:00.818336
92,92,Bank Transfer,GW_be8e7c4f,297.45,USD,PENDING,2026-08-16T04:31:41.818336
93,93,Credit Card,GW_b9d508c1,331.76,USD,COMPLETED,2026-04-11T13:07:06.818336
94,94,PayPal,GW_37476209,343.02,USD,REFUNDED,2025-11-29T04:56:34.818336
95,95,Credit Card,GW_a530e9ef,603.5,USD,PENDING,2026-05-16T09:11:37.818336
96,96,Bank Transfer,GW_904183ae,419.2,USD,FAILED,2026-07-17T19:26:25.818336
97,97,Bank Transfer,GW_57aa37ae,861.49,USD,COMPLETED,2025-10-31T16:58:44.818336
98,98,Stripe,GW_989b90fe,419.08,USD,FAILED,2026-02-24T10:38:58.818336
99,99,Bank Transfer,GW_a545c62e,196.45,USD,FAILED,2026-08-30T03:21:38.818336
100,100,Stripe,GW_5a71e1e6,143.13,USD,REFUNDED,2025-07-23T00:50:13.818336
101,101,Credit Card,GW_b8f59cee,517.73,USD,PENDING,2026-07-26T20:58:55.818336
102,102,Bank Transfer,GW_9e724b8e,370.25,USD,PENDING,2026-08-18T20:33:06.818336
103,103,Bank Transfer,GW_6c77454e,445.82,USD,COMPLETED,2026-08-18T10:24:53.818336
104,104,Bank Transfer,GW_8b2282a7,358.14,USD,REFUNDED,2026-08-09T22:23:47.818336
105,105,Credit Card,GW_03a607b1,324.77,USD,REFUNDED,2026-08-25T16:01:15.818336
106,106,PayPal,GW_a8e12f4f,1066.54,USD,PENDING,2026-09-15T19:13:09.818336
107,107,Stripe,GW_dce210c4,952.57,USD,FAILED,2026-09-02T20:47:00.818336
108,108,Credit Card,GW_e8911209,914.69,USD,COMPLETED,2026-05-22T23:14:04.818336
109,109,PayPal,GW_127bc32d,492.04,USD,REFUNDED,2025-03-30T04:43:14.818336
110,110,Stripe,GW_eafb918a,1050.75,USD,PENDING,2026-09-07T17:53:48.818336
111,111,Credit Card,GW_797f1eeb,639.23,USD,REFUNDED,2026-05-11T01:08:37.818336
112,112,Bank Transfer,GW_5786d8ed,45.47,USD,PENDING,2026-08-06T05:12:40.818336
113,113,PayPal,GW_d829e912,396.89,USD,PENDING,2025-10-18T19:39:31.818336
114,114,Credit Card,GW_621605e1,547.07,USD,PENDING,2026-07-26T07:31:22.818336
115,115,Credit Card,GW_2c3f5259,234.74,USD,REFUNDED,2026-03-27T13:59:28.818336
116,116,Credit Card,GW_0d187e03,1030.02,USD,PENDING,2026-09-15T17:12:10.818336
117,117,Credit Card,GW_511b0079,415.52,USD,FAILED,2026-05-06T16:07:06.818336
118,118,Credit Card,GW_c9a78083,347.08,USD,COMPLETED,2025-07-13T08:17:37.818336
119,119,Stripe,GW_a6b12b59,438.18,USD,PENDING,2026-08-31T15:01:31.818336
120,120,Stripe,GW_4c7f88c9,502.17,USD,REFUNDED,2026-03-08T08:19:13.818336
121,121,Bank Transfer,GW_209dc07c,629.36,USD,REFUNDED,2026-02-23T03:52:05.818336
122,122,Credit Card,GW_464cb872,1032.66,USD,COMPLETED,2026-06-08T08:37:02.818336
123,123,Credit Card,GW_8dc34d37,625.22,USD,REFUNDED,2026-06-30T02:39:35.818336
124,124,Credit Card,GW_2ca9865f,854.86,USD,REFUNDED,2025-02-23T15:15:08.818336
125,125,Bank Transfer,GW_097013ec,803.13,USD,PENDING,2026-06-30T11:05:38.818336
126,126,Stripe,GW_66429bb0,941.22,USD,PENDING,2026-09-15T01:18:25.818336
127,127,Bank Transfer,GW_a979038d,296.36,USD,REFUNDED,2026-09-04T03:27:41.818336
128,128,Credit Card,GW_633a79eb,707.75,USD,REFUNDED,2026-07-22T15:18:53.818336
129,129,PayPal,GW_ec84ee9f,587.25,USD,FAILED,2025-12-02T21:51:12.818336
130,130,PayPal,GW_6281835e,1001.62,USD,COMPLETED,2026-04-25T00:26:59.818336
131,131,Credit Card,GW_4778808b,742.03,USD,COMPLETED,2026-07-24T06:22:18.818336
132,132,PayPal,GW_4f849e2c,307.59,USD,PENDING,2025-10-13T00:14:02.818336
133,133,PayPal,GW_254bd972,847.59,USD,REFUNDED,2025-07-04T15:32:31.818336
134,134,Credit Card,GW_7175e4dc,888.21,USD,PENDING,2026-03-02T15:39:45.818336
135,135,PayPal,GW_c7e167c7,948.54,USD,FAILED,2026-05-15T10:20:50.818336
136,136,PayPal,GW_a5f2ec89,79.45,USD,REFUNDED,2025-07-02T08:01:22.818336
137,137,Bank Transfer,GW_4446b22d,481.06,USD,PENDING,2026-08-30T06:10:56.818336
138,138,Stripe,GW_6a2e217a,764.09,USD,COMPLETED,2026-09-10T12:51:54.818336
139,139,Bank Transfer,GW_f7c5ce77,587.7,USD,FAILED,2026-07-31T04:50:26.818336
140,140,PayPal,GW_2eaa5062,717.79,USD,REFUNDED,2026-03-13T07:02:40.818336
141,141,Stripe,GW_56439e25,545.33,USD,COMPLETED,2026-08-10T02:02:47.818336
142,142,PayPal,GW_7da49d7e,91.19,USD,COMPLETED,2025-05-22T20:40:37.818336
143,143,Bank Transfer,GW_a5ee1f9f,533.81,USD,PENDING,2025-09-22T08:44:33.818336
144,144,PayPal,GW_bdf6311b,805.41,USD,COMPLETED,2025-09-13T11:31:15.818336
145,145,PayPal,GW_b5e0ec9e,147.77,USD,REFUNDED,2026-09-15T19:41:36.818336
146,146,PayPal,GW_a8bedf8d,394.32,USD,FAILED,2026-08-16T22:39:33.818336
147,147,Stripe,GW_afd92851,270.84,USD,FAILED,2026-07-26T13:56:39.818336
148,148,Bank Transfer,GW_3c5be83b,872.91,USD,COMPLETED,2026-09-07T01:14:54.818336
149,149,Stripe,GW_c09c68e2,276.48,USD,COMPLETED,2026-02-09T08:51:57.818336
150,150,PayPal,GW_e26c53b2,842.58,USD,REFUNDED,2025-09-16T09:54:17.818336
151,151,Stripe,GW_49ccccb0,762.82,USD,COMPLETED,2025-10-20T15:46:09.818336
152,152,Credit Card,GW_55c27f6c,331.24,USD,FAILED,2026-06-22T23:13:01.818336
153,153,Credit Card,GW_315f3ce2,596.27,USD,PENDING,2026-01-04T16:20:29.818336
154,154,Stripe,GW_68690937,225.37,USD,COMPLETED,2026-07-06T04:09:50.818336
155,155,PayPal,GW_68cbdb6b,490.72,USD,COMPLETED,2026-07-16T16:40:18.818336
156,156,Stripe,GW_4bf93806,417.74,USD,COMPLETED,2026-05-20T04:38:27.818336
157,157,Credit Card,GW_ae2beb8b,787.42,USD,PENDING,2026-06-19T14:36:40.818336
158,158,Bank Transfer,GW_4e467281,645.78,USD,PENDING,2026-06-26T08:10:10.818336
159,159,PayPal,GW_c88af1c1,1029.29,USD,PENDING,2026-02-17T17:55:20.818336
160,160,Bank Transfer,GW_c77b3f90,523.69,USD,FAILED,2025-01-24T20:50:55.818336
161,161,PayPal,GW_eb7265e1,389.33,USD,COMPLETED,2026-05-15T07:57:40.818336
162,162,Stripe,GW_916dc748,476.66,USD,COMPLETED,2026-09-14T09:29:56.818336
163,163,Stripe,GW_f51b8e83,993.3,USD,FAILED,2026-01-13T01:34:29.818336
164,164,Credit Card,GW_c0558516,402.01,USD,FAILED,2026-05-21T09:11:07.818336
165,165,PayPal,GW_f1b247eb,105.78,USD,REFUNDED,2026-07-02T14:42:31.818336
166,166,PayPal,GW_b200a3e7,893.32,USD,COMPLETED,2026-08-27T14:54:08.818336
167,167,PayPal,GW_86669baf,950.15,USD,FAILED,2025-09-25T10:33:10.818336
168,168,Stripe,GW_917cc37e,328.36,USD,REFUNDED,2026-06-29T07:49:33.818336
169,169,Stripe,GW_5e46836c,182.44,USD,REFUNDED,2026-09-04T20:40:02.818336
170,170,PayPal,GW_2154a2d4,290.11,USD,REFUNDED,2026-07-03T06:56:25.818336
171,171,Bank Transfer,GW_1dff9bad,537.87,USD,REFUNDED,2026-03-20T18:07:52.818336
172,172,Bank Transfer,GW_457263c4,279.53,USD,REFUNDED,2026-06-10T13:39:34.818336
173,173,Stripe,GW_9dd7eeda,355.7,USD,PENDING,2026-05-03T20:51:20.818336
174,174,PayPal,GW_5c0ea3e6,888.29,USD,COMPLETED,2026-09-11T14:10:11.818336
175,175,PayPal,GW_0d934826,508.69,USD,PENDING,2026-07-03T04:30:03.818336
176,176,Bank Transfer,GW_29326f8b,516.27,USD,COMPLETED,2026-07-31T06:02:22.818336
177,177,Stripe,GW_a7604518,943.68,USD,COMPLETED,2026-07-18T23:26:06.818336
178,178,Bank Transfer,GW_acf1c739,604.15,USD,FAILED,2025-08-26T00:39:50.818336
179,179,Credit Card,GW_c12f0fd9,436.94,USD,COMPLETED,2026-08-27T15:26:15.818336
180,180,Bank Transfer,GW_768b5108,511.72,USD,REFUNDED,2026-06-10T19:30:55.818336
181,181,Stripe,GW_22e2be57,587.07,USD,REFUNDED,2025-07-19T13:43:33.818336
182,182,Credit Card,GW_39632e4c,214.29,USD,PENDING,2026-02-04T04:33:23.818336
183,183,Bank Transfer,GW_18a960ed,467.26,USD,FAILED,2025-08-05T22:25:23.818336
184,184,PayPal,GW_9a265e8f,799.36,USD,PENDING,2026-08-17T12:49:13.818336
185,185,Bank Transfer,GW_789122c7,950.04,USD,REFUNDED,2025-10-15T05:51:22.818336
186,186,PayPal,GW_ac14affb,76.71,USD,PENDING,2026-02-11T16:14:51.818336
187,187,Bank Transfer,GW_78521418,533.02,USD,REFUNDED,2026-05-15T04:54:45.818336
188,188,Stripe,GW_3f23a8e7,363.71,USD,FAILED,2026-03-22T21:08:19.818336
189,189,Credit Card,GW_bd8fb921,688.83,USD,REFUNDED,2025-11-24T23:02:08.818336
190,190,Stripe,GW_6143c307,606.8,USD,FAILED,2026-03-02T08:22:54.818336
191,191,Credit Card,GW_2e6644e8,785.85,USD,PENDING,2026-03-10T02:23:58.818336
192,192,Credit Card,GW_30f3c850,816.59,USD,REFUNDED,2026-04-03T22:44:51.818336
193,193,Bank Transfer,GW_7a500172,481.9,USD,REFUNDED,2026-08-24T05:44:24.818336
194,194,Credit Card,GW_d1fa42bd,836.95,USD,COMPLETED,2025-11-06T14:10:55.818336
195,195,Credit Card,GW_96e986a7,982.13,USD,REFUNDED,2026-05-12T13:51:33.818336
196,196,PayPal,GW_5b74919c,789.48,USD,FAILED,2026-03-02T06:13:31.818336
197,197,Bank Transfer,GW_7fed5d01,1030.51,USD,PENDING,2026-09-05T04:39:16.818336
198,198,Stripe,GW_6f156995,1041.85,USD,FAILED,2025-06-20T07:31:54.818336
199,199,PayPal,GW_8a1050b6,214.34,USD,COMPLETED,2026-09-09T00:08:47.818336
200,200,Credit Card,GW_1e0347a1,491.82,USD,COMPLETED,2025-05-09T01:38:29.818336
201,201,Stripe,GW_022bf469,938.43,USD,PENDING,2026-07-22T07:55:11.818336
202,202,Bank Transfer,GW_4a058ca0,531.81,USD,REFUNDED,2025-01-28T17:36:06.818336
203,203,Credit Card,GW_2af43744,745.51,USD,PENDING,2026-05-04T08:45:54.818336
204,204,Credit Card,GW_208822bb,193.17,USD,FAILED,2026-02-08T21:06:32.818336
205,205,PayPal,GW_c7f8fe20,1081.36,USD,FAILED,2026-04-26T05:08:58.818336
206,206,PayPal,GW_06e67ecf,481.9,USD,COMPLETED,2025-07-17T18:43:53.818336
207,207,Stripe,GW_3fca61ca,375.37,USD,REFUNDED,2026-03-01T23:22:18.818336
208,208,PayPal,GW_18971951,729.53,USD,REFUNDED,2025-08-20T15:47:43.818336
209,209,Bank Transfer,GW_3ed239fc,577.79,USD,COMPLETED,2024-10-01T04:53:43.818336
210,210,PayPal,GW_baf42192,729.7,USD,PENDING,2025-05-05T15:21:10.818336
211,211,Credit Card,GW_7e039c7a,374.25,USD,REFUNDED,2026-09-15T18:55:15.818336
212,212,Bank Transfer,GW_06a9dba0,902.61,USD,REFUNDED,2026-08-06T17:01:04.818336
213,213,Bank Transfer,GW_237a6507,289.16,USD,COMPLETED,2025-06-27T21:38:48.818336
214,214,Bank Transfer,GW_3acb85e5,498.38,USD,REFUNDED,2026-04-18T06:03:57.818336
215,215,Credit Card,GW_bcfc830c,43.07,USD,COMPLETED,2026-01-13T07:08:45.818336
216,216,Stripe,GW_9ad0acfd,861.12,USD,COMPLETED,2026-07-23T10:27:04.818336
217,217,Stripe,GW_bf8d114e,788.88,USD,COMPLETED,2026-03-11T10:42:15.818336
218,218,Credit Card,GW_2f37b194,299.58,USD,PENDING,2025-10-06T13:38:20.818336
219,219,PayPal,GW_8749c2d0,308.53,USD,REFUNDED,2026-05-23T20:57:27.818336
220,220,Bank Transfer,GW_aaf758e7,616.92,USD,COMPLETED,2026-08-07T22:03:48.818336
221,221,Credit Card,GW_de85fe97,418.38,USD,FAILED,2026-08-24T22:42:00.818336
222,222,Bank Transfer,GW_da910b19,276.52,USD,REFUNDED,2026-08-01T01:20:22.818336
223,223,PayPal,GW_86ee2b46,432.78,USD,FAILED,2025-02-12T19:19:46.818336
224,224,PayPal,GW_d67c3bdd,36.56,USD,PENDING,2026-05-03T03:50:42.818336
225,225,PayPal,GW_0469893d,239.51,USD,PENDING,2025-11-20T01:41:33.818336
226,226,Credit Card,GW_d176b003,932.96,USD,PENDING,2026-09-14T05:37:22.818336
227,227,Credit Card,GW_6cedd707,287.12,USD,FAILED,2025-05-11T19:30:07.818336
228,228,Stripe,GW_7d114639,311.42,USD,FAILED,2025-06-18T01:51:26.818336
229,229,Credit Card,GW_94700729,763.13,USD,PENDING,2025-11-22T03:56:22.818336
230,230,Stripe,GW_5ec70449,837.72,USD,REFUNDED,2026-05-16T08:31:31.818336
231,231,Bank Transfer,GW_fb64a241,943.99,USD,COMPLETED,2026-04-14T12:03:15.818336
232,232,Credit Card,GW_65b800b3,849.26,USD,COMPLETED,2026-08-06T07:50:42.818336
233,233,Bank Transfer,GW_38a53b9c,1001.3,USD,FAILED,2026-02-14T00:54:02.818336
234,234,PayPal,GW_1172490b,897.15,USD,COMPLETED,2026-04-20T04:17:11.818336
235,235,Bank Transfer,GW_13cecef4,373.41,USD,REFUNDED,2026-09-04T12:23:57.818336
236,236,Stripe,GW_adce0a59,489.45,USD,PENDING,2025-12-28T02:04:00.818336
237,237,Bank Transfer,GW_13e05bd7,1056.29,USD,COMPLETED,2026-08-18T18:18:55.818336
238,238,PayPal,GW_df4452e9,887.52,USD,PENDING,2026-07-07T08:10:09.818336
239,239,Credit Card,GW_5dfaa8c4,378.99,USD,REFUNDED,2025-12-26T00:53:27.818336
240,240,Credit Card,GW_0032a694,700.92,USD,COMPLETED,2026-08-15T17:42:49.818336
241,241,PayPal,GW_f53716d3,821.71,USD,COMPLETED,2025-09-17T09:49:30.818336
242,242,PayPal,GW_18f4ec1e,770.04,USD,FAILED,2025-07-29T02:08:59.818336
243,243,Credit Card,GW_c8831bc0,639.85,USD,REFUNDED,2026-04-09T03:25:47.818336
244,244,PayPal,GW_d0cfa928,994.31,USD,REFUNDED,2025-07-08T03:56:04.818336
245,245,Credit Card,GW_df3da8ea,195.61,USD,FAILED,2026-03-04T08:52:54.818336
246,246,Stripe,GW_cd0888e2,852.11,USD,FAILED,2026-05-10T16:09:32.818336
247,247,PayPal,GW_162148b8,453.66,USD,FAILED,2026-08-14T16:24:55.818336
248,248,PayPal,GW_6170c932,819.9,USD,PENDING,2026-03-24T18:43:59.818336
249,249,PayPal,GW_66a8369e,590.47,USD,COMPLETED,2025-07-17T05:54:00.818336
250,250,Stripe,GW_047bb9f9,755.31,USD,COMPLETED,2026-02-02T00:49:01.818336
251,251,Stripe,GW_4fb2bfc6,381.42,USD,COMPLETED,2025-05-17T16:53:48.818336
252,252,Credit Card,GW_7a255e4f,990.63,USD,COMPLETED,2026-09-10T11:57:23.818336
253,253,Bank Transfer,GW_6bfd58a4,377.88,USD,REFUNDED,2025-05-02T13:21:30.818336
254,254,Bank Transfer,GW_1212a8db,128.64,USD,COMPLETED,2026-06-15T06:50:16.818336
255,255,PayPal,GW_850d5014,877.21,USD,REFUNDED,2026-07-03T08:38:14.818336
256,256,Bank Transfer,GW_281798de,340.26,USD,PENDING,2025-05-01T03:31:20.818336
257,257,Credit Card,GW_924fb5ea,121.2,USD,FAILED,2025-11-01T18:36:24.818336
258,258,Bank Transfer,GW_74acc875,215.6,USD,REFUNDED,2026-06-30T09:47:40.818336
259,259,Bank Transfer,GW_6fdbccf5,788.67,USD,FAILED,2026-09-06T23:20:32.818336
260,260,Stripe,GW_851a2e36,450.21,USD,REFUNDED,2026-04-21T17:47:12.818336
261,261,PayPal,GW_a26ec9ec,1045.83,USD,REFUNDED,2026-03-31T18:14:57.818336
262,262,Bank Transfer,GW_6ba5abce,677.42,USD,COMPLETED,2025-08-28T02:02:18.818336
263,263,PayPal,GW_c525ca83,306.01,USD,PENDING,2026-03-07T15:08:22.818336
264,264,Bank Transfer,GW_34428f76,171.32,USD,REFUNDED,2026-07-26T21:02:34.818336
265,265,Bank Transfer,GW_46a7ee1f,676.58,USD,FAILED,2026-09-15T09:28:34.818336
266,266,Stripe,GW_ddcc0b71,211.62,USD,PENDING,2026-08-03T09:34:38.818336
267,267,Credit Card,GW_6a16460a,1010.68,USD,COMPLETED,2026-03-19T19:39:53.818336
268,268,Credit Card,GW_b671d280,466.77,USD,REFUNDED,2026-09-13T03:54:23.818336
269,269,Bank Transfer,GW_6cb4fb9f,1025.95,USD,COMPLETED,2025-11-19T00:25:33.818336
270,270,Bank Transfer,GW_d39bfddc,255.69,USD,PENDING,2026-08-06T06:43:16.818336
271,271,Bank Transfer,GW_1dbe006c,1006.37,USD,FAILED,2026-05-26T08:40:26.818336
272,272,Bank Transfer,GW_c122d64b,722.34,USD,REFUNDED,2026-01-05T03:46:49.818336
273,273,Bank Transfer,GW_40995f16,543.38,USD,FAILED,2025-06-10T06:23:03.818336
274,274,Bank Transfer,GW_379cb3de,673.6,USD,PENDING,2025-06-06T16:47:56.818336
275,275,Credit Card,GW_81047769,590.92,USD,PENDING,2026-08-28T20:57:32.818336
276,276,PayPal,GW_7b5e7170,168.54,USD,REFUNDED,2026-06-12T20:54:06.818336
277,277,Bank Transfer,GW_6fbebb60,710.45,USD,COMPLETED,2026-03-19T11:54:11.818336
278,278,PayPal,GW_c5136d09,680.0,USD,PENDING,2026-01-07T06:55:26.818336
279,279,Stripe,GW_5b3574c5,590.92,USD,REFUNDED,2026-09-06T17:54:02.818336
280,280,Bank Transfer,GW_c4529d3f,396.6,USD,PENDING,2026-08-04T06:53:10.818336
281,281,Credit Card,GW_4769e664,477.1,USD,FAILED,2026-03-28T21:34:41.818336
282,282,PayPal,GW_6fa53049,857.96,USD,COMPLETED,2025-11-04T12:10:29.818336
283,283,PayPal,GW_7e641e39,802.76,USD,COMPLETED,2025-05-07T21:56:04.818336
284,284,Stripe,GW_b86d9437,859.0,USD,REFUNDED,2025-11-25T13:11:16.818336
285,285,Credit Card,GW_9e85963e,298.8,USD,FAILED,2026-09-13T23:00:18.818336
286,286,Credit Card,GW_17affe18,369.28,USD,FAILED,2026-07-20T08:18:41.818336
