review_id,product_id,customer_id,order_id,rating,title,body,is_verified_purchase,created_at,is_approved
41,15,152,,3,Review 41,This is a review for product with rating 3.,TRUE,2025-04-08T11:07:59.818336,TRUE
42,74,179,,4,Review 42,This is a review for product with rating 4.,TRUE,2026-08-19T18:36:29.818336,TRUE
43,39,97,291,5,Review 43,This is a review for product with rating 5.,TRUE,2024-12-16T13:31:32.818336,TRUE
44,129,146,172,5,Review 44,This is a review for product with rating 5.,TRUE,2026-01-22T20:46:29.818336,TRUE
45,146,118,,5,Review 45,This is a review for product with rating 5.,TRUE,2024-11-04T04:49:49.818336,TRUE
46,95,151,,3,Review 46,This is a review for product with rating 3.,TRUE,2025-10-18T07:45:23.818336,TRUE
47,22,63,176,5,Review 47,This is a review for product with rating 5.,TRUE,2026-03-04T15:32:53.818336,TRUE
48,49,69,213,4,Review 48,This is a review for product with rating 4.,TRUE,2026-05-13T09:07:58.818336,FALSE
49,128,33,197,5,Review 49,This is a review for product with rating 5.,FALSE,2025-05-25T16:32:40.818336,TRUE
50,75,124,,5,Review 50,This is a review for product with rating 5.,TRUE,2024-11-17T23:45:09.818336,TRUE
51,73,161,138,5,Review 51,This is a review for product with rating 5.,TRUE,2025-07-24T01:28:50.818336,TRUE
52,80,10,265,5,Review 52,This is a review for product with rating 5.,TRUE,2024-12-31T11:21:55.818336,TRUE
53,23,123,,4,Review 53,This is a review for product with rating 4.,TRUE,2025-07-07T09:45:17.818336,FALSE
54,95,178,,5,Review 54,This is a review for product with rating 5.,TRUE,2026-03-27T16:15:39.818336,TRUE
55,122,128,62,5,Review 55,This is a review for product with rating 5.,FALSE,2025-12-15T20:33:39.818336,TRUE
56,146,63,37,5,Review 56,This is a review for product with rating 5.,TRUE,2026-02-02T02:28:48.818336,TRUE
57,95,199,85,5,Review 57,This is a review for product with rating 5.,TRUE,2025-02-04T23:35:00.818336,TRUE
58,24,61,134,5,Review 58,This is a review for product with rating 5.,TRUE,2025-01-24T16:09:40.818336,TRUE
59,110,103,127,5,Review 59,This is a review for product with rating 5.,TRUE,2025-11-21T18:36:53.818336,TRUE
60,57,199,12,2,Review 60,This is a review for product with rating 2.,TRUE,2026-01-14T08:51:41.818336,FALSE
61,40,75,,5,Review 61,This is a review for product with rating 5.,FALSE,2025-06-21T21:51:11.818336,TRUE
62,35,178,,5,Review 62,This is a review for product with rating 5.,FALSE,2026-07-13T08:26:26.818336,TRUE
63,66,175,,4,Review 63,This is a review for product with rating 4.,TRUE,2024-12-29T04:59:57.818336,TRUE
64,90,152,84,5,Review 64,This is a review for product with rating 5.,FALSE,2026-01-22T13:01:49.818336,TRUE
65,113,181,210,5,Review 65,This is a review for product with rating 5.,FALSE,2025-04-13T12:10:05.818336,TRUE
66,62,10,,5,Review 66,This is a review for product with rating 5.,FALSE,2025-02-14T19:31:52.818336,TRUE
67,145,8,201,5,Review 67,This is a review for product with rating 5.,TRUE,2026-05-29T15:25:48.818336,FALSE
68,147,139,,3,Review 68,This is a review for product with rating 3.,TRUE,2025-11-20T15:33:14.818336,TRUE
69,107,194,,5,Review 69,This is a review for product with rating 5.,TRUE,2026-07-11T03:50:51.818336,TRUE
70,83,8,,5,Review 70,This is a review for product with rating 5.,TRUE,2024-11-13T22:07:13.818336,TRUE
71,112,19,116,5,Review 71,This is a review for product with rating 5.,TRUE,2026-08-16T04:50:00.818336,TRUE
72,97,15,,5,Review 72,This is a review for product with rating 5.,TRUE,2026-08-14T05:33:59.818336,TRUE
73,19,118,,4,Review 73,This is a review for product with rating 4.,TRUE,2026-06-02T05:24:38.818336,FALSE
74,122,37,,4,Review 74,This is a review for product with rating 4.,TRUE,2024-11-25T09:52:47.818336,TRUE
75,97,21,,4,Review 75,This is a review for product with rating 4.,FALSE,2025-02-11T11:21:35.818336,TRUE
76,36,171,,5,Review 76,This is a review for product with rating 5.,TRUE,2026-05-03T16:57:22.818336,TRUE
77,124,147,,5,Review 77,This is a review for product with rating 5.,TRUE,2026-08-24T12:11:59.818336,TRUE
78,104,54,,5,Review 78,This is a review for product with rating 5.,FALSE,2025-09-17T02:36:59.818336,FALSE
79,9,124,12,5,Review 79,This is a review for product with rating 5.,TRUE,2026-06-23T12:44:49.818336,TRUE
80,33,88,,4,Review 80,This is a review for product with rating 4.,TRUE,2025-10-13T19:15:22.818336,TRUE
81,19,57,42,4,Review 81,This is a review for product with rating 4.,TRUE,2025-05-11T11:53:08.818336,TRUE
82,64,180,,4,Review 82,This is a review for product with rating 4.,TRUE,2025-08-12T16:14:04.818336,TRUE
83,126,166,108,4,Review 83,This is a review for product with rating 4.,TRUE,2024-11-14T07:30:27.818336,TRUE
84,49,32,10,4,Review 84,This is a review for product with rating 4.,TRUE,2024-11-07T16:43:10.818336,TRUE
85,107,87,247,4,Review 85,This is a review for product with rating 4.,TRUE,2026-01-29T00:30:49.818336,TRUE
86,127,83,,5,Review 86,This is a review for product with rating 5.,TRUE,2025-08-14T04:22:33.818336,TRUE
87,21,67,,5,Review 87,This is a review for product with rating 5.,TRUE,2026-03-31T14:48:26.818336,TRUE
88,7,50,234,5,Review 88,This is a review for product with rating 5.,FALSE,2025-11-22T10:47:32.818336,TRUE
89,139,158,128,5,Review 89,This is a review for product with rating 5.,TRUE,2026-05-20T04:04:29.818336,TRUE
90,59,138,1,5,Review 90,This is a review for product with rating 5.,TRUE,2025-07-03T11:54:13.818336,FALSE
91,124,78,245,5,Review 91,This is a review for product with rating 5.,TRUE,2026-09-14T05:58:03.818336,TRUE
92,25,10,215,5,Review 92,This is a review for product with rating 5.,FALSE,2025-03-12T01:51:46.818336,TRUE
93,86,174,110,5,Review 93,This is a review for product with rating 5.,FALSE,2025-08-21T15:26:10.818336,TRUE
94,124,99,19,5,Review 94,This is a review for product with rating 5.,TRUE,2025-07-26T04:32:40.818336,FALSE
95,16,69,,4,Review 95,This is a review for product with rating 4.,TRUE,2026-01-11T13:07:00.818336,TRUE
96,72,16,174,5,Review 96,This is a review for product with rating 5.,FALSE,2024-10-04T06:25:58.818336,TRUE
97,46,123,108,4,Review 97,This is a review for product with rating 4.,TRUE,2026-08-11T05:57:10.818336,TRUE
98,106,50,74,4,Review 98,This is a review for product with rating 4.,TRUE,2024-10-13T06:01:16.818336,TRUE
99,82,78,,4,Review 99,This is a review for product with rating 4.,TRUE,2025-03-22T13:47:15.818336,TRUE
100,9,12,141,5,Review 100,This is a review for product with rating 5.,FALSE,2025-04-26T12:07:21.818336,TRUE
101,105,179,23,5,Review 101,This is a review for product with rating 5.,FALSE,2025-07-14T16:56:33.818336,TRUE
102,125,169,,4,Review 102,This is a review for product with rating 4.,TRUE,2026-04-22T21:55:26.818336,TRUE
103,60,14,,4,Review 103,This is a review for product with rating 4.,TRUE,2025-02-14T04:21:56.818336,TRUE
104,115,101,,5,Review 104,This is a review for product with rating 5.,TRUE,2026-07-14T10:59:39.818336,TRUE
105,145,77,,4,Review 105,This is a review for product with rating 4.,TRUE,2026-02-23T03:45:39.818336,TRUE
106,117,34,,5,Review 106,This is a review for product with rating 5.,FALSE,2026-02-04T23:51:16.818336,TRUE
107,12,128,,5,Review 107,This is a review for product with rating 5.,TRUE,2026-01-09T01:32:44.818336,TRUE
108,22,117,134,4,Review 108,This is a review for product with rating 4.,FALSE,2026-05-26T20:14:20.818336,TRUE
109,21,130,285,5,Review 109,This is a review for product with rating 5.,TRUE,2026-04-19T02:25:54.818336,TRUE
110,21,119,181,4,Review 110,This is a review for product with rating 4.,FALSE,2026-02-15T01:09:00.818336,TRUE
111,30,138,132,5,Review 111,This is a review for product with rating 5.,FALSE,2025-12-11T18:26:29.818336,TRUE
112,6,93,,5,Review 112,This is a review for product with rating 5.,TRUE,2025-05-29T09:15:58.818336,TRUE
113,129,45,,5,Review 113,This is a review for product with rating 5.,TRUE,2026-04-25T00:54:53.818336,TRUE
114,3,156,,3,Review 114,This is a review for product with rating 3.,TRUE,2025-08-20T21:37:22.818336,TRUE
115,11,66,,5,Review 115,This is a review for product with rating 5.,TRUE,2026-05-18T20:16:27.818336,TRUE
116,34,101,73,3,Review 116,This is a review for product with rating 3.,TRUE,2026-03-25T03:29:56.818336,TRUE
117,55,47,,5,Review 117,This is a review for product with rating 5.,TRUE,2025-07-18T10:25:56.818336,FALSE
118,58,148,117,5,Review 118,This is a review for product with rating 5.,TRUE,2025-04-17T10:03:54.818336,TRUE
119,102,140,,2,Review 119,This is a review for product with rating 2.,TRUE,2025-01-22T21:20:30.818336,FALSE
120,34,110,,4,Review 120,This is a review for product with rating 4.,TRUE,2025-12-25T08:58:22.818336,TRUE
121,15,177,222,4,Review 121,This is a review for product with rating 4.,TRUE,2025-07-07T03:14:13.818336,TRUE
122,11,178,56,4,Review 122,This is a review for product with rating 4.,TRUE,2025-04-07T23:48:39.818336,TRUE
123,98,82,,4,Review 123,This is a review for product with rating 4.,FALSE,2026-01-26T08:59:22.818336,TRUE
124,95,114,,5,Review 124,This is a review for product with rating 5.,TRUE,2026-01-26T02:11:25.818336,FALSE
125,76,184,205,4,Review 125,This is a review for product with rating 4.,TRUE,2025-09-25T16:05:36.818336,TRUE
126,45,186,169,5,Review 126,This is a review for product with rating 5.,FALSE,2024-09-20T12:33:49.818336,TRUE
127,131,136,,5,Review 127,This is a review for product with rating 5.,FALSE,2026-01-12T12:36:47.818336,FALSE
128,103,66,,5,Review 128,This is a review for product with rating 5.,TRUE,2025-06-28T00:55:00.818336,TRUE
129,58,133,,4,Review 129,This is a review for product with rating 4.,TRUE,2024-12-28T17:35:14.818336,TRUE
130,101,114,,4,Review 130,This is a review for product with rating 4.,TRUE,2024-10-07T12:38:40.818336,TRUE
131,41,14,,3,Review 131,This is a review for product with rating 3.,TRUE,2026-01-31T07:03:58.818336,TRUE
132,101,7,269,4,Review 132,This is a review for product with rating 4.,FALSE,2026-06-02T05:35:52.818336,TRUE
133,56,118,,4,Review 133,This is a review for product with rating 4.,TRUE,2026-01-05T00:41:30.818336,TRUE
134,21,30,,5,Review 134,This is a review for product with rating 5.,TRUE,2024-10-21T20:08:47.818336,TRUE
135,148,111,96,5,Review 135,This is a review for product with rating 5.,TRUE,2025-03-31T02:25:40.818336,TRUE
136,17,90,28,1,Review 136,This is a review for product with rating 1.,TRUE,2025-04-22T16:58:23.818336,TRUE
137,136,169,,5,Review 137,This is a review for product with rating 5.,TRUE,2026-08-20T02:24:13.818336,TRUE
138,116,136,,5,Review 138,This is a review for product with rating 5.,TRUE,2025-03-11T09:56:09.818336,TRUE
139,97,168,109,3,Review 139,This is a review for product with rating 3.,FALSE,2025-04-28T20:51:02.818336,TRUE
140,17,1,,3,Review 140,This is a review for product with rating 3.,TRUE,2026-05-07T18:50:31.818336,TRUE
141,70,141,274,5,Review 141,This is a review for product with rating 5.,FALSE,2025-08-03T15:46:04.818336,TRUE
142,106,83,,4,Review 142,This is a review for product with rating 4.,TRUE,2025-11-17T05:56:09.818336,TRUE
143,12,120,104,5,Review 143,This is a review for product with rating 5.,TRUE,2025-04-08T17:32:55.818336,FALSE
144,123,162,85,5,Review 144,This is a review for product with rating 5.,TRUE,2025-10-12T13:43:24.818336,TRUE
145,150,52,,1,Review 145,This is a review for product with rating 1.,TRUE,2025-10-10T19:15:04.818336,TRUE
146,16,3,,4,Review 146,This is a review for product with rating 4.,TRUE,2026-08-18T08:14:41.818336,TRUE
147,55,15,,4,Review 147,This is a review for product with rating 4.,FALSE,2025-06-16T18:56:44.818336,FALSE
148,7,158,,5,Review 148,This is a review for product with rating 5.,TRUE,2025-03-21T03:41:49.818336,TRUE
149,147,85,,3,Review 149,This is a review for product with rating 3.,TRUE,2025-06-04T22:16:37.818336,TRUE
150,130,131,,4,Review 150,This is a review for product with rating 4.,TRUE,2026-03-04T10:26:00.818336,TRUE
151,147,162,,4,Review 151,This is a review for product with rating 4.,TRUE,2024-11-01T16:15:43.818336,TRUE
152,33,34,117,5,Review 152,This is a review for product with rating 5.,TRUE,2026-04-19T19:22:31.818336,TRUE
153,139,109,,5,Review 153,This is a review for product with rating 5.,TRUE,2025-10-22T07:33:04.818336,TRUE
154,77,55,5,5,Review 154,This is a review for product with rating 5.,TRUE,2025-11-05T23:50:56.818336,TRUE
155,115,29,163,5,Review 155,This is a review for product with rating 5.,TRUE,2026-01-28T12:21:55.818336,TRUE
156,80,106,199,5,Review 156,This is a review for product with rating 5.,FALSE,2025-10-17T03:01:58.818336,TRUE
157,10,137,,5,Review 157,This is a review for product with rating 5.,FALSE,2025-11-24T11:37:10.818336,TRUE
158,47,102,,4,Review 158,This is a review for product with rating 4.,TRUE,2025-11-05T19:15:04.818336,TRUE
159,121,161,,3,Review 159,This is a review for product with rating 3.,TRUE,2025-01-11T17:39:50.818336,TRUE
160,147,44,225,5,Review 160,This is a review for product with rating 5.,TRUE,2025-12-27T03:47:29.818336,TRUE
161,39,163,,5,Review 161,This is a review for product with rating 5.,TRUE,2026-06-15T00:26:12.818336,TRUE
162,122,131,,3,Review 162,This is a review for product with rating 3.,TRUE,2025-07-28T12:57:39.818336,TRUE
163,100,73,,5,Review 163,This is a review for product with rating 5.,TRUE,2026-03-13T06:29:24.818336,TRUE
164,121,193,169,5,Review 164,This is a review for product with rating 5.,TRUE,2025-04-11T12:42:05.818336,TRUE
165,78,162,165,5,Review 165,This is a review for product with rating 5.,TRUE,2026-08-30T08:25:25.818336,TRUE
166,85,10,,3,Review 166,This is a review for product with rating 3.,FALSE,2025-12-25T00:38:10.818336,TRUE
167,19,168,1,2,Review 167,This is a review for product with rating 2.,TRUE,2026-05-19T09:36:07.818336,TRUE
168,79,170,4,3,Review 168,This is a review for product with rating 3.,FALSE,2026-04-10T16:30:13.818336,TRUE
169,2,79,71,4,Review 169,This is a review for product with rating 4.,FALSE,2025-08-18T05:46:04.818336,TRUE
170,71,144,,5,Review 170,This is a review for product with rating 5.,FALSE,2025-12-01T18:27:53.818336,TRUE
171,16,192,173,3,Review 171,This is a review for product with rating 3.,FALSE,2024-10-12T20:17:50.818336,TRUE
172,70,106,85,4,Review 172,This is a review for product with rating 4.,TRUE,2026-05-21T15:13:50.818336,TRUE
173,29,186,,1,Review 173,This is a review for product with rating 1.,TRUE,2024-09-17T06:14:20.818336,TRUE
174,89,30,179,2,Review 174,This is a review for product with rating 2.,TRUE,2025-12-07T20:02:11.818336,TRUE
175,105,143,198,4,Review 175,This is a review for product with rating 4.,TRUE,2025-11-07T11:15:57.818336,TRUE
176,60,52,,5,Review 176,This is a review for product with rating 5.,TRUE,2024-10-11T12:58:53.818336,TRUE
177,114,47,48,2,Review 177,This is a review for product with rating 2.,TRUE,2026-05-29T19:11:10.818336,TRUE
178,100,123,,4,Review 178,This is a review for product with rating 4.,TRUE,2025-12-11T05:16:19.818336,TRUE
179,7,135,,5,Review 179,This is a review for product with rating 5.,TRUE,2025-06-06T03:56:35.818336,FALSE
180,2,182,256,4,Review 180,This is a review for product with rating 4.,TRUE,2026-06-07T17:00:53.818336,FALSE
181,108,10,8,5,Review 181,This is a review for product with rating 5.,TRUE,2025-02-01T09:07:24.818336,TRUE
182,150,181,69,3,Review 182,This is a review for product with rating 3.,TRUE,2025-04-15T23:37:27.818336,TRUE
183,146,192,,3,Review 183,This is a review for product with rating 3.,TRUE,2024-12-05T15:07:00.818336,TRUE
184,141,69,,3,Review 184,This is a review for product with rating 3.,TRUE,2026-02-03T07:05:43.818336,TRUE
185,112,86,,4,Review 185,This is a review for product with rating 4.,TRUE,2024-12-09T20:56:58.818336,TRUE
186,6,1,217,5,Review 186,This is a review for product with rating 5.,TRUE,2025-10-07T12:57:22.818336,FALSE
187,43,109,217,3,Review 187,This is a review for product with rating 3.,TRUE,2025-09-09T15:16:29.818336,TRUE
188,107,39,235,5,Review 188,This is a review for product with rating 5.,FALSE,2025-03-04T01:58:34.818336,TRUE
189,47,195,99,4,Review 189,This is a review for product with rating 4.,TRUE,2026-05-21T02:09:46.818336,TRUE
190,58,37,,4,Review 190,This is a review for product with rating 4.,TRUE,2025-05-27T01:05:29.818336,TRUE
191,11,53,,4,Review 191,This is a review for product with rating 4.,FALSE,2025-12-29T23:28:13.818336,TRUE
192,50,149,,5,Review 192,This is a review for product with rating 5.,TRUE,2025-08-07T19:42:48.818336,TRUE
193,28,194,164,4,Review 193,This is a review for product with rating 4.,TRUE,2025-02-07T07:14:53.818336,TRUE
194,50,158,,4,Review 194,This is a review for product with rating 4.,FALSE,2026-01-22T11:07:58.818336,TRUE
195,71,92,165,5,Review 195,This is a review for product with rating 5.,TRUE,2024-12-26T03:33:23.818336,TRUE
196,104,32,,5,Review 196,This is a review for product with rating 5.,FALSE,2025-01-08T00:08:49.818336,TRUE
197,61,50,70,5,Review 197,This is a review for product with rating 5.,TRUE,2026-03-11T19:38:41.818336,TRUE
198,77,168,,4,Review 198,This is a review for product with rating 4.,TRUE,2025-07-18T05:26:41.818336,TRUE
199,2,3,249,4,Review 199,This is a review for product with rating 4.,TRUE,2025-07-08T12:52:30.818336,FALSE
200,53,96,98,2,Review 200,This is a review for product with rating 2.,TRUE,2025-06-30T17:12:57.818336,TRUE
201,123,33,59,4,Review 201,This is a review for product with rating 4.,TRUE,2024-11-14T04:47:26.818336,TRUE
202,48,197,,4,Review 202,This is a review for product with rating 4.,TRUE,2026-07-17T20:37:47.818336,TRUE
203,111,67,,4,Review 203,This is a review for product with rating 4.,FALSE,2024-09-18T09:13:04.818336,TRUE
204,41,78,281,4,Review 204,This is a review for product with rating 4.,TRUE,2026-08-10T21:50:13.818336,TRUE
205,82,196,224,1,Review 205,This is a review for product with rating 1.,TRUE,2025-07-27T14:17:32.818336,TRUE
206,13,58,219,2,Review 206,This is a review for product with rating 2.,TRUE,2025-02-23T03:08:22.818336,TRUE
207,9,128,57,2,Review 207,This is a review for product with rating 2.,TRUE,2025-01-22T19:34:36.818336,TRUE
208,128,38,,5,Review 208,This is a review for product with rating 5.,TRUE,2025-11-17T12:17:55.818336,TRUE
209,111,91,96,3,Review 209,This is a review for product with rating 3.,TRUE,2025-09-05T22:12:54.818336,TRUE
210,58,30,204,5,Review 210,This is a review for product with rating 5.,FALSE,2026-09-02T23:19:23.818336,FALSE
211,148,159,,5,Review 211,This is a review for product with rating 5.,TRUE,2026-04-05T02:06:13.818336,FALSE
212,77,169,131,1,Review 212,This is a review for product with rating 1.,TRUE,2025-04-03T18:08:37.818336,FALSE
213,7,13,223,5,Review 213,This is a review for product with rating 5.,TRUE,2024-09-21T09:54:00.818336,FALSE
214,43,75,,5,Review 214,This is a review for product with rating 5.,TRUE,2026-05-10T19:24:42.818336,TRUE
215,130,146,245,4,Review 215,This is a review for product with rating 4.,TRUE,2025-12-06T03:32:44.818336,TRUE
216,106,191,143,4,Review 216,This is a review for product with rating 4.,FALSE,2026-08-03T21:06:35.818336,TRUE
217,11,122,230,1,Review 217,This is a review for product with rating 1.,FALSE,2025-09-20T14:51:41.818336,TRUE
218,24,22,,5,Review 218,This is a review for product with rating 5.,TRUE,2025-03-05T01:03:23.818336,TRUE
219,111,46,,5,Review 219,This is a review for product with rating 5.,TRUE,2026-02-22T11:59:34.818336,TRUE
220,28,31,76,5,Review 220,This is a review for product with rating 5.,TRUE,2026-03-29T22:31:33.818336,FALSE
221,4,117,,5,Review 221,This is a review for product with rating 5.,FALSE,2026-01-30T15:10:14.818336,TRUE
222,31,18,268,5,Review 222,This is a review for product with rating 5.,TRUE,2024-10-24T04:50:42.818336,TRUE
223,146,115,,3,Review 223,This is a review for product with rating 3.,FALSE,2025-12-04T05:37:11.818336,TRUE
224,92,138,31,4,Review 224,This is a review for product with rating 4.,TRUE,2026-01-26T19:57:07.818336,TRUE
225,87,199,,5,Review 225,This is a review for product with rating 5.,TRUE,2025-06-07T06:48:41.818336,TRUE
226,66,190,,5,Review 226,This is a review for product with rating 5.,FALSE,2025-12-18T15:18:02.818336,TRUE
227,132,65,,4,Review 227,This is a review for product with rating 4.,TRUE,2026-01-12T02:43:17.818336,TRUE
228,135,101,299,5,Review 228,This is a review for product with rating 5.,TRUE,2026-08-26T06:16:00.818336,TRUE
229,101,74,,3,Review 229,This is a review for product with rating 3.,TRUE,2026-05-21T16:34:54.818336,TRUE
230,91,111,,4,Review 230,This is a review for product with rating 4.,FALSE,2024-10-20T02:18:04.818336,TRUE
231,114,49,225,5,Review 231,This is a review for product with rating 5.,TRUE,2026-02-18T11:15:55.818336,TRUE
232,132,186,183,2,Review 232,This is a review for product with rating 2.,TRUE,2025-05-24T01:00:13.818336,TRUE
233,61,182,,5,Review 233,This is a review for product with rating 5.,TRUE,2026-06-28T09:28:31.818336,TRUE
234,3,53,,4,Review 234,This is a review for product with rating 4.,TRUE,2026-02-03T14:47:26.818336,TRUE
235,119,19,,5,Review 235,This is a review for product with rating 5.,TRUE,2024-12-27T21:19:38.818336,TRUE
236,51,45,170,4,Review 236,This is a review for product with rating 4.,TRUE,2024-09-22T18:48:46.818336,TRUE
237,114,64,4,4,Review 237,This is a review for product with rating 4.,TRUE,2025-02-04T11:38:40.818336,TRUE
238,101,82,,5,Review 238,This is a review for product with rating 5.,TRUE,2026-04-05T23:53:36.818336,TRUE
239,146,37,,5,Review 239,This is a review for product with rating 5.,FALSE,2025-10-19T06:46:14.818336,TRUE
240,58,43,77,5,Review 240,This is a review for product with rating 5.,TRUE,2025-11-03T01:32:13.818336,TRUE
241,48,62,231,4,Review 241,This is a review for product with rating 4.,TRUE,2024-10-23T15:05:43.818336,TRUE
242,62,43,106,3,Review 242,This is a review for product with rating 3.,TRUE,2025-02-15T12:56:54.818336,TRUE
243,56,63,,4,Review 243,This is a review for product with rating 4.,TRUE,2025-06-14T07:04:51.818336,TRUE
244,106,58,,5,Review 244,This is a review for product with rating 5.,TRUE,2025-12-02T23:51:26.818336,TRUE
245,53,36,,5,Review 245,This is a review for product with rating 5.,TRUE,2026-08-07T20:51:34.818336,TRUE
246,94,177,195,5,Review 246,This is a review for product with rating 5.,TRUE,2026-05-15T11:57:52.818336,TRUE
247,30,17,,2,Review 247,This is a review for product with rating 2.,TRUE,2026-01-17T05:43:11.818336,TRUE
248,42,136,,5,Review 248,This is a review for product with rating 5.,TRUE,2026-01-12T10:10:12.818336,TRUE
249,54,188,138,4,Review 249,This is a review for product with rating 4.,TRUE,2025-04-05T21:53:03.818336,TRUE
250,83,20,,3,Review 250,This is a review for product with rating 3.,TRUE,2025-08-17T21:15:24.818336,TRUE
