sku,warehouse_id,product_name,category,quantity_on_hand,reserved_quantity,reorder_threshold,unit_weight_kg,unit_volume_cbm,unit_cost,last_restocked_at
SKU-00043,6,Product 43,Industrial,6407,33,100,14.402,1.4599,784.08,2026-08-01 10:00:00
SKU-00044,10,Product 44,Electronics,9142,6,100,27.337,0.4334,250.38,2026-08-01 10:00:00
SKU-00045,8,Product 45,Medical,5652,50,100,43.76,0.6515,12.5,2026-08-01 10:00:00
SKU-00046,4,Product 46,Automotive,3563,47,100,1.936,1.1298,691.85,2026-08-01 10:00:00
SKU-00047,4,Product 47,Industrial,1032,35,100,4.705,1.8979,981.78,2026-08-01 10:00:00
SKU-00048,15,Product 48,Industrial,6895,35,100,24.948,0.8427,591.69,2026-08-01 10:00:00
SKU-00049,4,Product 49,Automotive,2041,43,100,39.925,0.766,156.77,2026-08-01 10:00:00
SKU-00050,14,Product 50,Automotive,580,3,100,44.781,0.0174,543.87,2026-08-01 10:00:00
SKU-00051,6,Product 51,Automotive,5143,40,100,1.188,1.5134,526.4,2026-08-01 10:00:00
SKU-00052,4,Product 52,Medical,6184,23,100,6.743,1.3652,193.14,2026-08-01 10:00:00
SKU-00053,6,Product 53,Industrial,823,47,100,9.202,1.8841,422.42,2026-08-01 10:00:00
SKU-00054,14,Product 54,Automotive,2593,35,100,43.24,0.2126,156.99,2026-08-01 10:00:00
SKU-00055,6,Product 55,Industrial,9292,9,100,8.189,0.2129,415.86,2026-08-01 10:00:00
SKU-00056,4,Product 56,Industrial,8054,13,100,15.433,0.4019,60.45,2026-08-01 10:00:00
SKU-00057,4,Product 57,Food,6407,24,100,27.877,0.9623,417.92,2026-08-01 10:00:00
SKU-00058,3,Product 58,Automotive,9106,8,100,27.429,0.1963,477.75,2026-08-01 10:00:00
SKU-00059,6,Product 59,Automotive,3480,10,100,49.458,0.3413,477.61,2026-08-01 10:00:00
SKU-00060,8,Product 60,Medical,126,2,100,15.385,1.0669,764.74,2026-08-01 10:00:00
SKU-00061,5,Product 61,Automotive,629,29,100,4.818,1.4807,975.53,2026-08-01 10:00:00
SKU-00062,10,Product 62,Automotive,8928,47,100,47.478,0.2814,38.27,2026-08-01 10:00:00
SKU-00063,11,Product 63,Food,755,33,100,34.482,1.7415,582.35,2026-08-01 10:00:00
SKU-00064,11,Product 64,Medical,7566,41,100,25.575,0.0493,312.01,2026-08-01 10:00:00
SKU-00065,11,Product 65,Food,7735,27,100,47.809,1.1043,623.7,2026-08-01 10:00:00
SKU-00066,1,Product 66,Food,4714,32,100,25.475,0.4737,166.32,2026-08-01 10:00:00
SKU-00067,15,Product 67,Electronics,3799,9,100,1.98,0.4373,584.1,2026-08-01 10:00:00
SKU-00068,11,Product 68,Medical,5060,38,100,22.695,1.39,99.37,2026-08-01 10:00:00
SKU-00069,11,Product 69,Food,1813,37,100,13.755,0.2911,773.77,2026-08-01 10:00:00
SKU-00070,11,Product 70,Electronics,1421,24,100,33.416,0.0986,87.82,2026-08-01 10:00:00
SKU-00071,1,Product 71,Industrial,8863,17,100,1.017,0.1983,784.94,2026-08-01 10:00:00
SKU-00072,15,Product 72,Industrial,4503,46,100,12.15,1.5282,259.49,2026-08-01 10:00:00
SKU-00073,4,Product 73,Industrial,4717,28,100,47.209,1.3707,958.29,2026-08-01 10:00:00
SKU-00074,6,Product 74,Automotive,4256,23,100,18.648,1.9939,255.8,2026-08-01 10:00:00
SKU-00075,4,Product 75,Food,5632,43,100,30.5,0.6613,705.45,2026-08-01 10:00:00
SKU-00076,1,Product 76,Automotive,5904,44,100,11.187,1.5675,342.26,2026-08-01 10:00:00
SKU-00077,9,Product 77,Food,463,32,100,23.246,0.914,904.81,2026-08-01 10:00:00
SKU-00078,5,Product 78,Medical,1204,40,100,4.565,0.3533,629.2,2026-08-01 10:00:00
SKU-00079,8,Product 79,Industrial,5095,0,100,10.92,0.1547,900.52,2026-08-01 10:00:00
SKU-00080,8,Product 80,Industrial,9681,13,100,13.145,0.0673,14.89,2026-08-01 10:00:00
SKU-00081,4,Product 81,Industrial,6557,27,100,47.428,0.3136,754.95,2026-08-01 10:00:00
SKU-00082,10,Product 82,Automotive,285,43,100,22.585,0.8469,531.61,2026-08-01 10:00:00
SKU-00083,7,Product 83,Electronics,8444,13,100,27.493,0.2673,715.58,2026-08-01 10:00:00
SKU-00084,7,Product 84,Electronics,1549,37,100,1.531,0.452,369.28,2026-08-01 10:00:00
SKU-00085,9,Product 85,Food,5757,46,100,22.604,0.0365,7.98,2026-08-01 10:00:00
SKU-00086,1,Product 86,Food,8420,16,100,30.21,1.0863,843.6,2026-08-01 10:00:00
SKU-00087,1,Product 87,Electronics,1627,44,100,42.531,1.0834,299.79,2026-08-01 10:00:00
SKU-00088,10,Product 88,Food,6203,23,100,41.46,0.5336,212.62,2026-08-01 10:00:00
SKU-00089,10,Product 89,Automotive,6584,26,100,45.563,1.2554,169.55,2026-08-01 10:00:00
SKU-00090,12,Product 90,Automotive,4067,1,100,24.669,0.6414,869.44,2026-08-01 10:00:00
SKU-00091,5,Product 91,Electronics,6753,44,100,10.512,1.5658,13.25,2026-08-01 10:00:00
SKU-00092,1,Product 92,Electronics,5512,9,100,47.485,1.3924,245.42,2026-08-01 10:00:00
SKU-00093,10,Product 93,Food,3603,15,100,43.152,1.2873,633.01,2026-08-01 10:00:00
SKU-00094,12,Product 94,Food,7806,50,100,26.714,0.0271,737.53,2026-08-01 10:00:00
SKU-00095,9,Product 95,Automotive,640,10,100,41.677,1.6671,762.27,2026-08-01 10:00:00
SKU-00096,9,Product 96,Automotive,2886,19,100,32.882,0.2495,845.53,2026-08-01 10:00:00
SKU-00097,3,Product 97,Electronics,828,12,100,7.793,0.146,234.1,2026-08-01 10:00:00
SKU-00098,3,Product 98,Medical,9673,45,100,24.916,0.9799,951.21,2026-08-01 10:00:00
SKU-00099,1,Product 99,Automotive,1481,49,100,39.557,1.0229,417.98,2026-08-01 10:00:00
SKU-00100,5,Product 100,Food,4070,28,100,2.163,0.623,731.23,2026-08-01 10:00:00
SKU-00101,2,Product 101,Automotive,8243,4,100,18.294,0.3384,834.85,2026-08-01 10:00:00
SKU-00102,14,Product 102,Industrial,5132,30,100,14.709,0.9349,872.77,2026-08-01 10:00:00
SKU-00103,5,Product 103,Automotive,9130,46,100,46.067,1.2242,23.2,2026-08-01 10:00:00
SKU-00104,6,Product 104,Food,9890,14,100,18.665,1.576,640.16,2026-08-01 10:00:00
SKU-00105,5,Product 105,Medical,6016,24,100,22.522,0.4549,74.87,2026-08-01 10:00:00
SKU-00106,9,Product 106,Industrial,7206,34,100,22.368,1.8852,932.7,2026-08-01 10:00:00
SKU-00107,15,Product 107,Automotive,4681,36,100,3.747,1.892,641.6,2026-08-01 10:00:00
SKU-00108,4,Product 108,Electronics,6388,1,100,44.443,0.5017,13.31,2026-08-01 10:00:00
SKU-00109,2,Product 109,Automotive,4295,36,100,7.125,1.1207,568.87,2026-08-01 10:00:00
SKU-00110,10,Product 110,Industrial,9172,8,100,23.583,0.452,954.88,2026-08-01 10:00:00
SKU-00111,15,Product 111,Industrial,3787,46,100,4.22,1.1334,212.88,2026-08-01 10:00:00
SKU-00112,4,Product 112,Automotive,6501,36,100,26.581,0.9354,178.44,2026-08-01 10:00:00
SKU-00113,10,Product 113,Automotive,5964,40,100,3.753,1.2178,553.65,2026-08-01 10:00:00
SKU-00114,2,Product 114,Food,2965,27,100,30.35,0.2468,606.96,2026-08-01 10:00:00
SKU-00115,3,Product 115,Food,9601,32,100,41.464,1.4019,766.44,2026-08-01 10:00:00
SKU-00116,13,Product 116,Automotive,4052,17,100,47.736,0.5874,256.4,2026-08-01 10:00:00
SKU-00117,10,Product 117,Industrial,3737,17,100,45.909,0.2843,974.53,2026-08-01 10:00:00
SKU-00118,6,Product 118,Food,3009,13,100,19.288,1.5863,966.9,2026-08-01 10:00:00
SKU-00119,2,Product 119,Automotive,4903,16,100,10.451,0.7283,137.15,2026-08-01 10:00:00
SKU-00120,11,Product 120,Electronics,1789,48,100,27.337,1.8166,273.04,2026-08-01 10:00:00
SKU-00121,1,Product 121,Automotive,6707,49,100,14.516,1.7081,291.98,2026-08-01 10:00:00
SKU-00122,2,Product 122,Automotive,760,41,100,28.359,1.4756,832.72,2026-08-01 10:00:00
SKU-00123,1,Product 123,Industrial,391,24,100,49.695,0.0942,771.1,2026-08-01 10:00:00
SKU-00124,9,Product 124,Medical,6374,27,100,40.671,0.3756,59.88,2026-08-01 10:00:00
SKU-00125,7,Product 125,Automotive,1333,32,100,25.986,0.267,284.76,2026-08-01 10:00:00
SKU-00126,7,Product 126,Food,7339,24,100,18.781,0.0469,369.29,2026-08-01 10:00:00
SKU-00127,13,Product 127,Industrial,1123,14,100,42.679,1.2238,58.85,2026-08-01 10:00:00
SKU-00128,6,Product 128,Medical,6539,35,100,34.259,0.445,283.49,2026-08-01 10:00:00
SKU-00129,4,Product 129,Food,1848,22,100,2.043,0.8111,66.62,2026-08-01 10:00:00
SKU-00130,10,Product 130,Medical,1224,46,100,5.98,1.2235,523.97,2026-08-01 10:00:00
SKU-00131,15,Product 131,Automotive,4897,29,100,20.967,0.6616,111.66,2026-08-01 10:00:00
SKU-00132,10,Product 132,Automotive,6894,42,100,24.41,0.7687,766.75,2026-08-01 10:00:00
SKU-00133,4,Product 133,Industrial,3167,43,100,7.386,1.5288,228.81,2026-08-01 10:00:00
SKU-00134,13,Product 134,Electronics,3088,25,100,6.831,1.297,126.6,2026-08-01 10:00:00
SKU-00135,1,Product 135,Electronics,3424,42,100,17.567,0.5443,235.5,2026-08-01 10:00:00
SKU-00136,5,Product 136,Industrial,4096,30,100,15.37,0.9726,270.12,2026-08-01 10:00:00
SKU-00137,12,Product 137,Automotive,6712,8,100,29.766,0.2593,710.97,2026-08-01 10:00:00
SKU-00138,1,Product 138,Food,6943,8,100,16.02,0.2365,418.98,2026-08-01 10:00:00
SKU-00139,5,Product 139,Automotive,7104,44,100,19.018,0.4452,598.23,2026-08-01 10:00:00
SKU-00140,14,Product 140,Medical,1799,14,100,36.565,1.6918,29.6,2026-08-01 10:00:00
SKU-00141,5,Product 141,Industrial,4964,5,100,42.591,1.9488,660.24,2026-08-01 10:00:00
SKU-00142,7,Product 142,Industrial,5650,22,100,15.108,0.7093,774.55,2026-08-01 10:00:00
SKU-00143,8,Product 143,Industrial,8986,25,100,44.84,1.0753,557.53,2026-08-01 10:00:00
SKU-00144,3,Product 144,Automotive,7080,36,100,45.159,0.8207,679.79,2026-08-01 10:00:00
SKU-00145,9,Product 145,Food,3455,47,100,36.622,1.1115,633.76,2026-08-01 10:00:00
SKU-00146,3,Product 146,Food,2399,27,100,24.517,1.9233,330.02,2026-08-01 10:00:00
SKU-00147,2,Product 147,Electronics,7117,48,100,41.64,0.8543,918.87,2026-08-01 10:00:00
SKU-00148,15,Product 148,Medical,4847,26,100,34.071,0.7004,872.57,2026-08-01 10:00:00
SKU-00149,5,Product 149,Medical,3181,19,100,34.281,1.2386,874.32,2026-08-01 10:00:00
SKU-00150,12,Product 150,Automotive,8556,39,100,5.079,0.7793,712.6,2026-08-01 10:00:00
SKU-00151,3,Product 151,Automotive,3642,24,100,9.052,0.2069,222.01,2026-08-01 10:00:00
SKU-00152,12,Product 152,Electronics,6106,7,100,45.014,1.3155,590.26,2026-08-01 10:00:00
SKU-00153,3,Product 153,Food,1976,24,100,35.732,0.2961,631.25,2026-08-01 10:00:00
SKU-00154,13,Product 154,Industrial,1441,9,100,28.261,1.1715,346.74,2026-08-01 10:00:00
SKU-00155,4,Product 155,Electronics,7694,0,100,31.703,1.9491,934.79,2026-08-01 10:00:00
SKU-00156,14,Product 156,Food,9164,2,100,29.759,1.5563,837.43,2026-08-01 10:00:00
SKU-00157,9,Product 157,Industrial,8069,41,100,45.169,0.9017,902.99,2026-08-01 10:00:00
SKU-00158,8,Product 158,Food,5546,34,100,31.839,1.921,780.91,2026-08-01 10:00:00
SKU-00159,6,Product 159,Automotive,9012,8,100,29.207,0.8407,221.1,2026-08-01 10:00:00
SKU-00160,6,Product 160,Food,8257,43,100,35.579,0.5939,207.61,2026-08-01 10:00:00
SKU-00161,13,Product 161,Industrial,7897,26,100,26.783,1.8833,978.48,2026-08-01 10:00:00
SKU-00162,7,Product 162,Medical,6683,0,100,26.579,1.2754,34.48,2026-08-01 10:00:00
SKU-00163,7,Product 163,Industrial,1837,26,100,49.617,0.514,138.49,2026-08-01 10:00:00
SKU-00164,8,Product 164,Medical,1877,21,100,14.777,1.9625,733.03,2026-08-01 10:00:00
SKU-00165,4,Product 165,Industrial,5728,9,100,15.428,0.3647,390.98,2026-08-01 10:00:00
SKU-00166,6,Product 166,Medical,4547,1,100,5.92,0.3531,959.31,2026-08-01 10:00:00
SKU-00167,13,Product 167,Food,9413,0,100,23.124,1.393,595.31,2026-08-01 10:00:00
SKU-00168,9,Product 168,Food,6890,43,100,10.554,1.9597,221.51,2026-08-01 10:00:00
SKU-00169,9,Product 169,Food,308,27,100,38.17,1.5105,546.51,2026-08-01 10:00:00
SKU-00170,11,Product 170,Electronics,1642,11,100,42.559,1.2098,920.55,2026-08-01 10:00:00
SKU-00171,5,Product 171,Medical,9672,14,100,15.213,0.3152,142.06,2026-08-01 10:00:00
SKU-00172,1,Product 172,Industrial,843,44,100,10.165,1.8993,634.66,2026-08-01 10:00:00
SKU-00173,1,Product 173,Medical,4258,16,100,7.679,0.2338,431.69,2026-08-01 10:00:00
SKU-00174,12,Product 174,Food,906,3,100,24.86,1.2146,996.32,2026-08-01 10:00:00
SKU-00175,11,Product 175,Automotive,3234,45,100,29.537,0.2798,946.45,2026-08-01 10:00:00
SKU-00176,14,Product 176,Food,4539,7,100,27.086,1.6634,138.06,2026-08-01 10:00:00
SKU-00177,13,Product 177,Automotive,3156,16,100,1.528,1.7344,92.87,2026-08-01 10:00:00
SKU-00178,12,Product 178,Electronics,7646,29,100,6.922,1.8665,437.01,2026-08-01 10:00:00
SKU-00179,2,Product 179,Automotive,1099,35,100,23.165,0.9057,518.51,2026-08-01 10:00:00
SKU-00180,1,Product 180,Medical,1924,43,100,33.451,0.087,714.74,2026-08-01 10:00:00
SKU-00181,2,Product 181,Electronics,4734,30,100,4.995,0.3928,189.09,2026-08-01 10:00:00
SKU-00182,15,Product 182,Industrial,8764,35,100,9.473,0.7671,734.23,2026-08-01 10:00:00
SKU-00183,12,Product 183,Industrial,3164,20,100,6.208,0.428,331.23,2026-08-01 10:00:00
SKU-00184,8,Product 184,Automotive,2910,40,100,35.047,1.3196,357.93,2026-08-01 10:00:00
SKU-00185,4,Product 185,Electronics,5243,10,100,20.348,1.1565,272.65,2026-08-01 10:00:00
SKU-00186,1,Product 186,Food,8576,7,100,30.411,0.6585,81.85,2026-08-01 10:00:00
SKU-00187,12,Product 187,Medical,9733,40,100,13.34,0.3578,35.73,2026-08-01 10:00:00
SKU-00188,8,Product 188,Automotive,7822,27,100,25.173,0.0162,905.97,2026-08-01 10:00:00
SKU-00189,14,Product 189,Food,9705,30,100,32.573,0.6473,176.5,2026-08-01 10:00:00
SKU-00190,8,Product 190,Food,5145,4,100,17.302,0.1524,694.9,2026-08-01 10:00:00
SKU-00191,10,Product 191,Electronics,3074,37,100,8.467,1.6842,932.56,2026-08-01 10:00:00
SKU-00192,5,Product 192,Industrial,4346,16,100,46.314,0.9116,730.77,2026-08-01 10:00:00
SKU-00193,3,Product 193,Medical,6407,38,100,5.969,1.9501,393.35,2026-08-01 10:00:00
SKU-00194,9,Product 194,Medical,9921,48,100,13.477,1.3903,498.58,2026-08-01 10:00:00
SKU-00195,1,Product 195,Automotive,4545,8,100,30.458,1.4226,486.93,2026-08-01 10:00:00
SKU-00196,8,Product 196,Food,1262,23,100,32.634,0.6116,455.79,2026-08-01 10:00:00
SKU-00197,8,Product 197,Electronics,4803,36,100,3.095,0.0671,738.73,2026-08-01 10:00:00
SKU-00198,8,Product 198,Electronics,1310,3,100,31.125,1.0272,982.37,2026-08-01 10:00:00
SKU-00199,4,Product 199,Electronics,6358,40,100,19.173,0.0582,800.46,2026-08-01 10:00:00
SKU-00200,11,Product 200,Automotive,2308,48,100,30.297,1.8939,62.49,2026-08-01 10:00:00
