event_id,shipment_id,event_type,location,latitude,longitude,carrier_scan_code,temperature_c,notes,recorded_at
67,125,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
68,232,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
69,30,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
70,220,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
71,116,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
72,212,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
73,201,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
74,208,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
75,92,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
76,173,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
77,31,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
78,14,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
79,136,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
80,65,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
81,168,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
82,23,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
83,77,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
84,236,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
85,51,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
86,179,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
87,54,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
88,234,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
89,212,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
90,159,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
91,190,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
92,65,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
93,123,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
94,175,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
95,4,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
96,249,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
97,96,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
98,189,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
99,55,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
100,142,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
101,178,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
102,220,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
103,127,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
104,123,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
105,9,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
106,41,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
107,85,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
108,99,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
109,97,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
110,25,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
111,99,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
112,171,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
113,9,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
114,174,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
115,4,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
116,196,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
117,116,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
118,110,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
119,61,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
120,229,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
121,84,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
122,229,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
123,122,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
124,177,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
125,109,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
126,190,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
127,215,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
128,194,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
129,127,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
130,27,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
131,62,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
132,128,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
133,93,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
134,157,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
135,198,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
136,31,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
137,240,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
138,117,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
139,204,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
140,78,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
141,127,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
142,176,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
143,243,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
144,43,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
145,167,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
146,84,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
147,3,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
148,143,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
149,36,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
150,148,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
151,207,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
152,73,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
153,187,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
154,241,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
155,2,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
156,93,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
157,221,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
158,213,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
159,19,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
160,220,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
161,169,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
162,35,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
163,209,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
164,243,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
165,97,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
166,145,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
167,124,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
168,88,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
169,21,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
170,61,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
171,99,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
172,137,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
173,225,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
174,49,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
175,199,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
176,205,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
177,110,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
178,228,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
179,192,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
180,182,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
181,92,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
182,245,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
183,159,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
184,179,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
185,93,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
186,106,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
187,177,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
188,122,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
189,184,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
190,76,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
191,138,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
192,178,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
193,90,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
194,196,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
195,61,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
196,180,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
197,116,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
198,24,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
199,50,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
200,227,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
201,134,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
202,205,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
203,206,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
204,126,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
205,19,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
206,91,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
207,212,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
208,195,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
209,107,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
210,70,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
211,33,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
212,17,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
213,46,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
214,105,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
215,56,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
216,52,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
217,105,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
218,183,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
219,16,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
220,228,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
221,34,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
222,176,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
223,125,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
224,231,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
225,68,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
226,171,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
227,9,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
228,182,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
229,191,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
230,35,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
231,110,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
232,250,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
233,17,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
234,91,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
235,189,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
236,213,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
237,20,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
238,240,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
239,49,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
240,95,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
241,162,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
242,105,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
243,70,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
244,18,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
245,131,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
246,193,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
247,53,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
248,37,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
249,130,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
250,163,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
251,44,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
252,228,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
253,196,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
254,231,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
255,29,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
256,7,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
257,100,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
258,17,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
259,40,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
260,83,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
261,15,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
262,147,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
263,166,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
264,2,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
265,177,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
266,235,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
267,129,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
268,222,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
269,16,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
270,164,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
271,238,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
272,163,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
273,52,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
274,238,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
275,199,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
276,203,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
277,51,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
278,136,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
279,26,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
280,133,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
281,89,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
282,217,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
283,132,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
284,99,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
285,216,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
286,38,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
287,169,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
288,246,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
289,113,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
290,233,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
291,196,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
292,41,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
293,237,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
294,140,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
295,191,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
296,199,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
297,171,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
298,168,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
299,219,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
300,180,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
301,200,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
302,203,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
303,244,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
304,245,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
305,79,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
306,188,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
307,137,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
308,34,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
309,156,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
310,116,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
311,220,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
312,95,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
313,52,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
314,226,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
315,186,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
316,144,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
317,70,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
318,184,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
319,14,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
320,241,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
321,145,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
322,31,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
323,1,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
324,190,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
325,113,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
326,54,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
327,120,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
328,37,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
329,11,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
330,56,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
331,245,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
332,162,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
333,3,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
334,249,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
335,65,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
336,42,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
337,24,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
338,174,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
339,20,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
340,247,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
341,16,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
342,9,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
343,9,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
344,154,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
345,148,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
346,9,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
347,241,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
348,199,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
349,100,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
350,173,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
351,130,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
352,117,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
353,161,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
354,234,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
355,110,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
356,219,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
357,40,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
358,229,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
359,247,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
360,173,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
361,195,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
362,237,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
363,239,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
364,93,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
365,195,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
366,29,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
367,136,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
368,34,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
369,14,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
370,197,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
371,166,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
