item_id,shipment_id,sku,quantity,unit_weight_kg,description
146,94,SKU-00148,1,25.854,Desc 146
147,124,SKU-00183,80,43.1,Desc 147
148,32,SKU-00144,11,41.263,Desc 148
149,132,SKU-00038,58,11.176,Desc 149
150,215,SKU-00096,73,42.295,Desc 150
151,170,SKU-00147,23,16.964,Desc 151
152,5,SKU-00070,48,35.44,Desc 152
153,116,SKU-00162,95,12.991,Desc 153
154,207,SKU-00046,81,32.512,Desc 154
155,232,SKU-00075,89,16.115,Desc 155
156,92,SKU-00129,63,2.011,Desc 156
157,51,SKU-00155,69,38.623,Desc 157
158,93,SKU-00055,96,46.267,Desc 158
159,212,SKU-00131,14,23.24,Desc 159
160,102,SKU-00095,13,46.291,Desc 160
161,205,SKU-00120,52,9.602,Desc 161
162,173,SKU-00098,95,18.81,Desc 162
163,222,SKU-00061,6,8.991,Desc 163
164,177,SKU-00142,31,6.747,Desc 164
165,7,SKU-00096,43,23.567,Desc 165
166,134,SKU-00116,38,29.061,Desc 166
167,52,SKU-00134,34,23.433,Desc 167
168,168,SKU-00049,74,22.825,Desc 168
169,103,SKU-00139,47,44.415,Desc 169
170,27,SKU-00190,75,25.914,Desc 170
171,86,SKU-00189,61,36.946,Desc 171
172,19,SKU-00193,5,1.188,Desc 172
173,88,SKU-00114,94,33.909,Desc 173
174,69,SKU-00073,100,5.92,Desc 174
175,69,SKU-00140,63,36.517,Desc 175
176,60,SKU-00046,88,1.805,Desc 176
177,6,SKU-00064,45,47.178,Desc 177
178,18,SKU-00031,49,10.647,Desc 178
179,58,SKU-00124,73,47.198,Desc 179
180,158,SKU-00082,28,11.882,Desc 180
181,11,SKU-00076,40,37.614,Desc 181
182,114,SKU-00091,74,38.824,Desc 182
183,100,SKU-00165,54,10.462,Desc 183
184,100,SKU-00138,27,35.125,Desc 184
185,95,SKU-00070,98,35.824,Desc 185
186,130,SKU-00060,98,4.91,Desc 186
187,244,SKU-00198,19,8.335,Desc 187
188,31,SKU-00090,14,45.242,Desc 188
189,8,SKU-00166,20,8.924,Desc 189
190,42,SKU-00143,39,15.222,Desc 190
191,69,SKU-00103,20,20.911,Desc 191
192,110,SKU-00013,92,8.301,Desc 192
193,173,SKU-00152,44,12.602,Desc 193
194,247,SKU-00077,64,43.529,Desc 194
195,162,SKU-00139,21,35.042,Desc 195
196,105,SKU-00108,40,36.078,Desc 196
197,226,SKU-00078,2,30.144,Desc 197
198,193,SKU-00101,45,47.371,Desc 198
199,30,SKU-00056,40,9.733,Desc 199
200,41,SKU-00085,85,26.688,Desc 200
201,226,SKU-00081,33,17.619,Desc 201
202,135,SKU-00161,2,33.128,Desc 202
203,44,SKU-00190,18,28.129,Desc 203
204,75,SKU-00141,4,13.91,Desc 204
205,246,SKU-00001,37,44.082,Desc 205
206,178,SKU-00191,46,12.653,Desc 206
207,112,SKU-00136,51,9.581,Desc 207
208,217,SKU-00176,48,28.282,Desc 208
209,111,SKU-00156,34,34.658,Desc 209
210,199,SKU-00167,45,31.267,Desc 210
211,48,SKU-00001,64,9.767,Desc 211
212,107,SKU-00027,48,15.664,Desc 212
213,57,SKU-00058,64,20.186,Desc 213
214,229,SKU-00070,33,38.641,Desc 214
215,220,SKU-00005,45,35.404,Desc 215
216,239,SKU-00032,3,29.096,Desc 216
217,124,SKU-00163,25,4.55,Desc 217
218,247,SKU-00078,19,20.155,Desc 218
219,250,SKU-00126,16,34.546,Desc 219
220,154,SKU-00148,64,26.564,Desc 220
221,216,SKU-00094,53,12.724,Desc 221
222,144,SKU-00040,32,48.029,Desc 222
223,217,SKU-00108,74,22.733,Desc 223
224,221,SKU-00038,90,39.807,Desc 224
225,158,SKU-00079,23,48.238,Desc 225
226,244,SKU-00143,80,26.344,Desc 226
227,111,SKU-00120,83,46.828,Desc 227
228,215,SKU-00157,30,26.578,Desc 228
229,123,SKU-00097,94,8.421,Desc 229
230,83,SKU-00162,24,36.647,Desc 230
231,53,SKU-00068,71,39.424,Desc 231
232,37,SKU-00044,69,23.67,Desc 232
233,28,SKU-00161,66,26.209,Desc 233
234,160,SKU-00167,8,45.573,Desc 234
235,249,SKU-00104,24,44.954,Desc 235
236,241,SKU-00053,69,46.999,Desc 236
237,125,SKU-00044,26,43.175,Desc 237
238,202,SKU-00035,46,28.607,Desc 238
239,143,SKU-00064,32,29.022,Desc 239
240,241,SKU-00050,46,16.084,Desc 240
241,42,SKU-00024,33,43.302,Desc 241
242,22,SKU-00149,97,18.05,Desc 242
243,44,SKU-00043,37,17.23,Desc 243
244,171,SKU-00086,92,0.215,Desc 244
245,29,SKU-00036,100,18.212,Desc 245
246,176,SKU-00111,6,35.509,Desc 246
247,19,SKU-00185,80,42.551,Desc 247
248,114,SKU-00173,88,41.577,Desc 248
249,235,SKU-00080,36,40.296,Desc 249
250,129,SKU-00054,57,49.739,Desc 250
251,157,SKU-00091,3,42.868,Desc 251
252,242,SKU-00003,44,28.333,Desc 252
253,126,SKU-00170,29,29.564,Desc 253
254,241,SKU-00179,50,24.14,Desc 254
255,19,SKU-00113,37,34.709,Desc 255
256,21,SKU-00071,10,43.589,Desc 256
257,219,SKU-00039,83,41.135,Desc 257
258,159,SKU-00151,44,0.998,Desc 258
259,69,SKU-00073,63,38.131,Desc 259
260,122,SKU-00123,45,49.229,Desc 260
261,63,SKU-00019,8,32.914,Desc 261
262,128,SKU-00175,73,6.288,Desc 262
263,9,SKU-00023,66,1.273,Desc 263
264,69,SKU-00042,57,16.653,Desc 264
265,134,SKU-00013,13,20.842,Desc 265
266,121,SKU-00033,17,43.475,Desc 266
267,97,SKU-00178,15,22.379,Desc 267
268,71,SKU-00031,1,36.373,Desc 268
269,120,SKU-00190,28,37.409,Desc 269
270,148,SKU-00173,37,20.275,Desc 270
271,157,SKU-00190,65,13.472,Desc 271
272,5,SKU-00169,18,49.454,Desc 272
273,237,SKU-00028,11,7.34,Desc 273
274,179,SKU-00031,32,14.258,Desc 274
275,173,SKU-00138,61,40.83,Desc 275
276,2,SKU-00046,96,47.558,Desc 276
277,31,SKU-00044,19,40.326,Desc 277
278,104,SKU-00052,82,33.683,Desc 278
279,211,SKU-00174,71,49.523,Desc 279
280,146,SKU-00173,86,36.042,Desc 280
281,72,SKU-00067,99,0.766,Desc 281
282,2,SKU-00047,71,34.931,Desc 282
283,97,SKU-00146,90,4.567,Desc 283
284,68,SKU-00177,55,40.462,Desc 284
285,186,SKU-00159,15,25.069,Desc 285
286,131,SKU-00048,70,31.039,Desc 286
287,152,SKU-00003,67,34.525,Desc 287
288,203,SKU-00133,16,5.913,Desc 288
289,4,SKU-00082,19,10.312,Desc 289
290,246,SKU-00089,42,5.242,Desc 290
291,3,SKU-00142,44,16.65,Desc 291
292,53,SKU-00200,19,49.5,Desc 292
293,151,SKU-00088,65,13.064,Desc 293
294,100,SKU-00080,59,49.952,Desc 294
295,214,SKU-00132,63,19.698,Desc 295
296,32,SKU-00116,32,39.13,Desc 296
297,195,SKU-00001,10,17.702,Desc 297
298,61,SKU-00071,16,17.869,Desc 298
299,82,SKU-00090,69,27.219,Desc 299
300,236,SKU-00105,71,28.583,Desc 300
301,135,SKU-00122,89,37.43,Desc 301
302,133,SKU-00050,69,1.558,Desc 302
303,127,SKU-00192,13,49.371,Desc 303
304,9,SKU-00130,30,32.71,Desc 304
305,209,SKU-00021,44,35.38,Desc 305
306,61,SKU-00116,80,25.728,Desc 306
307,154,SKU-00163,48,34.866,Desc 307
308,234,SKU-00162,7,30.081,Desc 308
309,243,SKU-00069,91,47.026,Desc 309
310,245,SKU-00200,27,36.122,Desc 310
311,67,SKU-00011,10,3.502,Desc 311
312,3,SKU-00082,35,31.297,Desc 312
313,181,SKU-00157,71,16.547,Desc 313
314,123,SKU-00192,90,8.504,Desc 314
315,7,SKU-00042,31,14.676,Desc 315
316,17,SKU-00090,17,42.456,Desc 316
317,124,SKU-00055,24,48.539,Desc 317
318,3,SKU-00030,84,41.774,Desc 318
319,25,SKU-00137,27,43.358,Desc 319
320,94,SKU-00200,85,13.163,Desc 320
321,104,SKU-00111,38,10.204,Desc 321
322,211,SKU-00187,17,1.067,Desc 322
323,18,SKU-00153,15,13.662,Desc 323
324,190,SKU-00014,11,13.506,Desc 324
325,165,SKU-00008,68,11.526,Desc 325
326,21,SKU-00159,89,43.758,Desc 326
327,95,SKU-00099,25,10.158,Desc 327
328,27,SKU-00067,76,4.082,Desc 328
329,156,SKU-00110,7,21.468,Desc 329
330,60,SKU-00173,64,40.095,Desc 330
331,235,SKU-00064,9,7.67,Desc 331
332,54,SKU-00061,17,43.841,Desc 332
333,9,SKU-00064,69,22.81,Desc 333
334,193,SKU-00155,12,30.77,Desc 334
335,138,SKU-00015,72,31.728,Desc 335
336,147,SKU-00198,26,48.583,Desc 336
337,184,SKU-00166,26,6.869,Desc 337
338,94,SKU-00078,100,9.099,Desc 338
339,70,SKU-00064,43,44.643,Desc 339
340,84,SKU-00105,11,43.383,Desc 340
341,94,SKU-00049,36,46.334,Desc 341
342,149,SKU-00156,35,46.03,Desc 342
343,189,SKU-00024,97,16.582,Desc 343
344,118,SKU-00060,82,37.612,Desc 344
345,55,SKU-00130,82,4.965,Desc 345
346,35,SKU-00032,9,31.151,Desc 346
347,98,SKU-00014,61,46.355,Desc 347
348,215,SKU-00092,42,20.496,Desc 348
349,134,SKU-00166,7,47.279,Desc 349
350,117,SKU-00158,69,40.222,Desc 350
351,108,SKU-00056,66,43.931,Desc 351
352,231,SKU-00031,54,11.637,Desc 352
353,125,SKU-00171,55,25.437,Desc 353
354,147,SKU-00136,71,14.766,Desc 354
355,182,SKU-00149,2,32.316,Desc 355
356,56,SKU-00108,82,39.013,Desc 356
357,150,SKU-00130,82,18.372,Desc 357
358,61,SKU-00045,53,31.294,Desc 358
359,111,SKU-00150,82,1.449,Desc 359
360,243,SKU-00030,95,7.683,Desc 360
361,156,SKU-00060,100,7.46,Desc 361
362,244,SKU-00032,72,32.547,Desc 362
363,111,SKU-00165,96,2.206,Desc 363
364,186,SKU-00188,71,8.611,Desc 364
365,174,SKU-00101,10,26.905,Desc 365
366,59,SKU-00169,35,16.271,Desc 366
367,240,SKU-00189,58,7.207,Desc 367
368,209,SKU-00073,67,4.439,Desc 368
369,150,SKU-00018,55,36.68,Desc 369
370,146,SKU-00022,78,35.32,Desc 370
371,113,SKU-00090,92,1.705,Desc 371
372,82,SKU-00047,12,27.536,Desc 372
373,246,SKU-00137,52,44.008,Desc 373
374,148,SKU-00138,49,37.181,Desc 374
375,243,SKU-00162,48,9.91,Desc 375
376,40,SKU-00166,25,7.096,Desc 376
377,48,SKU-00123,23,4.093,Desc 377
378,71,SKU-00139,9,5.598,Desc 378
379,80,SKU-00085,20,17.343,Desc 379
380,17,SKU-00014,74,32.814,Desc 380
381,121,SKU-00168,60,19.799,Desc 381
382,102,SKU-00079,9,16.352,Desc 382
383,4,SKU-00091,81,15.902,Desc 383
384,62,SKU-00095,51,19.089,Desc 384
385,245,SKU-00057,69,37.481,Desc 385
386,60,SKU-00026,51,9.835,Desc 386
387,229,SKU-00166,97,14.089,Desc 387
388,175,SKU-00090,24,24.128,Desc 388
389,80,SKU-00015,75,43.254,Desc 389
390,22,SKU-00083,84,8.045,Desc 390
391,23,SKU-00039,94,27.441,Desc 391
392,238,SKU-00049,5,25.193,Desc 392
393,236,SKU-00048,64,29.283,Desc 393
394,216,SKU-00006,30,8.655,Desc 394
395,247,SKU-00014,19,24.467,Desc 395
396,149,SKU-00011,32,16.578,Desc 396
397,236,SKU-00087,40,38.607,Desc 397
398,117,SKU-00161,96,4.915,Desc 398
399,20,SKU-00116,6,20.312,Desc 399
400,92,SKU-00175,65,5.619,Desc 400
401,64,SKU-00192,79,38.521,Desc 401
402,92,SKU-00154,85,33.215,Desc 402
403,129,SKU-00173,32,38.091,Desc 403
404,62,SKU-00112,30,7.715,Desc 404
405,102,SKU-00090,18,26.722,Desc 405
406,218,SKU-00155,18,19.097,Desc 406
407,58,SKU-00026,94,21.418,Desc 407
408,238,SKU-00070,87,14.451,Desc 408
409,142,SKU-00121,72,24.163,Desc 409
410,49,SKU-00133,74,38.373,Desc 410
411,100,SKU-00027,41,30.399,Desc 411
412,121,SKU-00046,82,31.862,Desc 412
413,43,SKU-00168,12,26.995,Desc 413
414,197,SKU-00075,79,2.475,Desc 414
415,192,SKU-00025,65,25.32,Desc 415
416,140,SKU-00151,92,16.077,Desc 416
417,130,SKU-00153,91,17.341,Desc 417
418,133,SKU-00020,61,10.908,Desc 418
419,230,SKU-00010,56,47.787,Desc 419
420,26,SKU-00042,21,7.315,Desc 420
421,215,SKU-00081,46,32.565,Desc 421
422,27,SKU-00142,14,40.722,Desc 422
423,72,SKU-00075,3,42.354,Desc 423
424,155,SKU-00176,91,13.741,Desc 424
425,25,SKU-00132,31,7.22,Desc 425
426,18,SKU-00061,30,20.694,Desc 426
427,160,SKU-00186,50,24.219,Desc 427
428,101,SKU-00149,5,19.152,Desc 428
429,87,SKU-00151,11,29.066,Desc 429
430,37,SKU-00061,11,29.201,Desc 430
431,244,SKU-00119,51,7.442,Desc 431
432,170,SKU-00094,93,4.64,Desc 432
433,68,SKU-00185,89,26.46,Desc 433
434,190,SKU-00063,19,28.409,Desc 434
435,88,SKU-00132,6,32.657,Desc 435
436,67,SKU-00161,42,26.245,Desc 436
437,220,SKU-00059,9,43.37,Desc 437
438,103,SKU-00123,49,24.324,Desc 438
439,177,SKU-00187,88,25.526,Desc 439
440,35,SKU-00012,31,30.334,Desc 440
441,107,SKU-00096,53,29.658,Desc 441
442,90,SKU-00095,92,33.167,Desc 442
443,1,SKU-00109,62,47.019,Desc 443
444,145,SKU-00004,63,15.825,Desc 444
445,77,SKU-00028,48,26.849,Desc 445
446,89,SKU-00088,87,10.268,Desc 446
447,208,SKU-00074,99,6.105,Desc 447
448,96,SKU-00017,50,4.422,Desc 448
449,234,SKU-00125,29,46.255,Desc 449
450,52,SKU-00039,94,18.049,Desc 450
451,50,SKU-00161,46,11.587,Desc 451
452,210,SKU-00134,7,34.564,Desc 452
453,106,SKU-00134,84,46.228,Desc 453
454,219,SKU-00018,44,9.343,Desc 454
455,91,SKU-00084,13,26.188,Desc 455
456,57,SKU-00053,18,2.339,Desc 456
457,235,SKU-00067,65,28.889,Desc 457
458,106,SKU-00015,77,28.435,Desc 458
459,31,SKU-00098,19,2.48,Desc 459
460,99,SKU-00123,85,25.904,Desc 460
461,1,SKU-00189,84,23.646,Desc 461
462,78,SKU-00187,23,45.649,Desc 462
463,189,SKU-00097,84,21.364,Desc 463
464,113,SKU-00024,96,33.654,Desc 464
465,45,SKU-00063,11,20.319,Desc 465
466,211,SKU-00168,65,48.357,Desc 466
467,206,SKU-00076,40,27.015,Desc 467
468,158,SKU-00063,95,36.502,Desc 468
469,217,SKU-00052,15,13.816,Desc 469
470,22,SKU-00065,15,9.108,Desc 470
471,111,SKU-00077,41,30.485,Desc 471
472,30,SKU-00002,1,44.591,Desc 472
473,249,SKU-00081,28,47.071,Desc 473
474,161,SKU-00142,10,5.231,Desc 474
475,173,SKU-00138,34,2.584,Desc 475
476,220,SKU-00074,71,0.614,Desc 476
477,39,SKU-00121,50,29.335,Desc 477
478,5,SKU-00082,36,10.274,Desc 478
479,26,SKU-00130,48,22.938,Desc 479
480,53,SKU-00094,93,44.772,Desc 480
481,138,SKU-00106,61,29.815,Desc 481
482,132,SKU-00116,96,9.349,Desc 482
483,101,SKU-00130,28,27.921,Desc 483
484,169,SKU-00184,100,45.533,Desc 484
485,90,SKU-00056,90,11.987,Desc 485
486,208,SKU-00137,87,27.674,Desc 486
487,243,SKU-00063,34,4.895,Desc 487
488,10,SKU-00080,6,16.836,Desc 488
489,178,SKU-00033,20,9.695,Desc 489
490,110,SKU-00016,3,5.858,Desc 490
491,57,SKU-00100,80,31.543,Desc 491
492,58,SKU-00152,48,26.739,Desc 492
493,96,SKU-00085,12,41.469,Desc 493
494,20,SKU-00185,87,0.927,Desc 494
495,1,SKU-00076,46,33.257,Desc 495
496,133,SKU-00045,52,43.072,Desc 496
497,136,SKU-00121,88,22.447,Desc 497
498,32,SKU-00187,75,39.78,Desc 498
499,213,SKU-00070,69,44.181,Desc 499
500,214,SKU-00143,51,27.117,Desc 500
