shipment_id,shipment_number,origin_warehouse_id,dest_warehouse_id,carrier_id,vehicle_id,status,total_weight_kg,total_volume_cbm,declared_value,currency,is_fragile,is_hazmat,special_instructions,customs_ref,priority,created_at,dispatched_at,estimated_arrival,actual_arrival
43,SHIP-20250304-0043,9,11,1,24,IN_TRANSIT,3855.47,38.91,1489.23,USD,false,false,,,EXPRESS,2025-03-04 14:00:00,,,
44,SHIP-20250605-0044,3,15,8,6,DELIVERED,3474.97,25.5,45275.03,USD,false,false,,,FREIGHT,2025-06-05 18:00:00,,,
45,SHIP-20250609-0045,8,7,16,44,DISPATCHED,1040.34,1.85,2817.06,USD,false,true,,,STANDARD,2025-06-09 18:00:00,,,
46,SHIP-20250303-0046,15,6,19,43,FAILED,2546.56,25.82,19124.69,USD,true,false,,,EXPRESS,2025-03-03 14:00:00,,,
47,SHIP-20250926-0047,6,15,11,43,DELIVERED,432.02,34.01,14448.31,USD,false,false,,,FREIGHT,2025-09-26 16:00:00,,,
48,SHIP-20251217-0048,11,13,13,9,DISPATCHED,1241.27,46.77,14024.49,USD,false,false,,,SAME_DAY,2025-12-17 08:00:00,,,
49,SHIP-20250516-0049,5,11,4,3,DRAFT,1944.52,10.17,49313.7,USD,true,false,,,EXPRESS,2025-05-16 18:00:00,,,
50,SHIP-20250715-0050,8,1,18,19,DISPATCHED,4123.24,37.74,505.68,USD,true,false,,,EXPRESS,2025-07-15 18:00:00,,,
51,SHIP-20250415-0051,2,14,16,49,OUT_FOR_DELIVERY,3932.68,23.23,14734.95,USD,false,true,,,SAME_DAY,2025-04-15 13:00:00,,,
52,SHIP-20250715-0052,11,14,7,42,BOOKED,680.02,11.15,43092.76,USD,false,true,,,EXPRESS,2025-07-15 17:00:00,,,
53,SHIP-20250627-0053,12,11,12,25,IN_TRANSIT,327.08,24.91,10285.32,USD,false,true,,,STANDARD,2025-06-27 11:00:00,,,
54,SHIP-20250509-0054,10,6,14,25,OUT_FOR_DELIVERY,2906.58,31.22,10547.64,USD,false,false,,,EXPRESS,2025-05-09 08:00:00,,,
55,SHIP-20250406-0055,9,2,1,36,FAILED,1489.62,16.6,19953.59,USD,false,false,,,FREIGHT,2025-04-06 11:00:00,,,
56,SHIP-20250823-0056,9,3,15,6,CANCELLED,4113.14,30.83,45929.0,USD,true,true,,,FREIGHT,2025-08-23 12:00:00,,,
57,SHIP-20250527-0057,5,12,10,11,DISPATCHED,4324.85,12.26,9809.96,USD,true,true,,,STANDARD,2025-05-27 16:00:00,,,
58,SHIP-20250106-0058,10,1,11,43,IN_TRANSIT,27.4,41.66,22441.58,USD,false,false,,,STANDARD,2025-01-06 11:00:00,,,
59,SHIP-20250824-0059,6,2,8,33,DELIVERED,4739.6,42.72,31031.09,USD,false,false,,,SAME_DAY,2025-08-24 12:00:00,,,
60,SHIP-20251002-0060,7,5,16,47,FAILED,39.67,43.0,48839.43,USD,false,false,,,EXPRESS,2025-10-02 17:00:00,,,
61,SHIP-20250808-0061,14,10,20,3,OUT_FOR_DELIVERY,2334.79,8.89,3612.19,USD,false,true,,,FREIGHT,2025-08-08 15:00:00,,,
62,SHIP-20250311-0062,8,14,17,20,BOOKED,3231.69,15.24,40847.59,USD,true,true,,,SAME_DAY,2025-03-11 17:00:00,,,
63,SHIP-20250604-0063,1,15,8,26,DRAFT,4158.38,39.29,3793.48,USD,true,false,,,EXPRESS,2025-06-04 13:00:00,,,
64,SHIP-20251004-0064,11,12,10,8,DISPATCHED,2525.81,8.96,6175.19,USD,false,true,,,FREIGHT,2025-10-04 10:00:00,,,
65,SHIP-20250208-0065,12,6,8,19,DISPATCHED,1523.64,23.11,13751.01,USD,true,true,,,FREIGHT,2025-02-08 17:00:00,,,
66,SHIP-20250824-0066,6,8,5,10,BOOKED,151.26,17.67,22216.97,USD,false,false,,,FREIGHT,2025-08-24 11:00:00,,,
67,SHIP-20250713-0067,12,10,11,7,DRAFT,3150.4,49.99,13023.68,USD,false,true,,,FREIGHT,2025-07-13 18:00:00,,,
68,SHIP-20250525-0068,13,6,20,27,IN_TRANSIT,836.28,11.54,35513.44,USD,false,false,,,STANDARD,2025-05-25 10:00:00,,,
69,SHIP-20251021-0069,12,5,2,3,DISPATCHED,409.55,6.32,28929.0,USD,true,true,,,SAME_DAY,2025-10-21 16:00:00,,,
70,SHIP-20250824-0070,7,3,14,8,DRAFT,3583.1,4.28,3830.66,USD,true,true,,,EXPRESS,2025-08-24 10:00:00,,,
71,SHIP-20250113-0071,10,14,1,45,CANCELLED,4254.67,20.78,34959.0,USD,false,true,,,EXPRESS,2025-01-13 13:00:00,,,
72,SHIP-20250913-0072,5,1,1,12,IN_TRANSIT,498.35,44.28,45483.79,USD,true,true,,,SAME_DAY,2025-09-13 17:00:00,,,
73,SHIP-20250927-0073,7,9,3,36,CANCELLED,3000.79,8.93,48403.44,USD,true,true,,,SAME_DAY,2025-09-27 09:00:00,,,
74,SHIP-20250105-0074,7,6,10,34,OUT_FOR_DELIVERY,4781.28,20.92,37060.65,USD,false,true,,,STANDARD,2025-01-05 15:00:00,,,
75,SHIP-20251020-0075,8,4,16,37,FAILED,3080.11,48.1,30011.88,USD,false,true,,,EXPRESS,2025-10-20 08:00:00,,,
76,SHIP-20250314-0076,4,8,11,42,OUT_FOR_DELIVERY,4384.81,31.21,6989.29,USD,true,true,,,EXPRESS,2025-03-14 17:00:00,,,
77,SHIP-20250302-0077,13,3,6,27,CANCELLED,1569.34,10.28,24902.59,USD,false,true,,,STANDARD,2025-03-02 17:00:00,,,
78,SHIP-20250320-0078,15,3,16,17,FAILED,1038.41,16.52,5396.03,USD,false,false,,,STANDARD,2025-03-20 15:00:00,,,
79,SHIP-20251119-0079,4,13,17,44,CANCELLED,1658.52,47.21,4799.64,USD,false,true,,,FREIGHT,2025-11-19 08:00:00,,,
80,SHIP-20251106-0080,14,15,1,29,IN_TRANSIT,3081.27,22.58,32165.71,USD,true,false,,,SAME_DAY,2025-11-06 18:00:00,,,
81,SHIP-20250213-0081,3,1,2,30,DRAFT,916.47,8.33,26810.74,USD,false,false,,,FREIGHT,2025-02-13 11:00:00,,,
82,SHIP-20251123-0082,11,2,14,21,BOOKED,4503.36,39.06,21622.32,USD,false,true,,,SAME_DAY,2025-11-23 08:00:00,,,
83,SHIP-20251111-0083,14,11,19,24,DISPATCHED,3566.29,26.74,35961.31,USD,false,true,,,SAME_DAY,2025-11-11 18:00:00,,,
84,SHIP-20250927-0084,3,8,1,50,FAILED,4358.4,41.22,9109.83,USD,false,true,,,FREIGHT,2025-09-27 14:00:00,,,
85,SHIP-20251217-0085,7,1,8,17,BOOKED,410.85,14.22,39416.1,USD,false,false,,,SAME_DAY,2025-12-17 17:00:00,,,
86,SHIP-20251120-0086,9,12,18,5,DISPATCHED,4018.23,35.96,20080.11,USD,false,true,,,EXPRESS,2025-11-20 15:00:00,,,
87,SHIP-20250526-0087,12,7,13,35,BOOKED,2545.39,24.06,24860.06,USD,false,true,,,FREIGHT,2025-05-26 09:00:00,,,
88,SHIP-20250105-0088,5,7,16,2,FAILED,1623.81,25.49,4147.63,USD,true,false,,,FREIGHT,2025-01-05 15:00:00,,,
89,SHIP-20251206-0089,14,4,15,27,OUT_FOR_DELIVERY,2795.43,2.96,4275.68,USD,false,false,,,EXPRESS,2025-12-06 16:00:00,,,
90,SHIP-20250718-0090,14,5,14,36,OUT_FOR_DELIVERY,1308.5,46.54,38582.85,USD,true,false,,,STANDARD,2025-07-18 16:00:00,,,
91,SHIP-20250611-0091,4,12,8,29,DISPATCHED,1958.76,32.61,34052.76,USD,false,false,,,STANDARD,2025-06-11 16:00:00,,,
92,SHIP-20250327-0092,7,14,11,31,CANCELLED,2972.64,26.12,3225.67,USD,false,false,,,FREIGHT,2025-03-27 09:00:00,,,
93,SHIP-20250303-0093,13,10,9,7,BOOKED,903.3,23.23,33384.49,USD,false,true,,,EXPRESS,2025-03-03 16:00:00,,,
94,SHIP-20251206-0094,2,10,9,24,DISPATCHED,1879.49,43.63,28891.7,USD,false,false,,,FREIGHT,2025-12-06 17:00:00,,,
95,SHIP-20250114-0095,13,12,14,14,DRAFT,70.13,32.86,34349.11,USD,true,false,,,EXPRESS,2025-01-14 08:00:00,,,
96,SHIP-20250625-0096,10,4,2,27,IN_TRANSIT,3397.37,34.96,43232.52,USD,false,true,,,FREIGHT,2025-06-25 09:00:00,,,
97,SHIP-20250914-0097,1,5,14,7,BOOKED,1719.3,11.33,19073.23,USD,true,true,,,FREIGHT,2025-09-14 12:00:00,,,
98,SHIP-20250717-0098,12,13,18,23,DRAFT,4102.8,1.64,41931.2,USD,true,true,,,STANDARD,2025-07-17 08:00:00,,,
99,SHIP-20250916-0099,12,4,18,21,IN_TRANSIT,3335.55,30.53,14706.24,USD,true,false,,,SAME_DAY,2025-09-16 13:00:00,,,
100,SHIP-20250819-0100,12,7,14,26,FAILED,1410.75,36.09,4442.01,USD,false,false,,,STANDARD,2025-08-19 08:00:00,,,
101,SHIP-20250614-0101,7,1,6,49,DELIVERED,3610.22,22.23,32430.4,USD,true,true,,,STANDARD,2025-06-14 14:00:00,,,
102,SHIP-20250416-0102,6,11,2,15,FAILED,319.71,38.58,42705.1,USD,false,false,,,FREIGHT,2025-04-16 13:00:00,,,
103,SHIP-20250526-0103,3,8,12,28,CANCELLED,4774.66,8.05,14653.21,USD,true,false,,,STANDARD,2025-05-26 10:00:00,,,
104,SHIP-20250103-0104,1,2,17,39,CANCELLED,1444.2,5.42,37852.88,USD,true,false,,,STANDARD,2025-01-03 16:00:00,,,
105,SHIP-20250620-0105,10,2,7,6,FAILED,2847.69,46.39,3205.03,USD,true,true,,,STANDARD,2025-06-20 10:00:00,,,
106,SHIP-20250603-0106,5,11,16,28,BOOKED,4994.09,7.38,9419.15,USD,true,true,,,FREIGHT,2025-06-03 09:00:00,,,
107,SHIP-20251124-0107,11,5,2,48,DELIVERED,2677.01,15.7,8293.51,USD,true,false,,,EXPRESS,2025-11-24 18:00:00,,,
108,SHIP-20250127-0108,6,4,14,19,IN_TRANSIT,1797.38,42.16,12555.88,USD,true,false,,,EXPRESS,2025-01-27 14:00:00,,,
109,SHIP-20250921-0109,6,2,10,9,DRAFT,4641.62,9.98,10859.92,USD,false,false,,,EXPRESS,2025-09-21 08:00:00,,,
110,SHIP-20250919-0110,14,3,9,12,DELIVERED,3163.15,42.61,43406.14,USD,false,true,,,EXPRESS,2025-09-19 15:00:00,,,
111,SHIP-20250427-0111,4,9,12,5,CANCELLED,2226.51,42.48,45440.03,USD,false,true,,,SAME_DAY,2025-04-27 12:00:00,,,
112,SHIP-20250810-0112,7,9,5,49,FAILED,3413.68,2.72,6470.31,USD,false,false,,,STANDARD,2025-08-10 08:00:00,,,
113,SHIP-20251109-0113,11,10,1,15,FAILED,3906.44,2.55,40522.86,USD,true,false,,,SAME_DAY,2025-11-09 17:00:00,,,
114,SHIP-20250203-0114,11,10,19,43,FAILED,376.54,16.14,6832.45,USD,true,true,,,EXPRESS,2025-02-03 10:00:00,,,
115,SHIP-20251218-0115,15,14,8,8,DRAFT,4052.35,13.42,20885.34,USD,true,true,,,FREIGHT,2025-12-18 18:00:00,,,
116,SHIP-20250127-0116,7,5,11,26,DELIVERED,1605.12,21.48,6924.23,USD,false,true,,,STANDARD,2025-01-27 11:00:00,,,
117,SHIP-20250108-0117,6,7,18,22,DELIVERED,1315.68,41.76,4605.46,USD,true,false,,,SAME_DAY,2025-01-08 18:00:00,,,
118,SHIP-20251220-0118,7,1,3,38,DELIVERED,3770.75,36.39,9192.33,USD,false,true,,,EXPRESS,2025-12-20 16:00:00,,,
119,SHIP-20251203-0119,14,13,12,18,BOOKED,2419.76,5.24,5221.94,USD,true,true,,,FREIGHT,2025-12-03 10:00:00,,,
120,SHIP-20251122-0120,10,6,4,46,DRAFT,1850.11,12.68,19640.27,USD,true,false,,,FREIGHT,2025-11-22 18:00:00,,,
121,SHIP-20250720-0121,12,14,10,29,OUT_FOR_DELIVERY,4614.08,35.02,6540.35,USD,true,false,,,EXPRESS,2025-07-20 14:00:00,,,
122,SHIP-20250725-0122,9,15,12,33,FAILED,2634.08,43.85,36690.24,USD,false,true,,,FREIGHT,2025-07-25 11:00:00,,,
123,SHIP-20250207-0123,7,12,9,34,CANCELLED,3724.69,4.77,32632.35,USD,false,false,,,EXPRESS,2025-02-07 16:00:00,,,
124,SHIP-20251018-0124,7,13,5,12,DRAFT,4841.47,20.64,24349.03,USD,false,true,,,SAME_DAY,2025-10-18 08:00:00,,,
125,SHIP-20250612-0125,1,6,2,11,IN_TRANSIT,2495.97,19.18,47697.64,USD,true,false,,,FREIGHT,2025-06-12 12:00:00,,,
126,SHIP-20250927-0126,14,7,1,43,DRAFT,146.32,10.26,18630.09,USD,false,false,,,FREIGHT,2025-09-27 18:00:00,,,
127,SHIP-20250318-0127,11,3,9,43,BOOKED,1971.54,41.94,12529.6,USD,true,true,,,STANDARD,2025-03-18 18:00:00,,,
128,SHIP-20250507-0128,13,1,16,2,FAILED,932.92,42.39,20701.34,USD,true,false,,,EXPRESS,2025-05-07 16:00:00,,,
129,SHIP-20251222-0129,14,11,13,44,DRAFT,927.52,41.31,14172.71,USD,false,true,,,EXPRESS,2025-12-22 10:00:00,,,
130,SHIP-20250505-0130,15,11,3,34,IN_TRANSIT,387.96,16.53,375.17,USD,true,true,,,STANDARD,2025-05-05 08:00:00,,,
131,SHIP-20250822-0131,5,13,20,5,FAILED,2322.42,2.59,21069.83,USD,true,true,,,SAME_DAY,2025-08-22 17:00:00,,,
132,SHIP-20250620-0132,3,14,17,12,DRAFT,4988.34,42.79,5792.52,USD,true,true,,,EXPRESS,2025-06-20 08:00:00,,,
133,SHIP-20251024-0133,13,12,5,6,DISPATCHED,1710.94,46.53,34585.29,USD,true,false,,,STANDARD,2025-10-24 17:00:00,,,
134,SHIP-20250213-0134,14,13,7,12,OUT_FOR_DELIVERY,4606.34,5.36,48662.06,USD,false,false,,,FREIGHT,2025-02-13 15:00:00,,,
135,SHIP-20251114-0135,5,2,7,24,DISPATCHED,443.7,16.32,27875.78,USD,false,true,,,STANDARD,2025-11-14 10:00:00,,,
136,SHIP-20250121-0136,6,4,13,22,IN_TRANSIT,3893.36,46.66,22948.44,USD,false,true,,,STANDARD,2025-01-21 14:00:00,,,
137,SHIP-20250710-0137,14,10,18,37,DELIVERED,3213.09,7.41,138.5,USD,true,false,,,STANDARD,2025-07-10 11:00:00,,,
138,SHIP-20250211-0138,12,8,16,31,DISPATCHED,3466.71,44.5,19593.27,USD,true,false,,,FREIGHT,2025-02-11 10:00:00,,,
139,SHIP-20250813-0139,13,10,9,29,DRAFT,4248.19,33.88,1477.21,USD,true,true,,,STANDARD,2025-08-13 17:00:00,,,
140,SHIP-20250206-0140,13,4,2,7,OUT_FOR_DELIVERY,1786.67,12.53,25068.84,USD,false,false,,,EXPRESS,2025-02-06 11:00:00,,,
141,SHIP-20250914-0141,12,1,3,31,DELIVERED,3712.4,21.43,17708.58,USD,true,true,,,EXPRESS,2025-09-14 14:00:00,,,
142,SHIP-20250227-0142,12,10,6,9,DRAFT,1021.38,14.27,49459.51,USD,true,true,,,FREIGHT,2025-02-27 13:00:00,,,
143,SHIP-20250501-0143,1,6,3,18,BOOKED,1076.35,3.59,37982.42,USD,true,true,,,SAME_DAY,2025-05-01 09:00:00,,,
144,SHIP-20250908-0144,7,12,13,40,BOOKED,4024.64,10.73,11608.13,USD,true,true,,,SAME_DAY,2025-09-08 16:00:00,,,
145,SHIP-20250605-0145,11,7,7,5,OUT_FOR_DELIVERY,238.55,2.09,48991.92,USD,true,false,,,FREIGHT,2025-06-05 18:00:00,,,
146,SHIP-20251003-0146,7,13,5,27,OUT_FOR_DELIVERY,1438.77,38.05,2639.98,USD,false,false,,,STANDARD,2025-10-03 16:00:00,,,
147,SHIP-20251121-0147,2,13,2,12,DISPATCHED,88.98,9.45,22176.44,USD,false,false,,,STANDARD,2025-11-21 18:00:00,,,
148,SHIP-20250207-0148,1,4,17,35,OUT_FOR_DELIVERY,4237.79,7.73,42220.9,USD,false,true,,,SAME_DAY,2025-02-07 14:00:00,,,
149,SHIP-20250916-0149,14,7,19,5,BOOKED,3968.89,18.68,35239.31,USD,false,false,,,EXPRESS,2025-09-16 10:00:00,,,
150,SHIP-20250719-0150,6,10,15,16,OUT_FOR_DELIVERY,4089.96,45.32,43568.47,USD,false,true,,,EXPRESS,2025-07-19 16:00:00,,,
151,SHIP-20250517-0151,5,14,4,1,DRAFT,2442.16,1.73,23943.59,USD,true,false,,,FREIGHT,2025-05-17 08:00:00,,,
152,SHIP-20251018-0152,1,6,4,1,DRAFT,2174.16,24.9,14601.57,USD,true,false,,,EXPRESS,2025-10-18 14:00:00,,,
153,SHIP-20250503-0153,8,3,6,24,CANCELLED,1493.34,33.63,48855.99,USD,true,false,,,SAME_DAY,2025-05-03 15:00:00,,,
154,SHIP-20250121-0154,4,9,15,47,DELIVERED,2718.57,15.33,19909.87,USD,true,true,,,FREIGHT,2025-01-21 17:00:00,,,
155,SHIP-20251012-0155,15,10,19,33,OUT_FOR_DELIVERY,3474.69,3.49,4107.14,USD,false,false,,,EXPRESS,2025-10-12 08:00:00,,,
156,SHIP-20250912-0156,7,8,6,49,CANCELLED,2244.83,9.25,19983.78,USD,false,false,,,EXPRESS,2025-09-12 16:00:00,,,
157,SHIP-20250103-0157,10,12,16,36,IN_TRANSIT,2176.33,11.5,26235.34,USD,true,false,,,STANDARD,2025-01-03 13:00:00,,,
158,SHIP-20251019-0158,5,15,18,16,FAILED,3582.09,47.23,43025.42,USD,false,true,,,SAME_DAY,2025-10-19 15:00:00,,,
159,SHIP-20251105-0159,4,13,12,45,CANCELLED,268.63,12.81,28380.25,USD,true,false,,,FREIGHT,2025-11-05 15:00:00,,,
160,SHIP-20250607-0160,11,12,9,38,DRAFT,3436.43,42.28,18293.67,USD,true,false,,,STANDARD,2025-06-07 18:00:00,,,
161,SHIP-20251023-0161,10,6,6,1,OUT_FOR_DELIVERY,4955.58,15.76,24920.46,USD,true,true,,,SAME_DAY,2025-10-23 11:00:00,,,
162,SHIP-20250507-0162,3,4,4,44,DISPATCHED,915.38,18.76,11248.78,USD,true,true,,,STANDARD,2025-05-07 10:00:00,,,
163,SHIP-20250325-0163,2,8,3,9,DRAFT,981.24,41.01,47077.08,USD,false,true,,,SAME_DAY,2025-03-25 16:00:00,,,
164,SHIP-20250806-0164,10,13,1,48,FAILED,2106.2,8.49,18157.27,USD,false,true,,,EXPRESS,2025-08-06 17:00:00,,,
165,SHIP-20250916-0165,5,8,8,31,CANCELLED,2284.02,22.06,13585.39,USD,true,true,,,FREIGHT,2025-09-16 16:00:00,,,
166,SHIP-20250321-0166,1,6,13,11,DELIVERED,2028.74,24.4,26020.65,USD,false,true,,,SAME_DAY,2025-03-21 17:00:00,,,
167,SHIP-20250720-0167,1,15,13,49,IN_TRANSIT,2154.93,7.89,32330.52,USD,false,false,,,SAME_DAY,2025-07-20 12:00:00,,,
168,SHIP-20251212-0168,1,2,8,3,FAILED,1410.37,35.76,37191.21,USD,true,true,,,STANDARD,2025-12-12 14:00:00,,,
169,SHIP-20251215-0169,4,7,10,15,DRAFT,3904.32,31.08,35296.04,USD,false,true,,,EXPRESS,2025-12-15 13:00:00,,,
170,SHIP-20250119-0170,1,12,3,34,DELIVERED,252.3,49.44,49309.59,USD,false,true,,,STANDARD,2025-01-19 15:00:00,,,
171,SHIP-20250328-0171,3,14,6,28,FAILED,1262.69,9.33,4727.43,USD,false,false,,,EXPRESS,2025-03-28 16:00:00,,,
172,SHIP-20250723-0172,5,10,11,5,CANCELLED,2694.57,45.38,49141.62,USD,true,true,,,STANDARD,2025-07-23 18:00:00,,,
173,SHIP-20250914-0173,6,10,12,44,DRAFT,2711.22,34.0,28742.18,USD,true,true,,,STANDARD,2025-09-14 09:00:00,,,
174,SHIP-20250312-0174,6,8,5,39,DRAFT,3579.3,22.95,394.83,USD,false,false,,,SAME_DAY,2025-03-12 15:00:00,,,
175,SHIP-20250227-0175,15,5,1,5,CANCELLED,4053.65,43.31,6912.4,USD,false,true,,,STANDARD,2025-02-27 13:00:00,,,
176,SHIP-20250307-0176,10,12,9,5,CANCELLED,592.71,3.88,28897.94,USD,true,false,,,STANDARD,2025-03-07 15:00:00,,,
177,SHIP-20250225-0177,9,3,1,18,BOOKED,4876.19,28.01,41468.53,USD,true,false,,,EXPRESS,2025-02-25 10:00:00,,,
178,SHIP-20250321-0178,3,4,17,12,DRAFT,2609.66,39.1,9152.32,USD,false,false,,,SAME_DAY,2025-03-21 18:00:00,,,
179,SHIP-20251014-0179,6,10,16,15,FAILED,2341.69,17.57,25077.71,USD,true,true,,,STANDARD,2025-10-14 08:00:00,,,
180,SHIP-20250110-0180,6,1,8,15,DRAFT,3981.74,15.39,47010.9,USD,true,true,,,SAME_DAY,2025-01-10 15:00:00,,,
181,SHIP-20250123-0181,13,14,4,13,DELIVERED,4168.55,12.96,16235.48,USD,false,true,,,SAME_DAY,2025-01-23 14:00:00,,,
