invoice_id,shipment_id,invoice_number,amount,currency,status,issued_at,due_date,paid_at
121,121,INV-121,1986.99,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
122,122,INV-122,2634.06,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
123,123,INV-123,307.27,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
124,124,INV-124,395.71,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
125,125,INV-125,3105.33,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
126,126,INV-126,961.35,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
127,127,INV-127,2558.02,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
128,128,INV-128,478.51,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
129,129,INV-129,4260.09,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
130,130,INV-130,3588.36,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
131,131,INV-131,1132.56,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
132,132,INV-132,1462.28,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
133,133,INV-133,3664.19,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
134,134,INV-134,906.45,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
135,135,INV-135,4676.83,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
136,136,INV-136,1522.55,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
137,137,INV-137,3160.44,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
138,138,INV-138,2575.05,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
139,139,INV-139,3147.02,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
140,140,INV-140,2539.81,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
141,141,INV-141,3792.0,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
142,142,INV-142,3883.38,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
143,143,INV-143,1289.7,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
144,144,INV-144,1612.32,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
145,145,INV-145,1406.4,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
146,146,INV-146,3135.51,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
147,147,INV-147,1743.68,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
148,148,INV-148,3096.27,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
149,149,INV-149,2759.11,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
150,150,INV-150,1601.87,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
151,151,INV-151,849.78,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
152,152,INV-152,3731.19,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
153,153,INV-153,1756.7,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
154,154,INV-154,2921.47,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
155,155,INV-155,1511.22,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
156,156,INV-156,153.52,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
157,157,INV-157,2680.88,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
158,158,INV-158,3693.43,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
159,159,INV-159,1489.73,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
160,160,INV-160,2281.96,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
161,161,INV-161,3247.78,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
162,162,INV-162,3322.41,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
163,163,INV-163,2783.56,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
164,164,INV-164,1263.04,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
165,165,INV-165,461.32,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
166,166,INV-166,933.38,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
167,167,INV-167,3714.35,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
168,168,INV-168,4208.78,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
169,169,INV-169,4713.33,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
170,170,INV-170,4700.44,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
171,171,INV-171,3535.78,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
172,172,INV-172,2025.96,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
173,173,INV-173,3253.79,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
174,174,INV-174,1589.65,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
175,175,INV-175,4032.11,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
176,176,INV-176,318.2,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
177,177,INV-177,2567.44,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
178,178,INV-178,1212.51,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
179,179,INV-179,604.64,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
180,180,INV-180,4392.12,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
181,181,INV-181,308.74,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
182,182,INV-182,2567.4,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
183,183,INV-183,2699.5,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
184,184,INV-184,3473.88,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
185,185,INV-185,1477.89,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
186,186,INV-186,414.16,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
187,187,INV-187,3374.24,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
188,188,INV-188,508.03,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
189,189,INV-189,1183.78,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
190,190,INV-190,3468.41,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
191,191,INV-191,142.39,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
192,192,INV-192,4770.83,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
193,193,INV-193,2301.56,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
194,194,INV-194,4667.87,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
195,195,INV-195,3916.96,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
196,196,INV-196,4242.17,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
197,197,INV-197,2108.41,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
198,198,INV-198,1024.72,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
199,199,INV-199,4838.66,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
200,200,INV-200,3422.8,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
201,201,INV-201,2369.05,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
202,202,INV-202,3559.03,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
203,203,INV-203,3966.88,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
204,204,INV-204,3745.99,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
205,205,INV-205,1556.58,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
206,206,INV-206,3983.06,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
207,207,INV-207,810.15,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
208,208,INV-208,4880.11,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
209,209,INV-209,1607.98,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
210,210,INV-210,965.43,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
211,211,INV-211,1495.89,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
212,212,INV-212,3359.73,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
213,213,INV-213,3864.67,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
214,214,INV-214,2163.03,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
215,215,INV-215,3819.98,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
216,216,INV-216,2778.18,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
217,217,INV-217,1100.88,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
218,218,INV-218,4137.71,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
219,219,INV-219,4134.07,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
220,220,INV-220,4619.47,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
221,221,INV-221,2403.53,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
222,222,INV-222,4036.17,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
223,223,INV-223,2541.86,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
224,224,INV-224,4752.51,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
225,225,INV-225,4956.92,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
226,226,INV-226,1732.49,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
227,227,INV-227,4032.64,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
228,228,INV-228,4218.46,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
229,229,INV-229,1455.35,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
230,230,INV-230,1682.73,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
231,231,INV-231,3823.3,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
232,232,INV-232,3280.53,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
233,233,INV-233,134.73,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
234,234,INV-234,4108.04,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
235,235,INV-235,3469.68,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
236,236,INV-236,4839.54,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
237,237,INV-237,1216.12,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
238,238,INV-238,3726.94,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
239,239,INV-239,4114.29,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
240,240,INV-240,957.34,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
241,241,INV-241,4110.25,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
242,242,INV-242,4933.46,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
243,243,INV-243,951.87,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
244,244,INV-244,4553.66,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
245,245,INV-245,1492.64,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
246,246,INV-246,3580.74,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
247,247,INV-247,1707.53,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
248,248,INV-248,3149.07,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
249,249,INV-249,343.18,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
250,250,INV-250,1265.05,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
